 	x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
1	0.025	0.000	0.000	28.725	0.000	0.000	0.000	0.000	28.793	0.000	20.262	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
2	0.050	0.000	0.000	17.651	0.000	0.000	0.000	0.000	26.167	0.000	20.869	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
3	0.075	0.000	0.000	11.387	0.000	0.000	0.000	0.000	24.156	0.000	22.017	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
4	0.100	0.000	0.000	13.594	0.000	0.000	0.000	0.000	22.856	0.000	21.908	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
5	0.125	0.000	0.000	21.773	0.000	0.000	0.000	0.000	22.894	0.000	20.116	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
6	0.150	0.000	0.000	34.580	0.000	0.000	0.000	0.000	23.795	0.000	17.182	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
7	0.175	0.000	0.000	52.782	0.000	0.000	0.000	0.000	24.747	0.000	8.224	0.000	0.000	0.000	0.000	0.000	0.000	0.145	0.000	0.000	0.000	0.000	0.000	0.000	0.000
8	0.200	0.000	0.000	70.855	0.000	0.000	0.000	0.000	25.119	0.000	0.164	0.000	0.000	0.000	0.881	0.000	0.000	2.440	0.000	0.000	0.000	0.000	0.000	0.000	0.000
9	0.225	0.334	0.648	83.328	0.000	0.000	1.140	0.000	24.262	0.000	1.559	0.000	0.000	0.000	6.190	0.000	0.000	8.131	0.000	0.000	0.090	0.000	0.000	0.000	3.574
10	0.250	2.790	4.024	86.726	0.398	0.000	4.813	0.093	21.856	0.227	6.821	0.635	0.000	0.646	11.717	0.495	2.161	16.143	0.472	1.200	2.627	0.000	0.698	0.000	9.006
11	0.275	7.971	10.292	82.948	2.924	0.000	8.705	7.064	20.637	7.761	13.461	4.109	1.674	2.859	19.571	11.927	5.823	26.403	4.825	6.700	7.212	0.000	3.711	2.308	17.940
12	0.300	16.641	17.520	71.545	8.393	3.200	14.161	18.881	20.139	14.308	21.558	7.919	7.094	7.116	29.044	17.700	10.016	39.681	8.092	12.500	15.076	0.039	7.967	8.548	28.897
13	0.325	26.539	21.868	54.960	14.342	11.100	20.679	26.192	20.704	15.920	29.830	9.343	13.925	13.949	40.223	22.601	16.247	51.733	11.366	24.800	24.484	12.460	13.125	14.265	39.452
14	0.350	35.159	23.156	36.500	23.127	17.600	24.495	31.080	23.537	18.956	36.943	10.887	17.038	23.132	49.435	25.394	22.699	62.593	12.999	34.900	32.251	30.217	17.570	20.387	44.272
15	0.375	39.588	19.400	20.346	34.782	25.000	26.066	32.516	30.038	22.411	40.383	9.386	19.169	30.182	56.621	26.397	27.950	71.082	12.651	42.800	36.681	48.708	22.578	22.231	43.475
16	0.400	40.101	13.608	9.658	45.562	29.500	25.338	29.043	35.348	24.730	37.836	10.391	19.705	31.458	57.598	24.858	30.704	76.781	11.298	44.600	35.964	66.875	26.100	19.505	38.798
17	0.425	35.030	7.632	2.385	50.961	27.300	22.422	22.287	35.534	25.721	30.668	9.172	17.417	27.089	53.444	21.297	31.167	80.113	5.183	38.200	31.306	79.813	27.193	13.718	33.081
18	0.450	26.249	3.884	0.117	47.403	18.800	17.014	13.594	29.599	24.687	21.899	6.653	14.110	18.893	46.011	16.544	28.128	80.982	4.585	26.500	22.471	85.947	26.119	6.820	26.497
19	0.475	15.541	1.128	0.000	37.404	9.700	11.390	6.077	20.536	22.641	13.399	3.368	10.284	11.807	35.718	12.032	24.227	78.363	3.598	14.700	14.102	87.022	20.718	2.854	18.335
20	0.500	4.513	0.000	0.000	20.878	1.900	6.155	2.242	9.960	19.914	7.530	0.931	6.617	6.881	24.758	7.484	18.582	72.225	2.414	0.000	3.380	84.658	14.190	0.958	10.947
21	0.525	0.000	0.000	0.000	6.335	0.000	2.380	0.487	1.492	19.074	3.091	0.000	2.104	3.595	13.383	0.747	13.152	63.472	1.620	0.000	0.000	78.153	8.184	0.133	5.152
22	0.550	0.000	0.000	0.000	0.181	0.000	0.311	4.002E-4	0.000	20.088	0.010	0.000	0.000	0.676	6.621	0.000	7.924	52.859	1.023	0.000	0.000	66.488	0.624	0.000	0.575
23	0.575	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	22.841	0.000	0.000	0.000	0.000	1.828	0.000	4.353	41.831	0.000	0.000	0.000	50.403	0.000	0.000	0.000
24	0.600	0.000	0.996	0.000	0.000	0.000	0.000	0.000	0.000	28.718	0.000	0.000	0.000	0.000	0.000	0.000	1.738	30.372	0.000	0.000	0.000	33.854	0.000	0.000	0.000
25	0.625	0.000	3.948	0.000	0.000	0.000	0.000	0.000	0.000	36.444	0.000	0.000	0.000	0.000	0.000	0.000	0.512	17.464	0.000	0.000	0.000	20.004	0.000	0.000	0.000
26	0.650	0.000	4.452	0.000	0.000	0.000	0.000	0.000	0.000	43.730	0.000	0.000	0.000	0.000	0.000	0.000	0.000	10.736	0.000	0.000	0.000	5.805	0.000	0.000	0.000
27	0.675	0.000	4.680	0.000	0.000	0.000	0.000	0.000	0.000	47.266	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3.297	0.000	0.000	0.000	0.000	0.000	0.000	0.000
28	0.700	0.000	3.068	0.000	0.000	0.000	0.000	0.000	0.000	45.376	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.226	0.000	0.000	0.000	0.000	0.000	0.000	0.000
29	0.725	0.000	1.144	0.000	0.000	0.000	0.000	0.000	0.000	37.589	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
30	0.750	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	26.154	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
31	0.775	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	15.468	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
