 	x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51
1	0.030	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	27.404	7.315	71.451	0.000	1.412	0.000	0.000	0.000	0.000	0.000	0.000	18.938	8.454	29.978	0.000	37.067	0.000	0.308	41.769	39.223	26.132	0.000	2.821	0.000	28.300	30.128	0.000	0.000	0.000	0.000	0.000
2	0.060	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	23.469	7.551	68.531	0.000	3.471	0.000	0.000	0.000	0.000	0.000	0.000	20.935	14.595	29.365	0.000	35.069	0.000	0.819	33.844	30.408	23.707	0.000	10.388	0.000	25.500	30.024	0.000	0.000	0.000	0.000	0.000
3	0.090	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	20.169	8.093	60.789	0.000	6.226	0.000	0.000	0.000	0.379	0.000	0.000	23.760	15.662	27.017	0.000	30.708	0.000	0.399	27.035	25.018	21.676	0.000	16.059	0.000	15.100	29.904	0.000	0.000	0.000	0.000	0.000
4	0.120	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	11.440	9.745	48.370	0.000	8.572	0.000	0.000	0.000	1.570	0.000	0.000	25.015	10.894	25.101	0.000	24.554	0.000	0.000	21.803	16.801	20.450	0.000	19.049	0.000	17.300	29.292	0.000	0.000	0.000	0.000	0.000
5	0.150	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	5.395	12.481	33.831	0.000	11.089	0.000	0.000	0.000	2.019	0.000	0.000	23.858	5.955	23.888	0.000	18.942	0.000	0.000	13.684	10.083	18.481	0.000	21.531	0.000	18.600	28.404	0.000	0.000	0.000	0.000	0.000
6	0.180	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	16.919	22.570	0.000	9.209	0.000	0.000	0.000	1.332	0.000	0.000	22.384	1.996	21.855	0.000	13.438	0.000	0.000	0.659	7.011	15.732	0.000	24.367	0.000	18.100	27.440	0.000	0.000	0.000	0.000	0.000
7	0.210	0.000	0.000	0.236	0.000	0.000	0.083	0.000	0.000	0.000	0.000	0.000	0.188	0.050	0.000	0.000	0.000	0.431	0.000	0.000	0.000	0.000	18.736	9.144	7.503	4.571	0.000	0.000	0.000	0.629	0.028	0.000	21.136	3.159	19.804	0.000	2.812	0.000	9.753E-4	2.141	11.275	13.136	0.000	28.585	1.759	16.000	26.684	0.000	0.000	0.000	1.214	0.000
8	0.240	0.000	0.000	1.700	0.371	1.462	2.758	0.000	2.791	0.165	0.000	0.000	3.163	6.992	0.000	0.000	0.290	3.992	1.967	0.456	0.000	0.000	18.397	1.171	11.573	16.031	0.176	0.000	0.000	5.992	1.072	0.000	20.076	10.210	17.877	0.813	0.000	1.447	10.117	12.642	16.212	5.471	0.000	32.457	9.183	14.900	24.144	0.322	0.716	0.000	1.881	0.801
9	0.270	0.488	8.600	3.772	3.369	6.284	6.945	9.600	12.539	1.079	0.283	10.900	8.186	19.455	0.000	0.579	6.726	7.453	6.580	3.549	0.000	1.709	16.573	0.374	14.707	31.304	1.668	9.000	0.000	8.864	3.465	1.384	18.562	18.187	17.193	6.337	2.394	12.424	15.636	30.460	21.195	15.446	0.000	32.776	19.263	15.200	25.264	1.730	4.552	0.722	4.057	6.164
10	0.300	3.600	13.700	8.147	11.074	9.150	14.223	12.800	17.725	2.503	3.384	19.500	16.543	35.108	9.600	4.194	11.233	13.171	11.065	10.177	0.000	12.110	16.485	8.880	16.166	40.791	7.080	13.600	0.000	13.335	9.862	11.633	17.773	30.949	17.802	15.933	24.468	30.590	19.704	40.462	26.567	19.818	0.000	29.501	31.646	32.000	28.692	12.071	8.574	22.030	5.934	10.496
