 	x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51
1	0.030	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	50.307	0.000	65.023	40.181	0.405	0.000	0.000	0.000	28.019	0.000	0.000	4.223	0.216	27.500	0.000	18.153	0.000	0.000	20.462	0.482	51.381	17.780	7.585	0.831	26.100	16.220	0.000	0.000	0.000	20.670	0.000
2	0.060	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.087	0.000	0.000	0.000	0.000	0.000	0.000	0.000	43.476	0.000	63.284	30.696	0.823	0.000	0.000	0.000	30.425	0.000	0.000	3.297	3.119	26.800	0.000	14.307	0.000	0.000	18.310	0.070	56.270	20.610	20.173	0.000	23.800	17.576	0.000	0.000	0.000	21.812	0.000
3	0.090	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	8.928	0.000	0.000	0.000	0.000	0.000	0.000	0.223	34.256	0.000	57.182	23.752	11.878	0.000	0.000	0.000	30.163	0.000	0.000	3.205	2.709	26.100	0.000	13.808	0.000	0.000	10.116	3.451	56.268	22.509	23.177	0.000	8.500	20.352	0.000	0.000	0.000	22.963	0.000
4	0.120	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	14.737	0.000	0.000	0.000	0.000	0.000	0.000	8.722	25.547	0.000	46.407	18.982	30.906	0.000	0.000	0.000	28.784	0.000	0.000	3.520	0.000	24.700	0.000	7.586	0.000	0.000	13.653	12.417	50.283	23.695	25.218	0.000	9.700	17.119	0.000	4.217	0.000	24.845	0.000
5	0.150	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	22.526	0.000	0.000	0.000	0.000	0.000	0.422	15.855	17.982	0.000	33.921	0.850	46.644	0.000	0.000	0.058	27.478	0.000	0.000	3.640	0.000	23.300	0.000	0.000	0.000	0.000	22.815	17.450	41.769	25.127	27.213	0.000	10.200	14.420	0.000	12.646	0.000	27.247	0.000
6	0.180	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	34.292	0.000	0.746	0.366	0.209	0.000	6.331	22.343	10.410	1.137	24.621	0.000	63.165	0.000	0.000	3.142	23.593	0.000	0.000	3.338	0.000	22.800	0.000	0.000	0.249	0.000	27.665	19.903	34.401	26.911	29.150	0.000	9.900	8.836	0.000	15.806	0.617	28.989	0.000
7	0.210	0.263	0.000	1.646	0.090	0.530	1.895	0.000	0.000	0.000	0.897	0.000	0.114	49.324	0.000	5.399	0.000	6.281	0.000	13.226	30.110	3.356	4.281	17.061	0.240	73.710	0.000	0.000	10.368	19.575	0.099	0.254	3.107	5.871	22.500	0.404	0.000	6.735	0.000	32.093	21.337	26.064	28.732	29.358	0.000	8.700	14.108	1.322	17.940	19.987	28.807	0.000
8	0.240	9.237	0.000	6.973	2.064	6.037	7.023	0.000	0.000	0.233	8.818	0.000	2.542	65.098	0.000	14.503	0.979	14.545	0.220	23.243	37.808	7.987	8.890	1.711	19.178	77.231	0.064	0.000	24.036	17.072	2.479	7.117	3.208	17.513	20.600	7.310	0.670	19.726	0.596	37.865	21.464	8.818	29.416	28.554	7.702	8.400	27.428	13.262	20.650	30.912	27.940	7.895
9	0.270	16.680	9.600	10.793	7.169	10.435	14.821	11.500	14.819	7.857	16.504	11.200	9.231	76.738	0.000	31.285	15.846	27.414	5.104	37.915	43.778	17.955	12.724	3.468	20.802	78.559	1.542	14.900	42.634	19.122	9.083	16.537	12.170	25.405	21.200	16.240	12.361	35.410	16.348	45.115	21.974	13.442	29.564	27.656	24.269	8.900	32.420	22.348	23.840	46.745	29.220	16.123
10	0.300	28.496	15.100	14.791	17.040	13.500	27.878	15.000	29.555	17.331	27.925	21.800	20.064	82.176	10.700	48.880	27.878	37.905	12.700	51.801	45.921	29.202	17.003	19.832	21.077	82.239	5.434	20.600	57.382	26.768	21.446	22.353	17.374	35.043	21.400	26.910	28.064	54.492	25.602	51.960	23.068	25.968	30.293	27.832	31.508	31.200	38.468	35.563	26.537	63.123	33.266	16.971
11	0.330	45.806	21.600	20.801	32.297	18.503	43.906	19.800	61.808	31.690	41.908	34.200	33.646	79.513	23.900	58.149	28.309	41.720	22.958	59.853	43.386	42.701	19.937	22.570	21.009	86.004	16.177	29.600	63.124	38.172	40.351	31.260	17.257	49.440	22.900	41.463	42.001	70.408	36.082	55.258	24.375	27.829	31.111	29.083	42.138	33.600	47.252	49.902	27.465	73.370	37.878	19.001
12	0.360	61.472	26.700	26.275	46.065	23.177	55.347	24.100	65.604	46.105	54.610	42.600	42.184	74.196	43.900	57.473	28.630	40.321	34.929	61.194	36.752	54.344	22.390	23.586	20.220	87.631	33.904	39.700	62.680	48.147	55.697	43.240	17.855	64.103	21.800	56.150	59.247	79.226	48.961	54.819	25.903	27.899	30.837	30.354	54.334	34.400	55.076	61.072	25.529	77.011	40.247	22.889
13	0.390	67.695	27.900	27.891	48.604	24.570	54.542	25.300	63.144	55.235	62.467	44.800	41.765	68.971	60.800	48.390	29.256	38.877	41.615	58.556	28.677	60.957	23.042	24.560	19.034	85.529	47.660	46.300	58.877	50.072	56.717	52.968	20.343	70.752	21.100	65.081	71.897	82.509	57.723	52.611	26.891	27.233	29.679	30.912	62.816	33.300	57.348	65.548	22.436	75.706	38.836	27.855
14	0.419	60.249	24.400	24.680	38.089	22.776	41.605	24.400	52.814	53.847	63.763	39.800	33.133	66.951	62.600	33.656	28.497	39.584	39.116	55.519	21.177	61.471	22.054	23.900	17.275	81.268	46.426	46.200	52.333	42.118	45.228	53.690	23.018	65.329	20.700	62.694	72.887	84.615	56.166	48.427	27.173	26.432	28.222	30.375	63.191	30.400	52.304	63.104	20.420	68.101	35.396	30.675
15	0.449	41.982	17.600	19.921	22.021	18.501	23.748	22.000	39.479	40.883	56.077	29.300	19.059	66.316	47.200	18.667	25.860	40.423	28.085	52.966	16.150	56.746	20.905	20.801	15.696	76.426	32.922	37.400	40.919	29.826	30.123	45.595	23.198	50.670	21.400	49.702	61.730	85.786	45.156	42.611	26.525	25.313	26.686	29.027	54.395	27.000	43.704	53.207	19.761	53.540	32.958	25.357
16	0.479	22.334	11.000	16.491	9.933	13.635	10.270	18.200	27.514	23.737	40.882	17.700	7.817	63.618	26.100	8.528	21.356	36.006	16.238	51.478	9.750	45.517	19.207	16.277	15.808	70.326	18.796	24.900	27.621	19.515	18.675	33.822	22.000	33.989	23.400	34.494	44.734	83.752	31.772	35.536	26.562	22.799	25.152	27.929	41.834	23.700	36.144	35.999	19.609	37.902	33.055	11.683
17	0.509	9.452	7.100	13.892	3.943	9.613	3.464	14.400	18.194	11.113	24.675	9.100	2.355	56.445	12.900	0.428	16.267	25.712	9.167	48.203	9.883	29.391	17.228	12.233	17.420	62.112	10.089	15.700	15.970	14.178	10.329	23.517	20.569	21.118	25.600	22.785	30.494	77.522	22.404	29.105	27.166	19.172	22.645	27.168	30.562	0.000	31.212	14.615	17.775	27.414	34.112	4.033
18	0.539	0.558	0.000	9.354	0.439	4.938	0.333	0.000	10.988	2.837	12.654	0.000	0.234	44.112	0.000	0.000	11.263	13.739	3.532	40.552	12.218	14.938	14.728	9.660	19.942	51.007	5.378	12.300	6.934	6.311	1.210	16.465	2.073	12.687	26.700	12.528	21.668	64.592	5.993	20.195	26.133	16.854	3.269	26.907	18.080	2.000	25.193	2.477	12.982	23.305	35.361	0.600
19	0.569	0.000	0.000	1.940	0.000	0.111	0.000	0.000	1.290	0.019	5.098	0.000	0.000	30.367	0.000	0.000	3.440	5.854	0.042	28.742	12.784	5.994	6.526	2.474	21.258	39.794	0.248	0.000	0.222	0.174	0.000	8.498	0.000	4.430	26.800	5.693	2.995	47.858	0.000	14.288	15.877	16.741	1.699	26.865	7.302	4.400	9.224	0.544	7.384	0.484	34.256	0.000
20	0.599	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.855	0.000	0.000	11.206	0.000	0.000	0.000	0.361	0.000	17.817	10.459	0.450	0.000	0.000	20.889	25.374	0.000	0.000	0.000	0.000	0.000	0.335	0.320	0.000	26.900	11.869	0.000	32.564	0.000	11.479	13.246	17.863	1.136	27.630	0.073	14.000	7.500	0.000	3.592	0.000	31.631	0.000
21	0.629	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	4.076	0.000	0.000	0.000	0.000	0.000	10.821	6.607	0.000	2.200	0.000	18.939	12.111	0.000	0.000	0.000	0.000	0.000	8.757	22.848	0.000	26.800	23.433	0.000	20.957	7.153	10.761	11.152	19.990	0.519	29.338	0.000	25.300	17.516	0.000	0.242	0.000	27.919	0.000
22	0.659	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.000	1.732	0.780	0.000	11.210	0.000	0.763	0.468	0.000	0.000	0.000	1.122	0.000	21.748	33.433	0.000	26.100	26.008	0.000	7.921	23.757	18.343	6.900	22.296	0.929	31.103	0.000	26.200	26.440	0.000	0.000	0.000	24.402	0.000
23	0.689	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	16.944	0.000	0.000	0.000	0.000	0.000	0.000	1.897	0.000	31.257	44.210	0.000	23.800	26.015	0.000	0.066	29.653	26.364	3.582	22.639	23.662	32.937	2.275	25.700	29.000	0.000	0.000	0.000	21.525	0.000
24	0.719	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	18.809	0.000	0.000	0.000	0.000	0.000	0.000	5.104	0.000	44.603	54.698	0.000	20.600	25.378	0.000	0.000	36.780	29.068	19.708	21.097	27.867	35.274	5.863	25.400	30.576	0.000	0.000	0.000	19.144	0.000
