 	x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51
1	0.030	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	59.470	0.000	63.308	5.636	0.000	0.000	0.000	0.000	30.202	0.000	0.000	0.000	0.000	13.842	0.000	18.542	0.000	0.000	0.000	0.000	30.303	0.000	20.468	23.918	24.300	25.212	7.873	0.000	0.000	0.000	0.000
2	0.060	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.929	0.000	0.000	0.000	0.000	56.868	0.000	55.755	1.733	0.000	0.000	0.000	0.000	32.779	0.000	0.000	0.000	0.000	20.408	0.000	17.407	0.000	0.000	0.000	0.000	30.036	0.000	20.264	18.734	23.000	27.848	7.402	0.000	0.000	0.000	0.000
3	0.090	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	10.571	0.000	0.000	0.000	0.000	51.065	0.000	44.170	1.341	1.008	0.000	0.000	0.000	31.957	0.000	0.000	0.000	0.000	20.751	0.000	14.194	0.000	0.000	0.000	0.000	19.320	0.000	19.742	14.571	7.400	31.036	6.986	0.000	0.000	0.000	0.000
4	0.120	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	20.682	0.000	0.000	0.000	0.000	42.621	0.000	31.500	0.000	3.283	0.000	0.000	0.000	30.018	0.000	0.000	0.000	0.000	20.191	0.000	13.448	0.000	0.000	0.000	0.000	17.818	0.000	19.157	10.610	7.800	35.900	6.820	0.000	0.000	0.000	0.000
5	0.150	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	27.553	0.000	0.000	0.000	0.000	32.400	0.000	21.519	0.000	6.613	0.000	0.000	0.000	26.987	0.000	0.000	0.000	0.000	19.417	0.000	1.360	0.000	0.000	0.000	0.101	13.338	0.000	18.608	7.224	7.800	39.576	6.686	0.000	0.189	0.000	0.000
6	0.180	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.136	0.000	0.000	23.656	0.000	0.000	0.010	0.000	21.906	0.000	11.708	0.000	9.271	0.000	0.000	0.000	23.231	0.000	0.000	0.000	0.000	23.310	0.000	0.000	0.000	0.000	0.000	4.187	8.674	0.000	18.537	3.338	7.700	39.392	6.936	0.000	13.487	0.000	0.000
7	0.210	0.000	0.000	0.112	0.005	0.000	0.084	0.000	0.000	0.000	0.000	0.000	0.000	5.381	0.000	0.000	14.117	0.511	0.000	0.825	0.000	14.536	0.750	0.438	0.228	11.542	0.000	0.000	0.000	17.534	0.000	0.052	0.000	1.285	22.973	0.183	0.000	2.952	0.000	1.588	10.772	10.359	0.000	19.067	0.531	7.300	30.532	11.237	0.000	18.117	0.000	0.000
8	0.240	0.000	0.000	1.775	1.045	0.000	1.352	0.000	0.000	0.000	0.391	0.000	0.093	14.736	0.000	0.000	12.782	2.611	0.286	2.299	0.000	8.848	3.645	0.000	10.069	14.023	0.412	0.000	0.000	11.490	0.164	2.945	0.335	5.716	23.556	2.900	0.000	9.041	0.000	4.064	12.751	21.312	1.469	20.930	1.314	7.300	20.849	17.846	0.000	24.406	0.299	0.519
9	0.270	1.796	7.800	4.501	3.547	2.284	4.050	5.200	0.000	0.249	3.915	4.700	2.808	29.100	0.000	0.106	19.482	6.252	6.248	4.798	2.095	7.128	7.983	3.601	17.590	16.515	2.524	6.900	0.122	7.601	3.969	8.061	9.390	10.393	24.698	6.703	4.617	15.686	0.589	6.270	13.201	24.335	4.469	23.118	13.068	7.300	16.143	24.388	2.731	30.463	12.681	9.274
10	0.300	5.732	10.700	7.786	8.528	6.745	10.561	8.000	0.000	4.562	7.274	8.100	8.967	49.746	5.700	0.879	29.003	13.363	12.649	9.438	12.719	10.687	12.214	12.297	19.351	17.926	10.252	8.400	2.701	8.621	12.537	12.321	12.771	16.738	26.256	11.766	7.137	25.255	17.974	8.479	13.054	25.432	10.667	24.212	20.886	28.400	22.648	26.383	10.928	34.567	18.275	13.713
11	0.330	10.352	14.200	12.455	16.935	11.552	21.006	9.700	13.237	11.852	13.803	13.300	17.084	68.046	11.400	3.266	36.760	24.188	17.701	15.466	18.595	15.995	14.822	13.881	20.785	19.850	21.988	14.100	5.993	13.947	20.746	19.324	15.423	27.149	28.203	19.381	14.110	35.768	25.623	11.014	16.493	25.108	14.701	21.839	28.858	30.100	34.624	28.970	13.288	34.629	22.697	16.773
12	0.360	16.643	17.800	19.207	26.806	14.231	30.926	11.300	39.204	22.474	24.298	17.600	22.160	76.815	21.000	7.847	38.114	33.956	20.874	21.333	25.484	23.044	15.668	16.518	22.814	23.689	26.708	20.300	12.335	20.737	26.880	27.801	16.988	38.971	28.663	27.115	17.763	43.109	29.442	15.225	24.045	23.829	19.885	17.557	38.073	30.500	40.856	32.414	15.886	30.817	26.030	18.231
13	0.390	21.920	19.900	22.883	31.511	16.720	33.217	12.200	53.548	29.353	35.401	18.800	21.546	75.452	30.000	16.004	35.217	35.757	20.133	26.185	35.858	31.233	14.419	18.534	23.564	29.278	18.077	25.300	22.338	23.996	27.268	34.953	17.270	45.651	27.265	31.762	20.834	44.791	33.358	21.963	27.390	22.822	24.708	12.439	44.294	21.800	41.908	36.713	18.357	24.033	26.976	18.242
14	0.419	23.258	19.000	20.483	27.693	18.083	27.212	12.700	43.767	28.269	39.731	16.100	15.971	64.248	32.100	26.326	30.529	28.291	15.522	27.489	47.694	36.043	12.265	19.216	22.510	37.684	7.699	25.600	34.423	21.342	21.780	35.696	17.193	44.752	25.134	30.195	23.687	41.443	34.388	29.269	27.876	23.548	27.530	7.682	43.352	20.000	39.704	38.078	19.462	15.920	27.050	17.860
15	0.449	19.633	14.300	15.961	17.773	17.032	16.131	13.000	28.108	20.733	34.325	10.700	9.331	46.598	24.700	33.507	23.093	17.356	10.164	24.330	56.068	35.484	9.476	18.012	20.285	45.947	2.520	20.600	40.757	15.358	14.224	30.122	17.797	34.242	23.160	23.352	26.426	35.923	30.988	31.624	27.284	24.875	28.381	4.548	37.808	18.400	33.888	30.083	19.577	8.241	27.032	17.041
16	0.479	12.763	8.800	10.900	8.935	14.023	6.699	12.500	15.681	11.494	23.408	5.800	3.859	29.293	13.400	33.965	14.214	8.882	6.672	18.597	58.059	28.949	7.302	15.870	19.042	50.348	0.000	14.800	38.823	9.757	8.670	22.005	17.866	20.329	13.993	12.887	28.489	27.927	25.009	27.113	26.844	25.007	29.154	2.000	29.429	16.600	25.376	17.019	17.736	2.410	27.140	13.142
17	0.509	6.224	4.800	7.255	2.892	10.448	2.102	11.200	8.985	5.725	12.721	2.300	1.525	17.118	6.400	27.515	7.661	3.255	6.355	13.270	54.173	18.742	4.944	12.297	16.415	48.550	0.000	11.500	28.912	6.602	4.972	12.238	17.324	9.757	13.605	3.806	31.778	21.084	19.770	19.525	26.888	23.755	30.274	1.000	16.403	0.000	18.220	3.645	15.126	0.161	26.800	5.631
18	0.539	0.609	0.000	3.976	0.287	6.677	0.537	0.000	4.629	1.994	5.295	0.000	0.403	9.069	0.000	16.585	3.197	0.334	4.271	7.383	46.829	8.967	2.399	4.965	12.622	41.036	0.000	6.500	16.873	3.972	0.750	3.284	1.335	4.103	12.333	0.000	42.389	13.062	13.833	15.144	26.676	22.846	29.589	0.000	9.791	7.700	12.732	1.598	10.349	0.000	25.350	1.435
19	0.569	0.000	0.000	1.031	0.000	1.059	0.000	0.000	0.355	0.024	0.994	0.000	0.000	0.484	0.000	6.938	0.005	0.000	5.181	2.968	39.157	1.243	0.346	0.206	0.442	30.913	0.000	0.000	5.008	0.161	0.000	0.000	0.000	0.946	7.516	0.469	42.052	3.274	1.498	9.525	22.401	23.462	27.027	0.000	11.373	12.000	10.409	0.000	4.663	0.000	22.698	0.000
20	0.599	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.413	0.000	0.000	6.977	0.060	31.462	0.000	0.000	0.000	0.000	19.107	0.000	0.000	0.000	0.000	0.000	0.000	0.232	0.000	4.128	9.683	40.255	0.000	0.000	6.182	17.864	25.839	24.214	0.000	13.502	17.400	18.928	0.000	0.737	0.000	20.231	0.000
21	0.629	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	9.668	0.000	24.092	0.000	0.000	0.000	0.000	13.838	0.000	0.000	0.000	0.000	0.000	1.340	3.645	0.000	2.958	17.574	37.712	0.000	0.000	17.658	11.957	27.514	22.419	0.000	12.942	25.800	22.932	0.000	0.000	0.000	18.481	0.000
22	0.659	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	11.030	0.000	18.404	0.000	0.000	0.000	0.000	5.430	0.000	0.000	0.000	0.000	0.000	12.907	7.750	0.000	2.316	19.893	26.337	0.000	20.533	22.031	2.563	27.016	21.873	0.000	9.641	26.500	26.204	0.000	0.000	0.000	17.252	0.000
