 	x	1	2	3	4	5	6	7
1	0.030	0.000	0.000	0.000	0.000	0.000	9.112	0.000
2	0.060	0.000	0.000	0.000	0.000	0.000	17.752	0.000
3	0.090	0.000	0.000	0.000	0.000	0.000	25.152	0.000
4	0.120	0.000	0.000	0.000	0.000	0.000	29.508	0.000
5	0.150	0.000	0.000	0.000	0.000	0.000	34.144	0.000
6	0.180	0.000	0.000	0.000	0.000	0.000	38.784	0.000
7	0.210	0.265	0.126	0.000	0.000	0.000	44.432	0.000
8	0.240	3.256	9.329	0.000	3.900	0.000	50.796	2.403
9	0.270	8.769	19.460	1.520	12.500	0.000	56.456	6.645
10	0.300	21.604	36.111	7.762	31.000	9.500	60.264	13.018
11	0.330	38.375	54.702	21.290	55.300	20.500	61.988	22.604
12	0.360	49.276	66.534	44.195	75.000	39.800	63.740	34.487
13	0.390	46.620	68.008	61.763	81.700	57.700	64.392	45.475
14	0.419	35.374	59.158	59.908	71.200	59.400	62.324	52.996
15	0.449	26.229	43.509	41.479	49.400	43.500	55.960	57.968
16	0.479	25.687	27.481	21.125	27.400	24.400	45.120	59.090
17	0.509	33.969	15.062	6.775	13.200	12.000	32.817	52.900
18	0.539	44.733	1.809	0.110	0.000	0.000	22.716	39.505
19	0.569	48.826	0.000	0.000	0.000	0.000	14.844	24.929
20	0.599	46.137	0.000	0.000	0.000	0.000	6.807	12.855
21	0.629	41.204	0.000	0.000	0.000	0.000	0.060	3.984
22	0.659	39.067	0.000	0.000	0.000	0.000	0.000	0.033
23	0.689	41.727	0.000	0.000	0.000	0.000	0.000	0.000
24	0.719	47.203	0.000	0.000	0.000	0.000	0.000	0.000
25	0.749	50.478	0.000	0.000	0.000	0.000	0.000	0.000
26	0.000	0.000	0.000	0.000	0.000	0.000	0.524	0.000
27	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
