 	x	1	2	3	4	5	6	7	8	9	10	11	12
1	0.030	0.000	0.000	0.000	0.000	0.000	0.000	0	0.000	0.000	0.000	0.000	0.000
2	0.060	0.000	0.000	0.000	0.000	0.000	0.000	0	0.000	0.000	0.000	0.000	0.000
3	0.090	0.000	0.000	0.086	0.000	0.000	0.000	0	0.000	0.000	0.000	0.000	0.000
4	0.120	0.000	0.000	0.688	0.000	0.000	0.000	0	0.000	0.000	0.000	0.000	0.000
5	0.150	0.000	0.000	1.723	0.000	0.000	0.000	0	0.000	0.000	0.000	0.000	0.000
6	0.180	0.000	0.000	3.861	0.000	0.000	0.000	0	0.000	0.000	0.000	0.000	0.000
7	0.210	0.000	9.861E-4	6.380	0.023	0.000	0.000	0	0.000	0.000	0.000	0.170	0.028
8	0.240	0.215	0.182	9.109	0.731	0.000	0.000	0	0.033	0.000	0.000	2.128	0.944
9	0.270	0.901	0.965	10.058	2.420	1.100	0.118	0	0.663	0.263	4.800	6.482	4.034
10	0.300	2.461	3.426	8.917	5.938	3.400	1.497	0	3.187	2.042	5.400	15.431	12.212
11	0.330	6.329	8.618	6.290	10.568	7.900	4.877	0	8.777	6.322	6.500	28.059	25.725
12	0.360	11.530	13.761	2.725	14.222	14.500	9.571	0	15.307	10.919	8.000	39.754	38.771
13	0.390	16.480	13.214	0.420	13.695	19.400	14.543	0	17.068	15.145	9.200	43.568	45.721
14	0.419	16.895	7.919	0.000	8.169	17.600	16.387	0	14.295	15.630	8.400	39.432	42.719
15	0.449	12.208	3.000	0.000	2.682	10.800	14.115	0	9.351	11.836	7.100	28.196	29.308
16	0.479	6.388	0.866	0.000	0.555	4.900	9.477	0	4.492	7.078	5.900	15.416	12.487
17	0.509	2.383	0.341	0.000	0.003	1.700	5.223	0	1.446	3.746	4.800	5.565	3.443
18	0.539	0.660	0.039	0.000	0.000	0.000	1.666	0	0.144	0.858	0.000	1.062	0.750
19	0.569	0.000	0.000	0.000	0.000	0.000	0.000	0	0.000	0.000	0.000	0.004	0.000
20	0.599	0.000	0.000	0.000	0.000	0.000	0.000	0	0.000	0.000	0.000	0.000	0.000
21	0.629	0.000	0.000	0.000	0.000	0.000	0.000	0	0.000	0.000	0.000	0.000	0.000
22	0.659	0.000	0.000	0.000	0.000	0.000	0.000	0	0.000	0.000	0.000	0.000	0.000
23	0.689	0.000	0.000	0.000	0.000	0.000	0.000	0	0.000	0.000	0.000	0.000	0.000
24	0.719	0.000	0.000	0.000	0.000	0.000	0.000	0	0.000	0.000	0.000	0.000	0.000
25	0.749	0.000	0.000	0.000	0.000	0.000	0.000	0	0.000	0.000	0.000	0.000	0.000
26	0.779	0.000	0.000	0.000	0.000	0.000	0.000	0	0.000	0.000	0.000	0.000	0.000
