 	x	1	2	3	4	5	6	7	8	9	10	11	12
1	0.030	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
2	0.060	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
3	0.090	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
4	0.120	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
5	0.150	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
6	0.180	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
7	0.210	0.986	0.000	0.000	0.000	0.000	0.000	1.471	0.000	0.000	0.000	0.208	0.021
8	0.240	3.965	0.036	0.957	0.108	0.000	0.231	6.407	0.247	0.019	0.000	3.385	1.204
9	0.270	9.404	0.469	6.072	1.316	2.500	4.887	15.277	1.588	2.719	7.200	10.615	4.736
10	0.300	19.108	2.210	12.836	3.591	6.600	10.872	27.489	6.986	8.955	7.600	26.389	15.246
11	0.330	29.445	6.172	21.859	7.687	14.400	20.663	40.197	17.793	18.425	8.900	47.096	34.671
12	0.360	36.023	13.286	31.256	13.340	23.700	33.636	49.329	27.128	29.220	10.200	62.013	54.288
13	0.390	37.565	17.658	38.628	17.087	28.900	43.821	54.166	26.921	37.121	11.100	65.243	63.179
14	0.419	36.766	14.161	43.123	15.648	26.200	47.364	55.458	19.015	40.971	9.700	56.873	56.213
15	0.449	33.494	6.996	42.714	8.581	16.700	46.267	54.544	10.454	41.530	7.800	39.648	37.660
16	0.479	26.513	2.379	35.263	2.768	7.700	46.069	55.223	5.255	36.242	5.700	20.356	18.033
17	0.509	16.521	0.791	22.478	0.443	3.100	47.262	58.731	2.840	25.094	4.100	8.095	6.483
18	0.539	7.883	0.250	11.134	0.000	0.000	44.351	61.336	0.268	13.850	0.000	2.470	2.303
19	0.569	2.960	0.000	5.120	0.000	0.000	34.355	57.763	0.000	7.542	0.000	0.029	0.110
20	0.599	0.317	0.000	0.612	0.000	0.000	19.865	49.478	0.000	0.422	0.000	0.000	0.000
21	0.629	0.000	0.000	0.000	0.000	0.000	8.639	40.550	0.000	0.000	0.000	0.000	0.000
22	0.659	0.000	0.000	0.000	0.000	0.000	2.767	30.903	0.000	0.000	0.000	0.000	0.000
23	0.689	0.000	0.000	0.000	0.000	0.000	0.270	19.806	0.000	0.000	0.000	0.000	0.000
24	0.719	0.000	0.000	0.000	0.000	0.000	0.000	9.354	0.000	0.000	0.000	0.000	0.000
25	0.749	0.000	0.000	0.000	0.000	0.000	0.000	2.194	0.000	0.000	0.000	0.000	0.000
26	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
