 	x	1	2	3	4	5	6	7	8	9	10	11	12
1	0.030	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
2	0.060	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
3	0.090	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
4	0.120	0.000	0.000	0.200	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
5	0.150	0.000	0.000	1.921	0.000	0.000	0.056	0.000	0.000	0.000	0.000	0.000	0.000
6	0.180	0.000	0.000	6.570	0.000	0.000	1.349	0.331	0.000	0.000	0.000	0.000	0.000
7	0.210	0.000	0.002	13.020	0.011	0.000	5.608	2.274	0.000	0.000	0.000	0.000	0.005
8	0.240	0.000	0.230	19.924	0.279	0.000	14.464	6.274	0.098	1.321	0.000	0.000	0.639
9	0.270	0.789	0.912	25.281	1.254	1.500	26.737	13.563	0.647	2.776	3.600	0.782	3.362
10	0.300	4.945	3.250	27.535	3.341	3.600	38.523	24.901	3.023	5.135	4.200	4.067	11.368
11	0.330	14.224	7.816	28.138	6.956	8.000	45.577	38.204	7.889	7.637	4.500	11.611	26.967
12	0.360	22.247	11.619	29.535	9.916	13.100	48.549	51.120	12.683	7.796	4.800	20.564	41.108
13	0.390	23.623	10.637	30.774	9.779	15.100	50.564	58.995	13.243	5.457	5.000	27.428	42.057
14	0.419	18.761	5.901	31.143	6.479	13.000	51.722	60.637	9.840	3.192	4.400	26.572	27.920
15	0.449	11.914	1.982	27.876	2.510	7.900	48.378	60.955	5.250	1.302	3.600	19.178	11.509
16	0.479	6.120	0.658	21.783	0.581	4.300	36.354	60.404	2.365	0.160	2.200	9.985	3.187
17	0.509	2.826	0.283	14.480	0.005	2.000	19.283	55.783	1.259	0.000	1.000	3.756	0.763
18	0.539	1.318	0.051	8.530	0.000	0.000	7.745	43.045	0.102	0.000	0.000	0.939	0.102
19	0.569	0.161	0.000	4.762	0.000	0.000	2.839	26.165	0.000	0.000	0.000	0.067	0.000
20	0.599	0.000	0.000	1.294	0.000	0.000	0.563	12.605	0.000	0.000	0.000	0.000	0.000
21	0.629	0.000	0.000	0.000	0.000	0.000	0.000	2.583	0.000	0.000	0.000	0.000	0.000
22	0.659	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
23	0.689	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
24	0.719	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
25	0.749	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
26	0.779	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
