 	x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18
1	0.030	0.000	0.000	0.000	0.000	0.000	0.000	35.540	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
2	0.060	0.000	0.000	0.000	0.000	0.000	0.000	34.240	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
3	0.090	0.000	0.000	0.000	0.000	0.133	0.000	33.112	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
4	0.120	0.000	0.000	0.000	0.000	1.891	0.000	31.140	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.042
5	0.150	0.000	0.000	0.000	0.000	6.687	0.000	26.016	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.219
6	0.180	0.000	0.000	0.000	0.000	15.709	0.000	19.200	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.569
7	0.210	0.377	0.000	0.000	0.000	26.151	0.024	13.876	0.000	0.000	0.000	0.164	0.005	0.000	0.232	0.000	0.000	0.000	0.000
8	0.240	2.073	0.082	0.000	0.000	32.292	0.885	14.240	0.000	0.000	0.000	0.617	0.747	0.000	1.508	0.000	0.000	0.000	0.108
9	0.270	6.063	1.105	1.668	0.420	31.208	3.270	16.892	0.000	0.000	2.700	1.636	2.676	0.265	4.465	0.749	0.000	0.000	1.659
10	0.300	16.279	4.919	8.287	2.339	24.007	11.307	19.608	2.900	0.000	7.600	3.366	5.039	2.731	10.383	2.597	0.000	0.000	5.100
11	0.330	29.463	14.622	20.715	7.838	15.744	25.939	22.612	7.300	0.639	16.400	4.959	9.016	5.163	17.093	6.296	1.800	1.400	8.069
12	0.360	38.239	25.381	38.220	17.958	9.281	37.893	25.616	15.300	2.401	26.100	7.152	14.175	7.996	22.341	15.745	16.800	10.200	9.103
13	0.390	37.193	29.960	52.006	32.102	4.515	36.531	26.924	19.100	4.691	29.300	8.247	18.614	8.952	23.663	27.844	27.500	19.100	7.928
14	0.419	28.417	23.714	53.431	46.676	0.093	24.086	24.988	13.600	5.918	23.600	7.079	18.379	6.718	20.593	38.090	14.700	13.700	5.484
15	0.449	18.025	13.013	41.772	58.289	0.102	12.806	19.868	5.800	4.824	12.400	4.122	14.234	3.280	15.473	41.815	5.200	4.700	3.480
16	0.479	8.827	4.736	24.135	62.770	0.000	10.519	12.716	2.000	2.199	4.100	1.743	8.162	1.050	9.042	38.421	4.000	1.400	2.007
17	0.509	2.504	1.596	7.985	58.496	0.000	15.795	5.956	0.000	0.414	0.000	0.632	3.438	0.330	3.656	29.464	0.000	0.000	0.707
18	0.539	0.000	0.173	0.117	43.359	0.000	28.585	2.040	0.000	0.000	0.000	0.190	0.509	0.012	1.312	17.894	0.000	0.000	0.073
19	0.569	0.000	0.000	0.000	23.970	0.000	43.018	0.688	0.000	0.000	0.000	0.000	0.000	0.000	0.290	7.678	0.000	0.000	0.000
20	0.599	0.000	0.000	0.000	9.576	0.000	50.722	0.072	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.318	0.000	0.000	0.000
21	0.629	0.000	0.000	0.000	2.504	0.000	52.096	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.352	0.000	0.000	0.000
22	0.659	0.000	0.000	0.000	0.106	0.000	52.422	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	6.713E-4	0.000	0.000	0.000
23	0.689	0.000	0.000	0.000	0.065	0.000	55.226	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
24	0.719	0.000	0.000	0.000	2.845	0.000	56.455	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
25	0.749	0.000	0.000	0.000	7.968	0.000	49.896	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
26	0.000	0.000	0.000	0.000	10.595	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
