 	x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18
1	0.030	0.000	0.000	0.000	0.000	0.784	0.000	55.752	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
2	0.060	0.000	0.000	0.000	0.000	3.009	0.000	51.188	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
3	0.090	0.000	0.000	0.000	0.952	9.571	0.000	46.262	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
4	0.120	0.000	0.000	0.000	5.297	17.330	0.000	40.849	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
5	0.150	0.000	0.000	0.000	13.843	18.433	0.000	34.277	0.000	0.034	0.000	0.000	0.000	0.000	0.104	0.096	0.000	0.000	0.000
6	0.180	0.194	0.000	0.000	27.624	11.792	0.000	28.227	0.000	1.261	0.000	0.070	1.009	0.000	1.470	2.084	0.000	0.000	0.000
7	0.210	3.205	0.000	0.000	44.680	6.775	0.000	24.802	0.000	4.167	0.000	1.417	4.554	0.000	5.168	6.500	0.000	0.000	0.000
8	0.240	8.543	0.072	0.156	56.611	8.708	0.145	25.090	0.000	10.582	0.000	2.688	9.744	0.135	13.157	14.580	0.000	0.000	0.109
9	0.270	19.282	1.148	7.700	59.612	15.035	1.575	28.465	0.000	21.600	5.700	4.493	20.635	1.974	23.783	25.916	0.000	0.000	1.545
10	0.300	35.256	5.435	23.709	55.619	29.131	4.478	33.274	3.600	32.383	15.700	6.762	33.078	3.643	29.995	34.748	0.000	0.000	3.998
11	0.330	46.021	16.124	45.231	50.475	46.557	11.643	37.011	8.800	37.367	33.000	8.874	40.958	7.279	30.096	37.540	1.700	1.400	6.700
12	0.360	47.591	30.250	63.568	48.777	57.119	25.410	39.873	16.800	36.358	49.400	10.686	41.501	12.023	28.616	35.816	16.200	9.700	8.710
13	0.390	44.760	37.034	67.535	48.796	57.645	37.788	41.724	20.100	34.551	53.300	12.139	40.989	13.084	29.547	32.868	26.500	18.300	8.827
14	0.419	43.052	29.943	52.854	44.235	55.276	37.451	42.663	13.400	35.155	42.500	11.482	42.154	9.013	32.483	27.776	14.200	13.200	7.398
15	0.449	42.352	16.158	30.227	31.255	56.769	24.858	39.992	5.400	38.146	22.600	8.026	41.842	4.080	34.257	19.076	5.200	5.400	5.964
16	0.479	38.577	6.132	13.114	15.238	57.521	12.366	32.138	1.700	38.507	8.000	3.700	33.596	1.344	29.035	10.488	4.000	3.300	4.004
17	0.509	29.002	2.041	2.637	5.573	49.569	8.841	19.782	0.000	30.438	0.000	1.203	20.944	0.176	17.862	4.948	0.000	0.000	1.189
18	0.539	17.210	0.208	0.000	0.765	31.931	14.498	9.210	0.000	16.402	0.000	0.397	10.823	0.000	7.939	0.960	0.000	0.000	0.083
19	0.569	8.511	0.000	0.000	0.000	14.614	28.195	2.955	0.000	5.880	0.000	0.024	5.723	0.000	3.622	0.012	0.000	0.000	0.000
20	0.599	2.998	0.000	0.000	0.000	5.288	44.444	0.408	0.000	1.591	0.000	0.000	1.027	0.000	1.304	0.000	0.000	0.000	0.000
21	0.629	0.037	0.000	0.000	0.000	1.118	53.511	0.000	0.000	0.106	0.000	0.000	0.000	0.000	0.016	0.000	0.000	0.000	0.000
22	0.659	0.000	0.000	0.000	0.000	0.009	54.094	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
23	0.689	0.000	0.000	0.000	0.000	0.000	53.437	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
24	0.719	0.000	0.000	0.000	0.000	0.000	55.879	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
25	0.749	0.000	0.000	0.000	0.000	0.000	57.457	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
26	0.779	0.000	0.000	0.000	0.000	0.000	49.768	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
