 	x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18
1	0.030	0.000	0.000	0.000	0.000	2.133	0.000	52.244	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
2	0.060	0.000	0.000	0.000	0.000	2.181	0.000	55.967	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
3	0.090	0.000	0.000	0.000	0.000	1.634	0.000	58.193	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
4	0.120	0.000	0.000	0.000	0.000	0.485	0.000	57.722	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
5	0.150	0.000	0.000	0.000	0.000	0.034	0.000	53.230	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
6	0.180	0.000	0.000	0.000	0.000	1.062	0.000	43.850	0.000	0.000	0.000	0.000	0.000	0.000	0.009	0.000	0.000	0.000	0.000
7	0.210	0.097	0.000	0.000	0.253	4.185	0.022	34.458	0.000	0.000	0.000	0.307	0.000	0.000	0.275	0.000	0.000	0.000	0.000
8	0.240	3.117	0.036	0.000	4.230	11.858	0.479	27.855	0.000	0.000	0.000	0.501	0.000	0.005	1.060	0.000	0.000	0.000	0.000
9	0.270	4.341	0.682	0.383	11.537	24.132	1.277	24.919	0.000	0.000	3.100	1.046	1.334	0.622	2.462	0.000	0.000	0.000	0.258
10	0.300	4.284	3.499	7.654	25.045	35.352	3.707	25.416	2.300	0.200	9.600	2.023	5.797	1.681	5.364	0.080	0.000	0.000	1.207
11	0.330	1.800	11.799	18.216	40.442	41.246	10.832	27.064	5.100	2.292	19.800	4.491	13.430	3.520	9.100	0.924	0.600	0.800	3.163
12	0.360	1.800	24.237	28.358	49.993	43.344	22.323	30.250	8.700	5.004	29.400	7.589	21.998	6.207	13.022	2.596	7.100	4.900	5.235
13	0.390	0.000	29.767	32.138	54.094	41.649	27.892	29.845	10.000	8.064	30.100	8.896	26.621	8.932	15.648	5.712	12.700	9.400	6.202
14	0.419	0.000	24.110	26.640	56.537	34.080	21.172	25.178	6.400	9.152	22.700	6.861	25.888	8.415	14.301	9.828	7.700	7.100	6.151
15	0.449	0.000	12.007	15.845	58.145	20.918	9.915	18.469	2.700	7.228	12.300	3.795	20.248	5.212	10.727	15.200	3.400	3.600	5.330
16	0.479	0.000	3.936	6.633	54.663	9.351	6.887	11.467	1.000	3.352	5.500	1.249	13.586	2.148	5.993	18.564	2.800	3.200	3.264
17	0.509	0.000	1.182	2.791	41.433	3.196	10.837	5.817	0.000	0.744	0.000	0.256	7.162	0.457	1.802	17.528	0.000	0.000	0.961
18	0.539	0.000	0.095	0.485	23.294	0.846	20.698	1.982	0.000	0.000	0.000	0.000	3.299	0.000	0.000	12.064	0.000	0.000	0.064
19	0.569	0.000	0.000	0.000	9.613	0.059	37.869	0.000	0.000	0.000	0.000	0.000	0.334	0.000	0.000	6.156	0.000	0.000	0.000
20	0.599	0.000	0.000	0.000	3.360	0.000	52.408	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.760	0.000	0.000	0.000
21	0.629	0.000	0.000	0.000	0.236	0.000	57.152	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.568	0.000	0.000	0.000
22	0.659	0.000	0.000	0.000	0.000	0.000	55.369	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
23	0.689	0.000	0.000	0.000	0.000	0.000	55.440	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
24	0.719	0.000	0.000	0.000	0.000	0.000	58.075	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
25	0.749	0.000	0.000	0.000	0.000	0.000	55.165	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
26	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
