 	x	1	2	3	4	5	6	7
1	0.030	0.000	0.000	0.000	0.000	0.000	0.000	0.000
2	0.060	0.000	0.000	0.000	0.000	0.000	0.000	0.000
3	0.090	0.000	0.000	0.000	0.000	0.000	0.000	0.000
4	0.120	0.000	0.000	0.000	0.005	0.000	0.000	0.000
5	0.150	0.000	0.000	0.000	1.497	0.073	0.000	0.000
6	0.180	0.000	0.000	0.000	5.459	3.190	0.000	0.000
7	0.210	0.000	0.000	0.864	12.798	9.483	0.035	0.039
8	0.240	0.000	0.112	4.205	24.182	19.940	2.367	3.753
9	0.271	0.000	3.736	11.504	32.675	31.377	8.108	10.496
10	0.301	3.100	8.739	22.287	33.836	35.700	16.679	23.455
11	0.331	6.700	17.623	29.109	31.021	32.636	27.843	37.642
12	0.361	14.200	28.291	30.236	27.966	27.732	35.307	45.463
13	0.391	24.100	37.047	30.345	24.787	25.705	36.929	46.063
14	0.421	29.900	41.774	31.733	18.623	27.855	35.833	40.926
15	0.451	29.600	41.906	29.555	10.392	32.961	35.003	30.955
16	0.481	26.000	36.508	21.078	4.153	40.701	31.981	19.913
17	0.511	19.800	25.465	11.351	0.762	45.334	23.816	10.751
18	0.541	11.700	13.289	5.351	0.019	40.215	12.823	0.417
19	0.571	5.500	5.367	1.720	0.000	25.630	5.304	0.000
20	0.601	0.000	0.771	0.000	0.000	11.359	1.550	0.000
21	0.631	0.000	0.000	0.000	0.000	3.990	0.000	0.000
22	0.661	0.000	0.000	0.000	0.000	0.816	0.000	0.000
23	0.691	0.000	0.000	0.000	0.000	0.000	0.000	0.000
24	0.721	0.000	0.000	0.000	0.000	0.000	0.000	0.000
25	0.752	0.000	0.000	0.000	0.000	0.000	0.000	0.000
26	0.782	0.000	0.000	0.000	0.000	0.000	0.000	0.000
