 	x	1	2	3	4	5	6	7
1	0.030	0.000	0.000	0.000	0.000	0.000	0.000	0.000
2	0.060	0.000	0.000	0.000	0.000	0.000	0.000	0.000
3	0.090	0.000	0.000	0.000	0.000	0.000	0.000	0.000
4	0.120	0.000	0.000	0.000	0.000	0.000	0.000	0.000
5	0.150	0.000	0.000	0.000	0.000	0.000	0.000	0.000
6	0.180	0.000	0.000	0.000	0.000	0.000	0.000	0.000
7	0.210	0.000	0.224	0.000	0.000	0.259	0.000	0.000
8	0.240	0.000	3.786	0.000	0.000	3.936	0.168	0.151
9	0.271	0.200	8.769	0.063	0.076	7.780	2.720	3.008
10	0.301	1.500	12.636	0.673	2.826	13.238	5.276	7.191
11	0.331	3.800	11.981	1.674	9.495	18.963	8.395	11.482
12	0.361	7.400	8.574	3.468	17.031	21.970	10.290	13.924
13	0.391	10.800	4.676	6.056	21.214	20.618	9.790	13.073
14	0.421	11.900	1.864	8.585	19.361	15.827	7.508	9.990
15	0.451	10.600	0.549	9.681	13.364	10.667	4.613	6.232
16	0.481	8.000	0.137	8.108	6.859	6.278	2.118	3.302
17	0.511	5.000	0.000	4.986	2.770	2.942	0.619	1.667
18	0.541	2.600	0.000	2.421	0.946	1.259	0.071	0.122
19	0.571	1.200	0.000	0.918	0.135	0.307	0.000	0.000
20	0.601	0.000	0.000	0.000	0.000	0.011	0.000	0.000
21	0.631	0.000	0.000	0.000	0.000	0.000	0.000	0.000
22	0.661	0.000	0.000	0.000	0.000	0.000	0.000	0.000
23	0.691	0.000	0.000	0.000	0.000	0.000	0.000	0.000
24	0.721	0.000	0.000	0.000	0.000	0.000	0.000	0.000
25	0.752	0.000	0.000	0.000	0.000	0.000	0.000	0.000
26	0.782	0.000	0.000	0.000	0.000	0.000	0.000	0.000
