 	x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	178	179	180	181	182	183	184	185	186	187	188	189	190	191	192	193	194	195	196	197	198	199	200	201	202	203	204	205	206	207	208	209	210	211	212	213	214	215	216	217	218	219	220	221	222	223	224	225	226	227	228	229	230	231	232	233	234	235	236	237	238	239	240	241	242	243	244	245	246	247	248	249	250	251	252	253	254	255	256	257	258	259	260	261	262	263	264	265	266	267	268	269	270	271	272	273	274
1	0.030	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	24.572	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.409	0.000	0.000	0.000	0.000	0.000	43.000	0.000	20.632	0.388	0.000	0.000	0.000	25.048	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.988	1.823	0.000	0.000	0.000	13.626	12.500	25.529	25.164	0.000	18.701	0.000	14.751	0.000	9.832	0.816	18.173	0.000	0.000	27.125	0.000	0.000	57.291	51.944	19.800	0.000	44.956	24.300	34.579	0.000	0.000	18.453	39.641	0.000	0.000	37.189	0.000	20.448	0.000	41.208	0.000	2.782	15.053	12.560	0.000	0.000	0.598	1.584	0.000	17.217	0.000	0.000	12.331	84.400	0.000	0.000	0.000	15.107	0.119	0.000	6.464	0.000	12.820	19.708	23.061	0.401	0.000	11.900	2.716	0.000	9.763	6.800	17.108	0.000	0.000	0.000	12.989	0.000	17.200	13.804	0.000	19.140	0.000	18.167	20.000	0.000	33.319	28.565	0.000	0.000	0.000	19.900	13.874	13.525	16.007	39.099	11.353	42.667	0.595	20.860	0.000	0.000	0.000	13.206	0.000	44.314	12.141	10.149	0.000	7.059	0.000	14.741	0.000	62.800	0.000	0.000	0.000	11.564	25.680	0.000	8.519	0.000	29.797	30.731	6.883	30.151	0.000	0.000	25.311	26.700	0.000	13.211	21.929	5.100	0.618	64.100	0.000	0.000	16.934	9.060	0.000	70.421	69.077	0.068	0.000	20.436	0.000	13.300	0.000	0.000	2.565	0.000	0.000	6.392	0.000	0.000	0.000	9.382	0.000	0.000	4.491	11.430	0.000	0.000	0.000	45.717	0.000	0.000	0.000	0.000	0.000	0.000	0.000	10.169	0.000	0.000	0.000	0.000	5.965	0.000	56.049	0.000	0.000	17.358	14.200	0.000	0.000	0.000	1.151	0.000	0.000	0.000	4.923	0.000	0.000	0.000	55.252	0.000	0.000	5.484	0.000	10.400	0.000	0.000	30.981	18.300	0.000	0.000	0.400	15.231	0.000	3.600	0.300	0.000	0.000	0.000	0.000	0.000	0.000	0.000	50.800	0.000
2	0.060	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.624	14.146	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3.430	0.000	0.000	0.000	0.000	0.000	55.500	0.000	10.558	0.000	0.000	0.000	0.000	26.622	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.146	0.000	0.000	0.000	0.000	12.076	7.900	21.600	25.449	0.000	14.132	0.000	16.817	0.000	3.187	3.668	18.283	0.000	0.000	31.854	0.000	0.000	51.300	47.966	20.400	0.000	46.686	26.100	40.015	0.000	0.000	13.627	33.718	0.000	0.000	28.227	0.000	19.609	0.000	34.822	0.000	0.164	14.178	4.487	0.000	0.000	0.000	0.576	0.000	18.352	0.000	0.143	8.529	67.600	0.000	0.000	0.000	13.710	1.099	0.000	9.185	0.000	11.386	20.282	21.163	0.000	3.900	12.200	0.113	0.000	12.208	14.000	17.302	0.000	0.000	0.000	8.420	8.009	17.000	13.968	0.000	19.652	0.000	18.313	19.500	0.000	33.170	27.589	0.000	0.000	0.000	20.300	14.915	12.036	16.157	36.276	13.467	40.765	1.927	20.849	0.000	0.000	0.000	7.160	0.000	42.630	12.007	3.277	0.000	14.388	0.000	0.254	0.000	65.400	0.000	0.000	0.000	2.882	26.317	0.000	10.592	0.000	25.806	29.096	3.281	7.444	0.000	0.000	20.648	27.100	0.000	15.261	13.355	5.000	0.382	52.400	0.000	0.000	12.058	6.500	0.000	65.787	66.083	0.000	0.000	19.460	0.000	12.300	0.000	0.000	2.962	0.000	0.000	5.639	0.000	0.000	0.000	9.320	0.000	0.000	4.456	11.343	0.000	0.000	0.000	39.158	0.000	0.000	0.000	0.000	0.000	0.000	0.000	9.801	0.000	0.091	0.000	0.000	3.182	0.000	45.214	0.000	0.000	2.617	15.900	0.000	0.000	0.000	2.314	0.000	0.000	0.000	12.947	0.000	0.000	0.000	59.397	0.000	0.000	0.492	0.000	14.200	0.000	0.000	32.046	19.300	0.000	0.000	0.000	13.707	0.000	5.400	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	53.300	0.000
3	0.090	0.000	0.000	0.000	0.000	0.000	0.000	0.000	5.705	7.412	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3.438	0.000	0.000	0.000	0.000	0.000	60.200	1.276	4.557	0.000	0.000	0.000	0.000	26.602	0.322	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	9.772	1.700	16.834	25.529	0.000	8.105	0.000	16.912	0.000	0.347	13.067	18.124	0.000	0.000	35.216	0.000	0.202	43.543	43.810	20.000	0.000	47.438	28.600	47.263	0.000	0.000	8.420	22.072	0.000	0.000	14.460	0.000	15.529	0.000	14.878	0.000	0.000	13.615	0.000	0.000	0.000	0.000	0.000	0.000	19.150	0.000	0.000	5.071	52.000	0.000	0.000	0.000	12.032	1.003	0.000	9.917	0.000	8.284	20.703	18.929	0.000	6.300	12.700	0.000	2.664	13.719	14.100	17.158	0.000	0.000	0.000	4.704	15.611	18.500	14.242	0.000	20.467	0.000	19.280	18.300	0.000	30.786	24.843	0.000	0.448	0.000	20.300	15.994	10.563	17.287	31.482	12.828	37.416	3.257	12.639	0.000	0.000	0.000	1.729	0.000	39.993	10.890	0.000	0.000	23.269	0.000	0.000	0.000	64.100	0.000	0.000	0.000	0.000	26.180	0.000	12.289	0.000	24.446	24.297	3.277	6.568	0.000	0.000	16.588	27.200	0.000	16.788	4.625	4.800	0.000	39.400	0.000	0.000	6.612	3.120	0.000	55.586	56.902	0.000	0.000	17.864	0.000	11.400	0.000	0.000	1.198	0.000	0.000	5.032	0.000	0.000	0.000	10.005	0.000	0.000	4.140	11.707	0.000	0.000	0.000	27.612	0.000	0.000	0.000	0.000	0.000	0.000	0.000	9.189	0.000	1.233	0.000	0.000	0.491	0.000	34.459	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3.759	0.000	0.000	0.000	20.504	0.000	0.000	0.000	56.729	0.000	0.000	2.272	0.000	17.000	0.000	0.000	29.226	16.200	0.000	0.000	0.000	10.943	0.000	7.200	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	55.800	0.000
4	0.120	0.000	0.000	0.000	0.000	0.000	0.000	0.000	17.599	3.460	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3.580	0.000	0.000	0.000	0.000	0.000	61.000	4.853	0.164	0.000	0.000	0.000	0.000	22.879	5.069	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.505	0.000	0.000	0.000	0.000	5.897	0.000	12.584	24.402	0.000	3.321	0.000	15.247	0.000	0.000	17.124	18.064	0.000	0.000	33.729	0.000	15.836	35.944	40.373	0.000	0.000	47.718	29.900	53.269	0.488	0.000	2.774	11.558	0.000	0.000	4.885	0.000	10.805	0.000	0.516	0.000	0.000	12.814	0.000	0.000	0.000	0.000	0.000	0.000	19.246	0.000	1.281	1.939	41.400	0.000	0.000	0.000	6.538	0.908	0.000	10.186	0.000	7.520	19.776	17.348	0.000	6.300	12.500	0.000	2.623	14.211	13.800	16.991	0.000	0.000	0.000	1.551	19.386	20.100	13.823	0.000	20.234	0.000	19.325	17.000	0.000	27.205	21.031	0.000	9.581	0.000	20.400	16.274	9.188	18.650	26.020	9.692	34.721	0.867	0.000	0.000	0.000	0.000	0.000	0.000	36.905	9.621	0.000	0.000	32.098	0.000	0.000	0.000	59.400	3.124	12.771	0.000	0.000	25.282	0.000	12.756	0.000	10.517	18.850	4.516	32.912	0.000	0.000	11.360	27.000	0.000	15.833	0.000	4.800	0.000	30.900	0.000	0.000	2.302	0.260	0.000	42.880	45.099	0.000	0.000	17.804	0.000	11.400	0.000	0.000	0.000	0.000	0.000	4.080	0.000	0.000	0.000	10.628	0.000	0.000	3.109	11.897	0.938	0.000	0.000	14.671	0.000	0.000	0.000	0.000	0.000	0.000	0.000	9.086	0.000	13.273	0.000	0.000	0.000	0.000	24.141	0.000	0.000	0.000	0.000	0.000	0.000	0.000	4.932	0.000	0.000	0.000	23.385	0.000	0.000	0.000	47.841	0.000	0.000	7.384	0.000	16.900	0.000	0.000	22.649	11.400	0.000	0.000	0.000	8.536	0.000	8.300	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	57.600	0.000
5	0.150	0.000	0.000	0.000	0.000	0.000	0.000	0.000	38.154	0.611	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3.130	0.000	0.000	0.000	0.000	0.000	59.700	10.998	0.000	0.000	0.000	0.000	0.000	15.758	12.129	0.000	0.000	1.282	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.446	1.649	0.000	0.000	0.000	2.184	0.000	9.069	22.292	0.000	0.171	0.000	11.967	0.000	0.000	17.048	17.342	2.734	0.000	31.739	0.000	21.675	19.280	38.237	0.000	0.000	47.782	29.900	55.773	1.671	0.000	0.000	1.504	0.000	0.000	3.746	0.000	6.918	0.000	0.000	0.000	0.000	11.832	1.324	0.000	0.000	0.000	0.000	0.000	18.175	0.000	2.575	0.000	0.000	0.000	0.000	0.000	6.310	0.812	0.000	9.064	0.000	11.325	17.075	14.012	0.000	6.400	12.600	0.048	2.274	13.975	13.800	17.168	0.000	0.000	0.000	0.000	20.018	19.800	13.232	0.000	19.045	0.000	18.837	15.600	0.000	24.459	8.422	0.000	16.828	0.000	19.500	16.228	18.029	19.895	19.102	6.962	29.315	0.000	0.000	0.000	0.000	0.000	0.000	0.000	32.544	9.453	0.000	0.000	32.318	0.000	0.000	0.000	53.700	4.507	26.599	0.000	0.000	16.662	0.000	11.895	0.000	0.000	15.612	6.250	47.417	0.000	0.000	1.368	25.700	0.000	11.973	0.000	8.000	0.000	5.500	0.000	0.000	0.000	0.000	0.000	32.138	32.863	0.000	0.000	6.961	0.000	10.800	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	11.216	0.000	0.000	1.745	11.150	3.895	0.000	0.000	5.025	0.000	0.000	0.000	0.000	0.000	0.000	0.000	8.638	0.000	18.685	0.000	0.000	0.000	0.000	15.063	0.000	0.000	0.000	0.000	0.000	0.000	0.000	4.703	0.000	0.000	0.000	26.788	0.000	0.000	0.000	35.493	0.000	0.000	12.720	0.000	15.100	0.000	0.000	15.364	7.900	0.000	0.000	0.000	5.266	0.000	7.800	0.000	13.283	0.000	0.000	0.000	0.000	0.000	0.000	55.400	0.000
6	0.181	0.016	1.046	0.000	0.000	0.000	0.000	0.000	56.813	0.000	0.000	0.000	0.000	0.180	0.000	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.000	1.737	0.000	0.000	0.000	0.000	0.000	52.600	18.433	0.000	0.000	0.000	0.000	0.000	8.975	21.592	0.000	0.000	4.928	0.000	0.413	0.000	0.000	0.000	0.000	0.000	0.000	0.092	0.000	0.000	0.000	1.386	3.881	0.000	0.000	0.000	0.031	0.000	3.092	20.774	0.000	0.000	0.000	3.530	0.000	0.000	16.068	16.569	7.672	0.013	28.722	0.000	24.631	13.275	31.811	0.000	0.000	46.861	29.300	53.999	2.832	0.705	0.000	0.000	0.000	0.000	5.867	0.000	2.319	0.000	1.178	0.000	0.000	11.279	14.103	0.000	0.000	0.000	0.000	0.000	16.915	0.000	7.037	0.000	0.000	0.000	0.000	0.346	9.813	0.716	0.000	7.009	0.000	12.176	14.314	8.127	0.000	7.100	12.400	5.918	4.297	13.401	14.700	17.036	0.000	0.000	0.000	0.000	17.195	17.200	12.768	0.000	17.999	0.000	18.432	15.800	0.000	16.472	0.000	0.000	27.823	0.000	18.400	17.313	27.303	20.029	10.205	3.481	20.515	0.000	0.000	0.000	0.000	0.000	0.000	0.000	19.579	8.280	0.118	0.000	26.208	0.000	0.000	0.000	47.400	5.268	38.654	0.000	0.143	3.944	0.000	12.799	0.000	0.000	12.596	8.067	55.026	0.000	0.000	0.000	24.700	0.000	7.662	5.715	8.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	6.214	23.192	1.232	0.000	1.580	0.000	9.400	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.177	10.596	0.000	0.000	0.343	10.048	10.358	0.000	0.000	0.363	0.000	0.000	0.000	0.000	0.000	0.000	0.000	5.938	0.000	26.362	0.000	0.000	0.000	0.000	7.314	0.000	0.735	0.000	0.000	0.000	0.000	0.000	3.328	0.000	0.435	0.000	29.128	0.000	0.891	0.000	23.233	0.000	0.000	20.584	0.000	12.800	0.000	0.000	9.853	1.500	0.000	0.000	0.000	1.542	0.981	6.400	0.000	30.292	0.000	0.000	0.000	0.000	0.000	0.000	45.500	0.000
7	0.211	1.195	4.907	0.000	0.000	0.000	0.000	0.000	63.971	0.004	0.000	0.938	0.000	1.233	0.000	0.000	0.000	1.346	0.304	0.000	0.000	0.000	0.000	5.463	0.000	0.024	0.000	0.000	0.010	37.800	24.870	0.000	0.000	0.000	0.808	0.000	5.325	35.723	1.764	0.000	13.937	0.000	3.538	0.003	0.515	0.098	0.000	0.000	0.000	1.779	0.000	0.000	0.496	2.220	3.858	0.000	0.056	0.000	2.635	0.000	1.720	20.044	0.000	0.000	0.000	0.104	0.000	1.309	14.768	13.873	11.956	13.139	24.702	0.000	28.511	19.194	19.056	3.600	0.000	44.273	28.600	47.545	1.734	1.592	0.000	0.000	0.000	0.000	12.640	0.000	0.000	0.000	15.799	0.000	0.118	11.858	18.554	0.084	0.000	0.000	0.385	0.000	15.904	0.014	8.876	0.000	0.000	4.226	0.000	2.512	10.713	0.625	0.000	4.915	0.000	13.304	11.934	0.918	0.000	7.100	3.200	17.092	5.338	12.705	14.900	17.279	0.247	0.000	0.000	0.000	14.657	15.200	14.924	0.000	17.497	0.000	18.603	15.700	0.005	16.765	0.000	0.000	35.913	0.235	14.200	17.358	25.443	19.361	3.342	2.288	13.011	0.000	1.415E-6	0.000	0.000	0.914	3.773	0.000	7.107	4.905	10.409	0.000	32.445	0.000	4.093	0.000	41.600	6.126	48.204	0.000	4.237	0.000	0.000	11.277	0.736	0.000	2.185	7.863	62.964	0.000	0.083	0.000	24.100	0.708	4.691	13.106	8.000	0.000	0.000	4.051	0.000	0.474	0.468	3.126	0.000	13.144	3.702	0.000	7.960	2.423	8.400	0.014	0.000	0.000	0.000	0.028	0.000	0.000	0.036	3.583	9.559	0.000	0.604	0.000	9.454	20.689	4.423	0.000	0.000	0.000	0.000	0.000	0.008	0.000	0.000	0.000	3.497	0.399	36.251	0.000	0.219	0.244	0.000	2.024	0.929	4.261	0.000	0.000	0.000	0.000	0.000	2.217	0.222	7.188	0.000	30.309	0.000	6.190	0.000	11.806	0.000	0.831	28.043	0.000	12.600	0.000	0.321	4.573	1.400	0.940	0.680	0.000	1.665	8.148	4.700	0.000	44.872	0.000	2.701	0.309	0.000	0.000	0.000	29.200	0.000
8	0.241	4.918	8.668	0.000	0.431	2.256	0.000	0.168	62.650	0.610	1.274	2.756	0.195	3.500	0.000	0.000	0.000	7.467	1.200	0.019	0.022	0.000	0.000	24.546	0.000	0.849	0.712	0.000	0.776	21.800	34.273	0.535	0.000	0.000	5.710	1.659	16.625	48.626	4.200	0.055	29.124	0.515	5.643	0.493	2.522	2.603	0.000	0.000	3.386E-6	4.021	0.000	0.770	2.625	7.710	1.813	0.000	1.759	0.000	8.398	0.000	4.041	19.390	0.000	1.323	0.000	1.602	0.264	12.886	12.692	15.063	15.259	20.435	25.777	0.000	39.538	27.134	14.115	3.600	0.000	40.790	11.400	39.739	3.128	5.299	0.000	0.949	0.394	0.000	17.269	0.000	2.077	0.000	38.831	7.408	1.624	12.018	20.452	5.577	2.000	2.186	2.383	0.000	15.587	3.063	9.457	0.419	0.000	18.821	0.000	5.588	7.397	0.877	0.204	7.069	0.000	16.688	8.607	3.109	0.000	7.000	3.600	27.384	9.528	12.415	13.900	17.938	1.425	0.000	0.000	2.133	13.725	14.100	15.484	0.744	18.135	0.000	18.309	15.300	0.756	27.814	0.000	0.312	43.267	1.276	10.800	15.297	27.079	18.874	13.324	4.802	11.694	1.300	11.665	0.000	0.000	6.193	11.713	0.000	8.750	2.297	19.302	0.000	38.630	1.761	20.760	0.305	36.900	6.880	57.396	0.000	15.293	3.337	0.000	2.269	4.930	0.000	5.266	7.313	68.666	0.376	1.142	0.000	10.200	3.930	0.141	16.565	8.100	0.000	0.000	25.891	0.616	2.506	4.072	8.844	6.528	6.360	7.185	0.000	15.440	11.837	8.400	0.453	0.531	2.741	0.379	0.741	6.200	1.684	1.177	4.094	8.976	0.000	3.092	0.731	9.097	38.095	8.982	0.882	0.252	1.002	0.000	1.925	1.221	0.000	1.788	0.792	3.507	2.722	46.450	1.283	2.637	3.209	0.025	2.160	6.484	11.774	3.790	0.000	0.000	0.000	0.000	1.628	5.901	17.115	0.000	30.173	0.000	9.253	0.000	3.991	0.303	3.065	38.893	0.942	10.200	0.829	2.516	7.831	0.000	5.025	2.565	0.000	6.291	14.996	2.800	0.000	63.655	0.014	15.800	4.147	0.000	0.205	0.000	15.800	0.000
9	0.271	12.721	11.985	1.654	1.527	11.169	0.250	1.943	59.153	2.281	3.428	4.160	2.472	5.928	0.300	0.410	0.969	8.721	3.645	5.197	3.962	4.500	8.800	32.020	1.083	2.550	3.379	1.107	2.531	11.700	40.548	9.590	0.411	0.000	11.319	6.845	31.497	54.655	7.140	1.946	44.906	5.233	7.487	2.685	9.075	5.735	4.800	0.552	2.620	6.777	0.000	5.239	8.921	14.500	3.595	0.711	5.750	0.000	12.764	14.900	5.849	18.007	0.000	3.919	1.198	6.227	22.475	20.529	11.260	16.601	21.184	24.089	39.399	0.000	41.719	31.542	20.706	11.300	0.477	37.278	11.300	34.644	25.488	6.863	0.000	8.159	2.487	0.000	23.382	1.242	5.923	0.000	51.051	19.590	9.723	11.468	24.363	7.535	5.700	13.867	8.015	0.000	15.264	7.804	10.727	4.894	0.000	23.715	21.700	9.531	5.464	5.145	4.662	13.782	2.809	17.665	3.881	9.359	1.398	6.800	3.800	41.435	10.952	10.355	13.400	17.528	3.891	1.327	0.000	6.620	13.405	13.000	16.023	5.406	18.865	0.000	17.520	0.000	2.630	32.625	0.500	3.433	48.658	2.630	1.700	17.090	28.746	18.701	20.913	11.772	15.948	9.299	23.949	0.000	0.000	12.218	20.572	0.000	17.557	1.063	24.674	0.485	37.927	4.312	31.210	3.135	34.600	26.915	64.024	0.594	23.969	9.178	0.000	7.666	15.829	2.053	14.861	2.738	70.022	4.240	3.919	1.109	2.100	11.673	0.679	20.064	8.000	0.997	0.000	42.536	3.812	3.989	9.124	15.160	17.243	12.382	10.596	0.000	30.448	21.693	9.000	2.880	3.231	7.722	3.030	3.630	15.923	9.921	2.222	3.975	8.894	0.000	6.047	2.874	8.900	56.840	9.488	3.640	3.061	9.474	5.800	14.898	3.836	3.900	6.781	3.488	1.967	5.698	53.025	5.733	5.667	6.635	1.196	10.316	16.580	19.727	6.747	20.400	0.000	0.000	0.513	2.279	20.810	25.558	8.300	28.903	17.600	13.281	8.900	3.415	1.882	4.890	47.136	4.211	12.900	4.318	4.759	19.436	0.000	7.725	6.793	3.000	13.342	24.441	3.200	9.000	79.775	4.492	24.850	11.531	0.765	1.589	0.101	9.500	0.000
10	0.301	24.050	13.398	6.365	3.844	24.311	1.397	7.716	54.412	6.727	6.317	7.248	5.875	8.915	6.626	1.740	4.340	9.448	8.397	10.200	12.120	9.300	14.200	36.110	8.336	7.282	5.884	8.295	8.205	0.000	45.400	17.407	14.528	9.300	18.813	14.013	50.401	52.833	10.660	4.549	50.644	16.166	9.129	10.076	20.237	10.925	14.800	3.403	8.608	8.902	1.052	8.025	20.561	24.521	6.302	6.628	14.926	6.700	20.163	18.100	10.411	14.887	0.000	5.342	7.771	10.971	25.544	28.893	10.596	17.576	32.262	32.340	41.591	15.800	45.410	36.689	32.000	41.000	4.069	35.097	37.100	32.546	34.506	14.141	2.182	16.294	5.620	23.300	29.003	9.233	9.873	0.000	61.282	26.286	20.665	10.447	29.930	8.525	11.600	30.270	19.185	5.200	15.025	14.092	11.604	7.755	31.100	27.095	21.700	14.036	8.315	12.158	7.920	18.359	9.001	18.881	2.012	12.312	10.934	12.900	13.300	55.911	11.122	10.579	13.900	16.942	8.501	5.127	14.000	10.824	14.839	14.900	16.626	13.131	18.981	0.487	16.666	14.800	6.206	34.815	4.589	12.918	52.518	6.396	19.000	19.730	30.192	19.980	23.383	22.135	23.952	20.196	29.246	9.200	0.000	18.505	32.864	16.600	21.395	0.172	29.396	3.704	37.724	12.748	31.278	10.366	34.300	33.110	67.298	3.019	36.030	16.131	0.436	10.513	36.610	15.452	14.879	6.171	66.868	16.607	9.211	10.018	23.200	24.474	4.605	21.727	15.400	6.513	31.100	50.029	9.106	6.451	13.364	23.728	36.441	21.410	14.005	1.034	41.752	30.765	9.800	9.334	7.573	9.494	10.621	11.260	25.903	15.025	5.190	5.240	9.338	10.900	8.269	4.964	9.162	67.725	9.735	7.533	5.222	24.392	10.700	29.146	8.881	6.400	12.669	6.688	11.625	8.969	54.375	11.480	10.269	11.743	2.950	13.505	28.057	26.043	7.626	28.300	0.501	33.900	4.252	9.206	36.789	38.483	14.600	28.103	20.700	18.902	19.300	8.454	4.176	7.050	49.864	10.251	41.300	9.643	7.908	30.145	13.100	10.214	15.011	4.700	24.860	36.977	18.200	17.200	92.045	12.965	34.443	25.738	1.222	6.531	2.995	8.200	0.000
