 	x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	178	179	180	181	182	183	184	185	186	187	188	189	190	191	192	193	194	195	196	197	198	199	200	201	202	203	204	205	206	207	208	209	210	211	212	213	214	215	216	217	218	219	220	221	222	223	224	225	226	227	228	229	230	231	232	233	234	235	236	237	238	239	240	241	242	243	244	245	246	247	248	249	250	251	252	253	254	255	256	257	258	259	260	261	262	263	264	265	266	267	268	269	270	271	272	273	274
1	0.030	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	25.214	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	18.854	0.000	0.000	4.094	0.000	0.000	51.400	0.000	0.000	0.259	0.000	0.000	0.000	0.000	0.000	0.000	24.591	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	6.152	16.300	0.000	0.000	0.000	0.000	28.700	40.000	6.371	0.000	39.326	7.549	0.000	0.000	13.677	13.800	17.147	0.000	0.000	0.000	0.000	0.000	55.410	42.821	28.500	0.000	51.184	35.200	27.392	0.000	23.005	43.382	7.105	0.000	3.100	52.518	0.000	38.212	0.000	2.793	0.000	0.000	13.296	44.280	0.000	0.000	0.000	12.872	0.000	17.784	0.000	8.141	20.448	75.200	0.000	0.000	0.000	16.931	11.846	0.000	21.044	0.000	0.000	22.429	18.707	0.000	0.000	11.800	1.546	21.721	0.000	1.300	0.880	0.000	0.000	0.000	0.000	17.476	16.400	13.973	0.000	18.236	0.000	14.150	19.800	0.000	16.128	26.855	0.000	0.000	0.000	20.200	12.356	10.302	17.930	9.108	0.000	32.403	6.460	6.443	0.000	0.000	0.000	29.116	0.000	26.212	15.239	27.698	0.000	2.113	0.000	34.211	0.000	61.900	6.387	26.387	0.000	6.971	22.766	0.000	20.318	0.000	3.251	1.285	0.000	26.468	0.000	0.000	4.209	26.200	0.000	4.499	24.223	0.000	7.292	63.200	0.000	0.000	21.032	13.304	13.546	68.863	50.881	10.916	0.000	20.240	0.000	5.800	0.000	0.000	8.214	0.000	0.000	0.000	0.000	0.000	0.000	11.119	0.000	0.000	0.000	13.214	0.171	34.745	0.000	23.064	0.000	0.000	0.000	0.000	0.000	0.000	0.000	12.217	0.000	0.970	0.000	0.000	0.000	0.000	56.472	0.000	0.000	45.003	12.100	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.359	0.000	46.798	0.000	0.000	8.400	0.000	0.000	22.620	14.800	0.000	0.000	6.200	6.366	54.810	0.300	2.000	0.000	0.000	0.000	0.318	0.000	0.000	0.000	37.600	0.000
2	0.060	0.000	0.000	0.000	0.000	4.937	0.000	0.000	0.000	15.553	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	25.840	0.000	0.000	0.224	0.000	0.000	37.900	0.000	0.000	10.152	0.000	0.000	0.000	0.000	0.000	0.000	19.924	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.012	0.000	0.000	0.000	0.000	1.982	15.863	0.000	0.000	0.000	0.000	21.200	36.624	8.753	0.000	31.245	8.157	0.000	0.000	10.375	3.504	16.847	0.000	0.000	0.000	0.000	0.000	45.979	39.531	29.000	0.000	47.223	37.600	26.084	0.000	23.939	34.010	0.247	0.000	3.100	50.418	0.000	46.102	0.000	0.328	0.000	0.000	13.543	16.549	0.000	0.000	0.000	14.362	0.000	17.779	0.000	8.220	19.137	60.700	0.000	0.000	0.000	16.076	12.696	0.000	23.207	0.000	0.000	23.121	16.408	0.000	0.000	12.000	0.000	19.827	0.196	13.400	6.132	0.000	0.000	0.000	0.000	19.912	16.600	14.423	0.000	18.108	0.000	15.537	19.100	0.000	23.876	28.924	0.000	0.000	0.000	20.500	14.175	0.000	17.765	8.423	0.000	29.588	0.612	5.482	0.000	0.000	0.000	22.345	0.000	23.202	6.704	22.636	0.000	0.000	0.000	36.329	0.000	61.500	12.653	2.927	0.000	0.677	22.848	0.000	20.751	0.000	0.000	0.950	0.000	7.359	0.000	0.000	4.359	26.500	0.000	4.802	14.297	0.000	7.493	52.300	0.000	0.000	16.528	11.308	9.253	68.365	42.736	8.961	0.000	5.044	0.000	5.800	0.000	0.000	7.350	0.000	0.000	0.000	0.000	0.000	0.000	12.084	0.000	0.000	0.000	13.593	0.000	24.504	0.000	25.432	0.000	0.000	0.000	0.000	0.000	0.000	0.479	9.745	0.000	14.095	0.000	0.000	0.000	0.000	44.596	0.000	0.000	33.228	11.100	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.362	0.000	54.821	0.000	0.000	8.100	0.000	0.000	29.312	16.400	0.000	0.000	0.000	4.047	44.893	0.500	1.400	0.000	0.000	0.000	0.121	0.000	0.000	0.000	44.600	0.000
3	0.090	0.000	0.000	0.000	0.000	19.679	0.000	0.000	0.000	7.156	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	33.425	0.000	0.000	0.000	0.000	0.000	23.500	0.000	4.784	19.068	0.000	0.000	0.000	0.000	0.000	0.000	15.236	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	12.116	0.000	0.000	0.000	0.000	0.000	15.331	0.000	0.000	0.000	0.000	12.800	31.110	10.865	0.000	22.561	7.262	0.000	0.000	3.114	0.000	17.554	0.000	0.000	0.000	0.000	0.000	35.994	37.263	28.000	0.000	39.865	40.200	25.956	0.000	24.388	24.806	0.000	0.000	3.100	47.145	0.000	50.647	0.000	0.000	0.000	0.000	12.999	0.000	0.000	0.000	0.000	15.518	0.000	17.207	0.000	9.202	16.061	48.400	0.000	0.000	0.000	14.854	14.172	0.000	22.699	0.000	0.000	23.634	13.379	0.000	1.200	12.300	0.000	18.373	0.208	14.400	7.891	0.000	0.000	0.000	0.000	18.028	18.200	13.656	0.000	19.164	0.000	16.329	18.000	0.000	29.316	30.322	0.000	0.000	0.000	20.700	15.208	0.000	18.017	8.358	2.933	26.191	0.000	3.105	0.000	0.000	4.880	14.883	0.000	19.867	0.000	17.690	0.000	0.000	0.000	35.594	0.000	58.000	19.377	0.000	0.000	0.000	13.024	0.000	22.056	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.232	26.600	0.000	4.637	20.146	0.000	6.510	39.700	0.000	0.000	13.287	7.784	5.212	62.127	32.896	5.255	0.000	0.000	0.000	4.600	0.000	0.000	0.067	0.000	0.000	0.000	0.000	0.000	0.000	12.809	0.000	0.000	0.000	13.674	0.000	16.571	0.000	21.082	0.000	0.000	0.000	0.000	0.000	0.000	4.402	5.392	0.000	24.304	0.000	0.000	0.000	0.000	30.210	0.000	0.000	14.567	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	62.702	0.000	0.000	7.800	0.000	0.000	27.484	16.700	0.000	0.000	0.000	1.382	32.705	0.700	0.000	0.000	0.000	0.000	0.032	0.000	0.000	0.000	50.400	0.000
4	0.120	0.000	0.000	0.000	0.000	38.453	0.000	0.000	0.000	2.861	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	39.644	0.000	0.000	0.000	0.000	0.000	13.400	0.000	9.785	32.046	0.000	0.000	0.000	0.000	0.000	1.416	11.325	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	26.800	0.000	0.000	0.000	0.000	0.000	14.248	0.000	0.000	0.000	0.000	4.700	24.793	13.439	0.000	16.335	5.182	0.000	0.000	0.000	3.344	18.135	0.000	0.000	0.000	0.000	2.253	3.896	26.058	0.000	0.000	33.460	40.800	26.476	0.000	23.627	11.563	0.000	0.000	2.900	43.524	0.000	50.243	0.000	0.000	0.000	0.000	11.783	0.000	0.000	0.000	0.000	16.339	0.000	15.857	0.000	11.323	11.832	28.600	0.000	0.000	0.000	14.287	14.800	0.000	16.594	0.000	0.000	23.003	10.789	0.000	1.200	11.700	0.000	17.616	0.000	14.200	8.589	0.000	0.000	0.000	0.000	15.626	19.700	12.652	0.000	19.992	0.000	16.764	16.800	0.000	31.564	31.098	0.000	0.000	0.000	21.300	15.567	2.153	18.944	8.294	22.222	16.412	0.000	0.000	0.000	0.000	14.535	9.684	0.000	16.819	0.000	11.511	0.000	0.000	0.000	32.938	0.000	52.700	25.651	0.000	0.000	0.000	5.062	0.000	21.943	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.468	26.800	0.000	2.834	23.019	0.000	5.719	30.900	0.000	0.000	10.733	2.484	1.495	51.608	15.695	2.376	0.000	0.000	0.000	5.800	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	12.726	0.000	0.000	0.000	12.673	0.000	8.810	0.000	12.919	0.000	0.000	0.000	0.000	0.000	0.000	12.397	0.021	0.000	32.363	0.000	0.000	0.000	0.000	17.998	0.000	0.000	1.757	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	67.637	0.000	0.000	4.000	0.000	0.000	19.292	15.600	0.000	0.000	0.000	0.000	19.164	0.800	0.000	1.423	0.000	0.000	0.000	0.000	0.000	0.000	54.600	0.000
5	0.150	0.000	0.000	0.000	0.000	55.085	0.000	0.000	0.000	0.541	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	42.956	0.000	0.000	0.000	0.000	0.000	2.500	0.000	14.750	46.975	0.000	0.000	0.000	0.000	0.000	8.888	7.595	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	44.844	0.000	0.000	0.000	0.000	0.000	13.284	0.000	0.000	0.000	0.000	0.000	18.853	15.817	0.000	9.362	3.393	0.052	0.000	0.000	17.183	17.774	0.000	0.000	0.000	0.000	27.167	36.354	3.301	0.000	0.000	23.929	39.500	26.877	0.000	22.652	2.611	0.000	0.000	2.900	41.023	0.000	45.522	0.000	1.376	10.741	0.000	10.795	0.000	0.000	0.000	0.000	18.302	0.000	14.363	0.000	14.908	7.932	0.000	0.004	0.000	0.000	12.700	14.591	0.000	16.423	0.000	2.800	21.106	8.477	0.000	1.200	11.500	0.607	15.554	0.000	13.800	9.101	0.000	0.000	0.000	0.000	13.997	19.400	6.109	0.000	19.773	0.000	16.675	17.200	0.000	31.896	32.217	0.000	6.002	0.000	20.800	15.866	21.928	19.471	7.491	32.534	7.918	0.000	0.000	0.000	0.000	20.838	2.691	0.000	13.058	0.000	0.471	0.000	6.165	0.000	28.043	0.000	47.700	27.270	0.117	0.000	0.000	0.098	0.000	19.207	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	25.700	0.000	1.025	23.913	1.600	5.139	8.000	0.000	0.000	5.649	0.048	0.000	40.504	3.710	3.756	0.000	3.785	0.000	6.200	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	12.280	0.000	1.796	0.000	11.567	0.000	0.331	0.000	5.270	0.000	0.000	0.000	0.000	0.000	0.000	19.994	0.000	0.000	35.009	0.000	0.000	0.000	0.000	7.062	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.777	0.000	0.000	0.000	0.000	0.000	65.817	0.000	0.000	3.700	0.000	0.000	11.363	13.400	0.000	0.000	0.000	0.000	7.343	0.600	0.000	37.504	0.000	0.000	0.000	0.000	0.000	0.000	53.700	0.000
6	0.181	0.000	0.184	2.340	0.000	62.621	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.245	0.017	0.090	0.000	1.035	0.000	0.000	0.000	0.000	0.000	43.498	0.000	0.000	0.000	0.000	0.000	0.000	0.185	21.173	58.145	0.000	0.000	0.000	3.148	0.000	14.196	1.378	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	63.252	1.095	0.000	0.000	0.000	2.378	13.050	0.000	0.000	0.000	0.000	0.000	11.820	18.945	0.000	2.206	2.262	7.932	0.000	2.051	24.624	16.315	0.000	0.975	0.000	0.000	35.019	44.170	0.000	0.000	0.000	4.994	37.700	26.408	0.000	16.045	0.000	0.000	0.128	2.900	38.917	0.000	39.324	0.000	26.963	18.830	0.000	10.709	0.000	0.000	0.080	0.000	24.634	0.000	11.846	0.028	19.079	4.561	0.000	12.567	0.000	2.157	14.657	14.634	0.000	20.587	0.000	8.761	18.913	2.930	0.000	1.300	11.300	15.076	10.888	0.000	14.200	9.562	0.041	0.000	0.000	0.000	12.818	17.100	0.132	0.000	18.624	0.049	17.218	17.600	0.000	32.236	32.508	0.006	27.872	0.000	19.300	15.921	33.853	18.985	8.656	42.426	4.055	0.864	0.000	0.000	0.000	26.820	0.000	0.000	10.038	0.000	0.000	0.000	27.686	0.000	14.183	0.000	43.100	29.158	8.411	0.000	0.904	0.000	0.000	16.057	0.000	0.000	0.172	0.000	0.000	0.000	0.000	0.000	24.200	0.180	0.000	24.255	1.600	4.582	0.000	3.541	0.000	0.122	0.000	0.907	27.643	0.910	10.706	0.000	25.088	0.000	5.900	0.000	0.012	0.630	0.000	0.000	0.000	0.000	0.000	0.282	11.773	0.000	5.543	0.000	10.021	0.000	0.000	0.032	1.220	0.000	0.000	0.000	0.000	0.000	0.000	32.190	0.000	0.000	38.011	0.398	0.000	0.000	0.000	0.395	0.335	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.297	0.000	0.000	9.110	0.000	0.000	0.000	0.000	0.000	56.204	1.984	0.000	3.500	0.000	0.251	5.640	10.600	0.618	0.259	0.000	0.000	0.884	0.500	0.000	61.041	0.000	0.869	0.000	2.304	0.000	0.000	44.500	0.000
7	0.211	1.298	1.048	10.307	0.143	63.488	0.000	0.052	0.000	0.044	0.000	1.424	0.000	6.105	0.261	3.050	0.000	7.161	1.179	0.000	0.000	0.000	0.000	41.057	0.000	0.000	0.002	0.000	0.054	0.000	3.829	27.979	63.238	0.000	0.174	0.000	26.154	0.000	19.304	0.000	0.298	0.000	2.043	0.000	0.017	0.124	24.800	0.000	77.552	7.261	4.826	0.126	1.052	13.069	13.437	0.000	0.077	0.000	7.229	0.000	1.038	18.829	0.000	0.000	1.134	16.768	0.000	9.251	23.984	14.622	0.000	36.720	4.205	0.000	43.809	51.475	7.468	0.000	0.000	2.194	36.500	19.947	0.000	12.690	0.000	3.256	2.183	0.000	36.450	1.983	35.724	0.000	44.585	26.832	0.893	11.034	0.000	0.000	1.796	6.418	26.723	0.000	9.153	2.051	22.487	1.469	0.000	29.343	0.000	10.717	17.108	14.722	0.000	20.817	0.000	18.624	16.617	0.000	0.000	1.300	5.300	31.066	10.670	0.000	14.300	10.329	3.901	0.000	0.000	0.132	7.691	15.600	3.131	0.056	17.759	2.826	17.706	17.300	2.060	33.436	31.640	0.685	34.387	0.024	16.400	15.152	35.960	18.401	7.322	51.581	13.150	14.832	0.000	0.000	0.000	29.280	6.857	0.000	8.901	0.000	9.136	0.026	36.648	1.289	24.435	0.947	39.100	29.966	16.079	0.000	13.597	10.254	0.000	14.144	0.343	0.593	9.732	3.833	0.000	0.064	1.449	0.000	23.200	2.206	0.000	23.453	1.600	2.642	0.000	34.413	0.019	0.000	0.980	13.862	10.802	5.985	13.539	0.000	40.448	0.000	2.900	0.000	1.843	7.180	0.180	0.000	0.634	0.678	0.000	8.342	10.769	0.000	7.371	0.000	8.831	0.000	0.445	4.535	0.000	1.425	0.000	0.136	0.000	0.000	0.182	46.593	0.000	0.444	39.589	7.777	0.792	0.000	0.000	0.000	5.410	1.721	0.048	0.000	0.000	0.000	0.000	0.017	10.040	2.847	0.000	15.444	0.000	0.396	0.000	5.050	0.001	42.840	15.424	0.000	3.500	0.143	4.416	2.840	9.000	4.989	2.207	0.000	1.204	0.000	0.500	0.000	84.692	0.000	10.126	0.022	11.316	0.005	0.000	29.100	0.000
8	0.241	7.871	2.655	22.966	2.928	65.157	0.038	1.283	0.000	2.037	3.021	4.225	0.114	9.838	1.599	11.651	0.094	9.756	4.145	0.225	0.344	0.000	0.000	37.781	1.934	0.145	3.516	0.954	1.497	0.000	10.162	31.244	64.658	0.000	5.715	2.383	47.368	1.687	26.344	1.225	3.457	1.579	5.996	0.237	5.182	5.438	43.200	1.843	83.768	9.025	16.453	3.863	5.088	20.851	14.241	0.439	2.486	0.000	16.450	0.000	0.000	13.774	0.000	6.543	0.000	24.536	0.328	21.136	22.984	11.221	6.592	42.005	32.303	0.000	52.859	60.904	31.805	0.000	0.486	25.357	19.400	0.786	2.899	11.459	0.000	26.406	4.914	0.000	35.199	8.628	35.326	0.000	59.431	27.253	26.753	11.370	0.000	0.221	13.286	23.969	28.556	0.000	6.908	6.562	23.409	0.000	3.300	37.063	0.000	12.089	16.939	14.834	0.000	21.530	0.506	23.140	13.445	3.225	0.000	1.400	6.000	50.165	15.567	1.124	13.800	15.685	12.287	0.126	0.000	5.036	6.572	14.800	12.466	1.657	17.831	12.277	17.091	16.300	7.699	35.916	30.888	4.081	38.818	3.164	12.600	14.436	37.124	18.575	15.682	57.533	22.628	28.680	4.206	0.000	0.000	29.827	19.963	0.000	26.957	0.815	23.310	3.278	38.796	8.187	35.657	8.478	35.300	28.884	24.990	0.091	25.006	25.204	0.000	11.430	16.781	14.743	11.324	12.684	0.000	1.971	6.120	0.971	9.200	8.889	0.293	22.298	1.600	1.864	0.000	51.372	6.816	4.099	7.840	21.705	0.000	26.730	15.860	1.157	38.684	0.000	9.500	0.383	5.357	19.621	2.945	0.622	20.809	9.115	0.217	9.755	9.805	0.000	8.962	2.946	7.955	0.269	6.395	11.255	0.000	12.348	0.000	6.310	0.710	0.000	3.735	57.870	0.000	2.595	39.090	17.413	6.741	0.305	1.391	0.449	12.762	9.035	6.206	0.000	0.939	0.000	1.146	4.348	21.603	11.227	0.000	20.630	0.000	2.081	0.000	13.407	1.391	30.833	23.540	0.542	0.000	6.411	7.865	12.444	5.600	8.926	7.393	0.000	7.245	1.161	0.000	0.000	105.165	0.181	24.622	2.955	21.436	1.538	0.023	15.600	0.000
9	0.271	17.307	6.731	39.918	9.975	73.712	1.648	5.684	0.000	5.877	12.500	6.195	2.689	12.286	4.497	25.009	3.506	11.043	6.418	8.554	9.698	8.000	11.200	37.878	16.545	1.489	7.292	10.331	8.092	12.400	20.331	29.521	59.993	0.000	18.525	10.085	63.331	9.442	34.388	5.646	12.785	6.325	7.769	2.801	12.438	11.412	58.200	10.448	80.232	9.939	23.390	8.289	14.582	32.751	14.758	5.669	7.032	0.000	18.482	15.600	0.208	17.664	0.000	12.876	1.038	36.360	22.458	27.892	21.744	14.403	23.971	48.309	40.986	0.000	57.313	69.015	40.257	3.800	5.839	34.755	19.700	8.767	24.955	9.365	2.692	30.414	7.280	0.000	37.078	18.422	36.597	0.000	75.064	24.856	35.553	11.527	16.463	6.874	34.145	28.933	29.700	0.000	6.815	13.039	22.293	3.141	10.000	47.113	23.400	15.105	13.808	15.287	2.675	22.487	11.835	27.391	8.843	9.882	0.606	1.400	6.200	74.491	16.539	10.669	13.900	16.223	22.088	4.789	1.400	11.457	13.242	15.000	14.524	8.215	18.866	20.068	15.920	4.600	16.133	37.808	31.153	12.748	44.019	7.412	1.900	15.724	37.228	19.308	25.356	61.160	26.104	40.008	23.360	0.000	0.000	29.779	28.477	0.000	33.914	4.914	25.467	7.919	41.532	14.056	36.196	15.655	33.300	28.578	34.178	3.634	30.864	31.338	0.297	1.031	40.958	30.665	13.042	16.199	6.929	7.347	10.995	11.477	6.500	24.439	9.231	21.609	1.500	11.103	0.000	62.048	12.918	8.297	12.760	26.029	1.840	37.617	18.077	9.397	39.528	0.486	9.700	3.141	7.014	27.184	6.616	3.867	39.723	19.214	1.917	9.459	9.786	0.000	10.316	6.446	9.677	3.322	11.318	19.018	1.789	26.890	8.700	17.540	6.800	7.800	9.615	62.743	1.284	4.764	37.101	28.804	8.891	5.589	6.286	10.516	25.943	19.370	17.176	30.300	5.799	0.000	8.083	13.852	40.692	22.084	12.600	27.822	22.000	5.147	14.800	18.235	4.636	25.563	38.852	5.794	0.000	15.550	10.489	21.024	2.300	11.295	17.760	6.200	14.281	7.805	0.000	11.400	116.400	9.720	43.772	10.058	32.614	5.490	1.481	9.300	0.000
10	0.301	32.435	12.539	52.530	23.379	86.318	5.593	15.564	0.253	13.325	25.599	9.052	7.065	15.196	9.604	40.118	11.093	12.239	9.580	15.226	22.950	14.800	17.500	43.520	26.338	4.428	12.459	17.920	22.494	20.500	34.111	26.116	47.210	10.500	33.181	18.715	74.712	20.355	41.436	9.264	23.793	14.932	8.182	7.896	23.093	21.540	65.000	21.176	69.632	10.570	33.129	9.346	29.593	47.251	14.285	13.851	16.105	7.000	22.011	17.200	7.003	17.810	3.397	13.327	12.542	47.040	26.317	34.491	20.580	15.913	40.494	59.081	48.807	16.500	56.518	73.717	43.695	40.700	11.141	38.608	39.200	32.506	33.797	17.071	21.675	34.051	10.365	24.700	42.052	35.637	39.586	0.000	86.001	23.170	44.195	10.698	30.139	9.614	50.026	31.959	29.850	6.000	12.101	24.867	20.894	11.160	33.100	55.917	23.400	20.074	12.894	16.248	10.296	23.097	17.610	27.951	13.413	13.564	12.076	14.500	13.300	97.951	17.679	13.479	15.000	16.930	37.000	12.576	13.700	12.492	14.766	15.000	16.397	17.927	19.808	32.036	15.859	15.200	28.534	38.220	32.771	28.705	48.220	12.772	19.700	18.102	37.465	19.872	26.703	64.316	28.507	51.808	29.438	7.700	16.485	29.136	33.637	17.000	35.189	7.727	27.353	8.882	44.142	17.234	36.668	32.030	32.900	29.500	44.289	8.838	38.131	37.427	3.714	12.968	71.910	37.319	14.792	18.398	38.688	19.521	18.648	17.284	22.400	45.505	11.860	21.138	16.300	12.320	31.700	74.706	17.559	8.569	19.980	32.248	32.464	39.986	21.455	19.776	42.392	14.879	10.300	11.967	9.131	33.305	12.737	12.884	66.043	32.575	3.931	9.666	10.751	11.000	11.348	9.838	10.722	9.327	13.359	32.025	6.928	43.391	18.600	35.407	10.975	9.400	19.634	62.732	18.198	7.625	28.347	44.218	15.148	8.932	9.717	19.728	42.706	30.868	16.599	36.000	8.248	21.100	12.296	27.521	62.716	39.504	24.700	37.132	24.300	10.932	33.100	23.753	7.123	27.394	62.821	14.061	29.300	26.325	13.492	34.544	20.000	13.224	32.143	7.300	26.868	13.947	13.600	20.200	121.227	24.606	61.494	24.740	45.449	15.142	4.185	7.700	0.000
