 	x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	178	179	180	181	182	183	184	185	186	187	188	189	190	191	192	193	194	195	196	197	198	199	200	201	202	203	204	205	206	207	208	209	210	211	212	213	214	215	216	217	218	219	220	221	222	223	224	225	226	227	228	229	230	231	232	233	234	235	236	237	238	239	240	241	242	243	244	245	246	247	248	249	250	251	252	253	254	255	256	257	258	259	260	261	262	263	264	265	266	267	268	269	270	271	272	273	274
1	0.030	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	12.779	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	25.510	0.000	0.000	32.575	0.000	0.000	0.222	0.000	89.806	0.000	0.000	0.000	0.000	0.000	0.000	0.000	38.665	0.000	0.000	0.000	0.000	0.000	2.509	0.000	0.000	0.000	0.000	0.000	0.000	3.643	9.239	0.267	0.000	0.000	0.000	0.000	46.100	42.195	7.648	0.000	30.325	55.149	0.000	0.000	4.917	0.000	12.269	0.000	0.000	0.000	1.900	6.226	49.027	43.060	43.700	0.000	25.052	49.900	28.947	0.000	4.759	69.827	0.000	0.000	17.700	40.616	0.000	52.133	0.000	0.000	16.852	0.000	6.374	46.244	0.000	0.000	15.734	21.333	0.000	4.631	22.602	0.000	22.162	64.400	14.102	0.000	1.698	17.222	0.000	0.000	8.283	0.000	0.000	24.984	0.893	0.000	0.000	12.500	3.789	0.000	0.000	3.300	15.292	0.000	0.000	0.000	0.000	18.068	15.100	14.665	0.712	16.927	4.029	3.860	18.100	0.000	4.220	18.457	0.000	0.000	0.000	20.500	11.111	35.409	17.494	29.256	0.000	34.571	0.000	0.275	0.000	0.000	20.181	30.244	2.400	0.000	20.987	19.341	5.134	0.000	0.000	0.000	0.000	62.700	24.843	2.893	0.000	0.000	22.436	0.000	19.317	0.000	33.508	0.000	22.527	0.000	0.000	0.000	0.000	25.400	0.000	35.602	24.988	2.900	27.217	63.500	0.000	0.879	5.716	3.724	18.871	68.182	38.852	12.420	0.000	42.860	0.000	0.000	0.000	1.733	9.503	4.785	0.000	0.000	0.000	0.000	0.000	12.865	0.000	0.000	0.000	11.221	33.640	5.598	0.000	6.123	0.000	0.000	0.000	0.000	0.000	0.000	0.000	11.495	0.000	4.014	1.976	0.000	0.000	0.000	61.332	0.000	0.000	6.397	3.500	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	69.325	15.496	0.000	16.900	0.000	0.000	37.895	28.900	0.000	0.000	8.200	2.291	2.733	0.000	6.800	0.000	0.000	0.000	16.539	0.000	0.000	0.000	20.600	0.000
2	0.060	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.692	10.358	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	34.712	0.000	0.000	25.432	0.000	0.000	0.000	0.000	82.095	0.000	0.000	0.000	0.000	0.000	0.000	0.000	37.393	0.000	0.000	0.000	0.000	0.000	0.055	0.000	0.000	0.000	0.000	0.000	0.000	2.676	5.997	0.000	0.000	0.000	0.000	0.000	34.900	37.992	3.897	0.000	24.192	55.054	0.000	0.000	3.971	0.000	15.077	0.000	0.000	0.000	2.100	4.215	44.552	42.876	42.100	0.000	1.850	51.700	33.699	0.000	9.213E-5	59.140	0.000	0.000	17.900	43.146	0.000	52.370	0.000	0.000	22.813	0.000	2.900	6.239	0.000	0.000	11.221	20.687	0.000	6.027	10.472	0.000	20.729	53.500	16.332	0.000	0.224	16.960	0.000	0.000	5.684	0.000	0.000	26.380	0.000	0.000	0.000	12.700	0.447	0.000	0.000	12.500	15.462	0.000	0.000	0.000	0.000	16.746	15.500	14.266	0.000	17.370	2.593	5.847	17.500	0.000	1.336	16.789	0.000	0.000	0.000	20.100	12.209	21.986	18.193	30.460	0.000	36.198	0.000	0.000	0.000	0.000	14.515	27.234	2.100	0.000	20.286	14.873	2.801	0.000	0.000	0.000	0.000	58.700	27.044	0.000	0.000	0.000	21.914	0.000	17.869	0.000	18.076	0.000	23.962	0.000	0.000	0.000	0.000	25.500	0.000	34.132	20.020	2.600	30.346	55.300	0.000	1.851	3.660	1.450	16.724	70.980	29.307	11.841	0.000	34.569	0.000	0.000	0.000	1.150	10.485	3.523	0.000	0.000	0.000	0.000	0.000	14.564	0.000	0.000	0.000	11.399	43.130	0.545	0.000	5.502	0.000	0.000	0.000	0.000	0.000	0.000	0.000	8.319	0.000	13.138	2.844	0.000	0.000	0.000	57.364	0.000	0.000	4.456	1.400	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	55.266	9.104	0.000	15.900	0.000	0.000	45.420	32.900	0.000	0.000	0.000	2.163	5.207	0.000	6.500	0.000	0.000	0.000	13.363	0.000	0.000	0.000	27.800	0.000
3	0.090	0.000	0.000	0.000	0.000	0.000	0.000	0.000	6.855	5.719	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	40.618	0.000	0.000	12.002	0.000	0.000	0.000	0.000	77.515	0.000	0.000	0.000	0.000	1.019	0.000	0.000	33.584	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.720	3.256	0.000	0.000	0.000	0.000	0.000	24.800	31.619	0.999	0.000	16.465	46.787	0.000	0.000	2.131	0.000	16.491	0.000	0.000	0.000	2.300	0.000	36.764	42.856	38.800	0.000	0.000	53.500	36.372	0.000	0.000	47.904	0.000	0.000	17.300	41.990	0.000	52.556	0.000	0.267	26.374	0.000	0.846	0.000	0.000	0.000	8.240	19.483	0.000	7.157	0.951	0.000	18.787	40.800	19.383	0.000	0.000	17.145	0.000	0.000	2.584	0.000	0.000	26.711	0.000	0.000	0.000	12.700	0.000	0.000	0.000	13.800	15.485	0.000	0.000	0.000	0.000	16.637	16.700	13.809	0.000	17.853	1.338	6.088	16.600	0.000	0.000	14.964	0.000	18.353	0.000	20.300	12.855	1.309	18.153	29.654	0.000	35.126	0.000	0.000	0.000	0.000	5.954	24.371	0.000	0.000	18.844	12.618	1.334	0.000	0.000	0.000	0.000	52.500	27.837	0.000	0.000	0.000	13.529	0.000	16.880	0.000	0.603	0.000	23.980	6.657	0.000	0.000	0.000	25.700	0.000	27.170	13.528	0.000	28.170	44.400	0.000	0.571	1.656	0.000	13.164	69.358	15.157	10.909	0.000	25.663	0.000	0.000	0.000	0.619	2.941	2.472	0.000	0.000	0.000	0.000	0.000	14.681	0.000	0.000	0.000	10.703	50.367	0.000	0.000	2.572	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.342	0.000	18.574	2.307	0.000	0.000	0.000	47.223	0.000	0.000	2.444	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	39.972	5.200	0.000	15.000	0.000	0.000	49.360	35.400	0.000	0.000	0.000	5.486	10.560	0.000	0.000	0.000	0.000	0.000	11.376	0.000	0.000	0.000	34.200	0.000
4	0.120	0.000	0.000	0.000	0.000	0.000	0.000	0.000	13.955	2.089	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	41.373	0.000	0.000	0.703	0.000	0.000	0.000	0.000	76.543	0.000	0.000	0.000	0.000	2.429	0.000	0.000	26.368	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.325	0.000	0.000	0.000	0.000	0.000	1.178	0.000	0.000	0.000	0.000	0.000	17.800	24.362	0.000	0.000	10.140	33.461	0.000	0.000	1.637	0.765	17.006	0.000	0.000	0.000	2.400	0.000	1.914	32.561	0.000	0.000	0.000	52.300	38.195	0.000	0.000	34.481	0.000	0.000	16.300	36.240	0.000	50.609	0.000	2.517	21.508	0.000	0.005	0.000	0.000	0.000	0.995	18.119	0.000	4.511	0.000	0.000	16.163	12.300	22.829	0.000	0.000	17.794	0.000	0.000	0.000	0.000	0.000	25.798	0.000	0.000	0.000	11.500	0.000	0.000	0.000	13.700	16.131	0.000	0.000	0.000	0.000	16.769	17.600	13.870	0.000	18.346	0.382	6.258	15.700	0.000	0.000	15.393	0.000	36.668	0.000	21.600	13.140	0.000	17.707	27.729	0.000	31.860	0.000	0.000	0.000	0.000	0.000	21.581	0.000	0.000	16.770	5.881	0.000	0.000	0.000	0.000	0.000	46.500	28.737	2.057	0.000	0.000	0.701	0.000	15.024	0.000	0.000	0.000	23.203	23.738	0.000	0.000	0.000	26.500	0.000	18.960	16.336	0.000	22.726	34.600	0.000	0.000	0.000	0.000	7.418	63.789	5.579	9.176	0.000	15.561	1.663	0.000	0.000	0.000	0.000	1.322	0.000	0.000	0.000	0.000	0.000	14.659	0.000	0.000	0.000	8.884	55.492	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	25.995	1.291	0.000	0.000	0.000	32.067	0.000	0.000	0.467	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	25.228	0.840	0.000	10.700	0.000	0.000	47.864	35.600	0.000	0.000	0.000	5.592	12.076	0.000	0.000	0.000	0.000	0.000	7.469	0.000	0.000	0.000	38.900	0.000
5	0.150	0.000	0.000	0.000	0.000	1.961	0.000	0.000	22.875	0.335	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.907	0.000	0.000	0.000	0.000	0.000	37.484	0.000	0.000	0.000	0.000	0.000	0.000	0.000	76.356	0.000	0.000	0.000	0.000	3.876	0.763	0.000	17.968	3.548	0.000	0.000	0.000	0.000	0.000	0.000	0.873	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	8.300	15.760	0.000	0.000	6.190	22.223	0.000	0.000	2.774	10.250	16.260	0.000	0.000	0.000	2.300	7.686	0.000	19.880	0.000	0.000	0.000	48.700	38.778	0.000	0.000	14.495	0.000	0.000	15.600	28.601	0.000	44.821	0.000	0.632	16.607	0.000	6.496	0.000	0.000	0.000	0.000	16.404	0.000	0.261	0.000	0.376	12.003	0.000	25.730	0.000	0.000	18.392	0.031	0.000	0.000	0.000	0.000	24.042	0.000	0.000	0.000	10.600	0.000	0.762	0.000	13.300	16.706	0.000	0.000	0.000	0.000	16.536	17.200	12.342	0.000	18.319	0.000	12.125	11.600	0.000	0.000	20.591	0.000	49.668	0.000	22.300	13.539	1.664	17.740	25.312	0.000	27.924	0.000	0.000	0.000	0.000	0.000	7.119	0.000	0.000	14.403	0.278	0.000	0.000	0.000	0.000	0.000	42.800	30.419	41.278	0.000	0.000	0.000	0.000	13.063	0.000	0.000	0.000	22.304	36.886	0.000	0.000	0.000	25.500	0.000	13.334	22.296	0.000	18.197	21.200	0.000	0.000	0.000	0.000	0.077	54.333	12.406	6.975	0.000	9.948	16.158	0.000	0.000	0.000	0.000	0.563	0.000	0.000	0.000	0.000	0.000	14.712	0.000	0.367	0.000	7.295	56.589	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	32.428	0.881	0.000	0.000	0.000	18.524	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	10.894	0.000	0.000	9.600	0.000	0.000	39.920	32.800	0.000	0.000	0.000	8.510	14.286	0.000	0.000	0.016	0.000	0.000	5.347	0.000	0.000	0.000	39.000	0.000
6	0.181	0.000	2.030	0.000	0.000	4.685	0.000	0.000	32.030	0.000	0.402	0.000	0.000	0.000	0.000	0.000	0.000	2.838	0.000	0.000	0.000	0.000	0.000	31.005	0.000	0.000	0.000	0.000	0.000	0.000	0.000	69.524	0.000	0.000	0.000	0.000	3.718	9.491	0.000	12.056	10.301	0.000	0.000	0.000	0.000	0.000	0.000	1.345	0.000	0.000	0.000	1.400	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3.196	0.000	0.000	1.813	14.291	0.000	0.000	0.537	24.296	15.212	0.000	0.000	0.000	2.000	16.377	0.000	7.788	0.000	0.000	0.000	45.500	39.219	0.000	0.000	0.055	0.000	0.000	15.200	22.460	0.000	37.293	0.000	0.110	14.096	0.000	17.000	0.000	0.000	0.000	0.000	18.981	0.000	0.000	0.000	1.280	8.284	0.000	28.228	0.000	0.634	18.907	7.962	0.000	0.000	0.000	0.000	21.819	0.000	0.000	0.000	10.200	0.658	6.689	0.000	13.300	17.569	0.000	0.000	0.000	0.000	15.704	16.100	1.478	0.000	18.247	0.000	11.957	16.500	0.000	0.876	20.104	0.000	48.410	0.000	21.100	13.371	19.644	17.690	22.414	0.000	25.234	0.000	0.000	0.000	0.000	1.777	0.000	0.000	0.000	12.811	0.000	0.000	0.000	0.000	0.005	0.000	40.500	31.431	53.751	0.000	0.000	0.000	0.000	11.445	0.000	0.000	0.091	18.287	47.045	0.000	0.000	0.000	23.400	0.000	2.818	21.920	0.000	14.855	9.400	4.854	0.000	0.000	0.128	0.000	42.680	19.404	2.816	0.000	11.292	24.673	0.000	0.000	0.000	0.000	0.040	0.000	0.000	0.000	0.000	0.000	14.152	0.000	3.910	0.000	6.163	55.030	0.436	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	36.234	0.000	0.000	0.000	0.000	6.263	0.000	0.845	0.000	0.000	0.000	0.000	0.000	5.106	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.669	0.000	0.000	9.000	0.000	0.000	26.574	28.500	0.260	0.000	0.000	7.548	18.065	0.000	0.000	1.299	0.000	0.000	2.347	0.000	0.000	0.000	32.100	0.000
7	0.211	0.638	5.377	0.000	0.000	7.105	0.000	0.028	40.742	0.000	5.691	0.044	0.000	0.269	0.000	0.000	0.000	3.791	0.000	0.000	0.000	0.000	0.000	21.926	4.003E-4	0.022	0.000	0.000	0.000	0.000	0.000	51.884	0.340	0.000	0.000	0.000	6.581	21.469	1.680	5.780	21.846	0.094	0.000	0.022	0.058	0.000	0.000	1.855	0.000	0.000	0.000	2.862	0.276	0.750	0.016	0.000	0.011	0.000	0.000	0.000	0.000	0.687	0.000	1.224	0.273	0.000	0.000	0.419	25.604	14.768	0.000	0.000	0.000	1.700	24.867	0.017	0.152	0.000	0.000	4.800	43.700	38.864	0.000	0.000	0.000	0.229	0.761	0.000	17.386	0.029	25.395	0.000	1.270	9.056	0.000	20.936	0.000	0.000	0.000	5.287	22.082	0.000	0.000	0.000	1.648	5.254	0.000	31.974	0.000	3.052	19.211	8.175	0.000	0.188	0.000	0.000	18.686	0.000	0.000	0.000	9.800	7.513	7.533	0.000	13.500	18.047	0.000	0.000	0.000	0.000	15.374	15.800	0.477	0.250	17.803	0.000	12.193	17.000	0.044	3.376	18.401	0.045	40.296	0.000	19.400	13.354	30.583	17.575	19.195	0.000	21.612	0.000	0.000	0.000	0.000	5.510	1.467	0.000	0.000	12.304	5.189	0.000	2.995	2.354	1.359	0.059	39.300	31.235	61.255	0.000	3.290	1.962	0.000	2.458	0.000	0.000	3.408	10.626	54.740	0.000	0.000	0.000	22.300	0.814	0.000	18.164	0.000	11.339	3.200	14.951	0.294	0.000	0.000	1.490	32.548	26.989	3.209	0.000	13.244	35.766	0.000	0.083	0.009	0.707	0.009	0.028	0.000	0.000	0.033	0.331	13.379	0.000	6.063	0.000	3.313	53.155	6.590	0.000	0.000	0.416	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.053	37.688	0.122	0.000	0.000	0.000	0.000	0.428	3.385	0.000	0.000	0.000	0.000	0.000	27.165	0.364	0.000	0.000	0.000	0.000	1.875	0.000	0.817	0.006	0.046	0.000	0.000	8.400	0.057	0.000	12.577	23.600	1.454	0.182	0.000	7.535	21.725	0.000	0.000	13.646	0.000	0.333	0.862	0.000	0.007	0.000	21.300	0.000
8	0.241	3.148	7.776	0.000	0.000	8.370	0.000	0.462	46.379	0.152	12.382	0.959	0.131	3.000	0.000	0.000	0.000	4.848	0.871	0.000	0.000	0.000	0.000	11.108	3.860	0.479	0.021	0.000	0.000	0.000	1.936	30.288	3.681	0.000	0.252	0.332	15.623	34.370	6.628	0.509	37.815	1.736	0.028	0.517	2.922	0.241	2.287	3.159	0.000	1.044	0.000	4.908	1.949	3.689	3.902	0.940	1.240	0.000	0.000	0.000	0.000	1.087	0.000	3.959	0.000	0.000	0.346	2.881	25.730	15.012	0.000	0.000	1.064	1.500	30.661	1.070	11.144	0.000	1.069	12.687	39.400	37.542	12.382	5.320	0.000	8.233	1.814	0.000	14.241	1.756	1.939	0.000	17.219	12.645	0.000	22.791	0.225	0.000	0.129	13.634	24.742	0.000	0.048	0.670	2.096	5.721	17.000	37.016	0.000	5.639	18.406	8.296	0.528	5.900	0.000	0.000	14.098	0.000	0.000	0.000	10.800	18.869	6.398	0.346	13.800	17.856	0.840	0.000	0.000	0.662	15.153	15.700	7.516	1.947	17.399	3.432	12.912	16.300	1.073	7.256	17.387	0.668	33.681	0.500	18.700	13.836	29.956	17.114	7.813	5.593	5.523	2.676	0.712	0.000	0.000	4.577	6.607	0.000	0.104	12.479	11.789	1.452	9.890	8.156	2.843	2.374	37.100	30.990	66.962	0.000	10.471	7.566	0.000	0.000	0.371	1.085	5.198	13.591	58.153	0.033	0.487	0.000	15.900	5.133	0.000	13.580	0.000	1.131	3.100	21.699	4.026	2.120	0.973	5.563	15.638	35.147	7.554	1.112	16.636	45.842	7.400	0.928	1.792	7.900	1.893	0.499	0.767	0.883	0.716	7.609	12.451	0.000	6.884	0.285	0.869	52.562	7.587	1.875	0.306	2.152	0.000	1.645	0.230	0.000	0.122	0.000	0.053	1.778	35.464	5.506	0.651	0.000	0.837	0.000	2.771	8.216	0.048	0.000	0.000	0.000	0.000	37.467	2.277	0.000	0.000	2.700	0.000	5.751	0.000	2.164	1.254	4.682	2.840	0.029	4.400	1.439	0.000	5.072	17.700	3.462	1.211	0.000	6.370	24.651	0.000	0.000	29.998	0.000	2.449	0.046	0.000	0.726	0.000	11.200	0.000
9	0.271	8.372	11.280	0.000	1.046	7.359	0.100	2.296	46.166	2.084	22.934	2.255	3.155	4.558	0.020	0.000	0.150	6.065	3.498	0.210	0.392	0.083	6.700	13.948	8.954	1.576	1.947	2.983	0.030	0.000	6.825	1.207	8.988	0.000	7.601	8.018	25.717	46.427	13.400	0.000	53.623	4.162	2.678	1.683	8.290	1.706	5.534	5.151	0.000	2.690	0.734	7.774	6.812	8.589	11.613	2.687	3.892	0.000	2.665	8.700	1.827	9.277	0.000	8.623	4.004	1.573	15.985	9.414	25.778	15.238	0.236	0.994	20.861	0.000	35.531	17.502	18.864	0.000	2.807	17.311	40.100	35.891	18.769	25.987	8.403	13.488	3.419	0.000	19.427	5.310	8.478	0.000	24.887	21.998	8.321	23.831	15.240	0.279	4.496	17.709	23.595	0.000	4.672	4.005	2.450	10.759	24.000	23.362	17.000	9.325	16.441	8.424	6.014	12.347	0.473	0.000	7.569	1.844	1.935	0.000	11.000	31.040	4.973	10.056	14.700	18.025	4.440	0.217	7.000	4.108	15.196	15.700	10.506	5.305	17.790	11.823	13.214	11.200	4.462	11.608	17.041	1.734	19.435	2.416	10.200	15.522	27.809	16.861	14.552	17.626	6.322	11.176	14.968	0.000	0.000	14.637	13.313	0.000	9.113	12.785	18.998	6.618	18.073	10.526	4.638	6.014	34.800	30.497	68.891	0.150	19.555	14.547	0.032	0.360	8.000	11.614	8.087	22.091	58.737	1.215	6.156	3.240	15.900	14.374	0.358	14.156	0.000	5.145	0.000	26.128	6.756	5.912	4.673	10.783	0.013	38.371	12.342	5.129	21.820	49.428	8.200	5.388	3.914	13.173	4.422	2.460	14.034	3.965	1.802	10.659	12.922	0.000	8.991	5.317	6.405	50.370	9.284	6.792	3.735	5.801	3.600	7.832	3.105	6.600	3.340	1.088	8.732	3.279	29.203	15.992	3.348	0.721	3.289	0.372	6.833	17.393	3.610	25.400	0.952	0.000	1.629	49.320	7.254	3.854	6.000	13.448	10.000	12.351	11.300	4.076	3.038	15.189	6.468	2.841	1.400	5.198	1.133	6.639	13.300	5.164	4.790	3.900	6.919	27.342	0.000	7.300	46.317	0.254	7.673	5.253	2.667	2.831	0.050	5.900	0.000
10	0.301	15.806	14.733	0.014	5.200	7.190	2.506	6.471	41.779	5.159	32.184	4.080	7.457	6.441	6.088	1.131	2.658	7.771	4.856	5.495	7.084	3.817	11.000	21.365	16.066	5.532	6.874	10.318	3.719	1.602	15.632	20.219	16.294	6.500	21.058	16.952	36.097	54.232	19.824	3.284	61.853	8.159	7.196	4.926	17.647	5.998	12.622	10.044	0.000	3.727	2.360	9.245	15.898	16.123	14.370	5.684	10.825	5.400	8.700	12.800	9.280	11.456	1.505	10.938	12.234	7.155	17.448	15.546	26.295	15.755	10.305	30.395	35.211	11.400	38.745	25.321	26.148	27.700	4.960	23.180	44.500	35.448	22.262	29.054	21.533	17.817	4.584	17.400	23.481	9.660	23.967	0.000	31.754	25.509	14.739	24.549	24.680	4.817	13.073	23.602	22.346	4.600	9.020	9.511	2.892	13.985	34.700	12.251	17.000	14.048	15.219	8.552	9.167	18.369	13.099	0.000	12.148	6.066	10.435	12.700	12.600	45.004	4.842	13.023	16.100	18.536	12.670	4.709	13.700	6.728	14.849	15.300	12.556	13.362	18.280	20.710	16.177	15.100	11.710	15.944	16.948	5.080	3.432	6.308	20.900	16.786	26.949	17.419	23.256	28.048	10.416	18.648	25.853	4.400	5.841	23.074	21.312	12.200	20.029	12.840	23.574	7.404	28.131	13.710	7.011	13.653	32.700	29.689	67.004	4.848	29.637	22.778	1.630	12.680	18.957	19.708	10.022	23.034	59.883	3.464	12.247	7.909	21.500	24.989	9.996	18.808	16.100	12.588	22.100	31.888	9.929	9.108	11.296	17.549	13.945	38.544	14.236	11.463	20.556	48.110	8.900	14.964	5.315	18.817	6.590	8.584	27.014	8.729	5.100	13.766	14.015	7.400	11.800	10.783	6.474	46.207	10.160	13.611	5.881	13.273	9.200	17.519	6.680	8.400	8.062	7.140	16.701	5.327	21.527	25.758	5.615	3.715	7.833	10.390	13.835	29.939	6.799	30.000	5.223	9.400	7.233	41.758	15.882	14.973	13.700	32.251	15.900	20.241	24.300	7.156	4.643	25.277	14.160	9.433	14.700	10.208	4.126	13.620	23.100	7.039	12.212	5.800	13.984	29.616	5.800	9.600	61.535	6.973	16.334	17.853	9.317	8.293	1.539	4.700	0.000
