 	x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66
1	0.030	0.000	48.024	2.296	0.000	0.000	0.000	0.000	20.239	0.000	0.533	0.000	0.000	0.000	0.000	16.892	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	59.252	0.000	7.356	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	41.009	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	9.082	0.000	0.000	0.000	0.000	0.000	0.000	38.012	0.000	0.000	0.000	0.000	0.000	0.000	2.125	46.055	0.000	0.000
2	0.060	0.000	58.713	3.692	0.000	0.000	0.000	0.000	16.824	0.000	27.334	0.000	0.000	0.000	0.000	8.874	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	46.927	0.000	1.308	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	25.502	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	9.712	0.000	0.000	0.000	0.000	0.000	0.000	50.165	0.000	0.000	0.000	0.000	0.000	0.000	3.487	38.527	0.000	0.000
3	0.090	0.000	59.493	5.676	0.000	0.000	0.000	0.000	17.310	0.000	53.371	0.000	0.000	0.000	0.000	2.262	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	28.545	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	13.041	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	9.710	0.000	0.000	0.000	0.000	0.000	0.000	52.606	1.000	0.000	0.000	0.000	0.000	0.000	4.147	25.613	0.000	0.000
4	0.120	0.000	48.980	6.612	0.000	0.000	0.000	0.000	19.634	0.000	83.098	0.000	0.000	0.000	0.000	0.016	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	12.506	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	6.505	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3.130	0.000	0.000	0.000	0.000	0.000	0.000	46.648	1.300	0.000	0.000	0.000	0.000	0.000	5.316	13.451	0.000	0.000
5	0.150	0.000	31.888	1.325	0.000	0.000	0.000	0.000	22.672	0.000	103.234	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.461	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.703	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	4.880	0.000	0.000	0.000	0.000	0.000	0.000	33.776	1.700	0.000	0.000	0.000	0.000	0.269	6.828	7.086	0.000	0.000
6	0.180	0.000	16.780	0.000	0.000	0.606	0.000	0.000	25.485	0.000	109.680	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.150	0.000	0.029	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	4.800	1.853	0.000	0.000	0.000	0.000	0.000	20.748	4.000	0.000	0.000	2.754E-5	0.000	0.497	8.026	3.363	0.000	0.000
7	0.210	0.000	7.606	0.000	0.000	2.708	0.000	0.326	28.864	0.000	108.559	0.000	0.000	0.000	0.006	0.416	0.054	0.000	0.000	0.377	0.070	0.000	0.000	0.807	0.000	0.000	0.000	1.345	0.070	1.656	0.084	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.009	0.000	0.007	0.000	0.000	0.000	2.232	4.720	11.598	0.000	0.028	0.000	0.000	0.000	25.379	5.000	0.000	0.071	0.840	0.715	0.348	7.616	0.187	0.000	0.000
8	0.240	0.000	2.864	0.000	2.028	6.213	0.429	2.213	31.512	0.000	107.198	0.000	0.000	0.000	0.929	2.858	1.920	0.404	0.000	3.072	1.871	0.000	0.000	3.264	0.312	0.000	0.016	4.104	1.728	3.946	2.237	0.525	0.860	0.000	0.000	0.000	4.248	1.945	0.140	0.383	0.000	0.000	6.684	0.000	1.103	0.000	0.000	0.000	5.767	4.655	19.237	0.000	1.105	0.000	0.000	0.000	41.137	6.000	0.465	4.123	2.396	12.417	0.037	7.541	2.364	0.000	0.666
9	0.271	0.000	4.235	3.340	8.223	11.488	2.358	3.902	34.228	0.000	107.872	0.000	0.304	0.000	3.541	6.008	4.535	3.734	0.716	8.450	5.634	0.149	0.283	8.185	3.150	0.755	1.144	9.140	3.541	9.126	5.354	3.651	14.123	0.000	2.008	4.700	10.219	7.197	1.895	2.487	0.104	0.000	12.267	0.000	4.217	10.300	0.000	13.800	10.266	6.163	24.976	4.800	5.250	3.400	0.688	0.000	58.320	30.200	4.129	10.710	5.328	22.769	0.000	6.877	7.335	0.100	5.277
10	0.301	6.500	10.256	15.190	20.161	17.997	5.325	6.983	37.354	0.000	105.944	6.900	6.179	4.300	9.449	10.559	6.438	10.763	9.423	17.062	17.177	1.872	1.625	18.889	11.142	11.257	3.512	15.256	8.019	17.801	11.864	9.889	32.419	0.072	6.547	7.600	19.267	15.127	5.067	7.800	2.774	0.000	22.583	10.600	9.406	20.200	10.158	27.500	18.926	5.557	30.385	7.600	16.537	4.900	5.932	0.000	75.352	45.900	11.347	24.101	10.156	35.083	0.932	12.399	12.289	1.239	14.974
11	0.331	14.300	16.096	23.085	38.822	23.682	11.360	14.819	39.978	0.000	97.793	14.500	12.619	6.400	19.180	16.106	7.494	26.035	18.473	29.615	39.346	1.234	3.909	32.828	25.576	11.031	8.428	23.654	15.435	30.303	21.709	19.008	50.180	2.304	11.548	10.700	30.529	25.705	12.071	15.590	7.224	0.104	35.236	19.000	16.107	33.100	20.272	41.400	27.932	7.227	33.562	10.900	34.328	10.400	11.591	0.000	84.710	61.800	25.388	39.389	16.352	46.289	7.513	19.463	14.352	11.034	24.422
