 	x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66
1	0.030	0.000	0.000	0.596	0.000	0.000	0.000	0.000	0.000	0.000	68.138	0.000	0.256	0.000	0.000	21.527	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	17.298	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.749	0.000	0.000	0.000	0.762	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.112	0.000	0.000	0.000	0.000	0.000	0.000	0.000	46.272	0.000	0.000
2	0.060	0.000	0.000	9.722	0.000	0.000	0.000	0.000	0.000	0.202	55.345	0.000	6.548	0.000	0.000	10.804	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	10.163	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.343	0.000	0.000	0.000	7.780	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.444	0.000	0.000	0.000	0.000	0.000	0.000	4.273	0.000	0.000	0.000	0.000	0.000	0.000	0.000	42.033	0.000	0.000
3	0.090	0.000	0.000	16.432	0.005	0.000	0.000	0.000	1.788	0.356	35.599	0.000	13.920	0.000	0.000	2.106	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	5.191	0.000	0.000	0.000	0.000	0.000	0.000	0.795	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	23.014	0.000	0.000	0.000	0.000	0.000	0.000	0.000	4.144	0.000	0.000	0.000	0.000	0.000	0.000	11.845	0.000	0.000	0.000	0.000	0.000	0.708	0.000	33.617	0.000	0.000
4	0.120	0.000	0.000	22.821	0.303	1.799	0.000	0.000	6.529	0.592	19.021	0.000	25.369	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.236	0.000	0.000	0.000	0.000	0.000	0.000	6.122	0.045	0.000	0.000	0.000	0.000	0.000	0.000	0.000	44.385	0.000	0.000	0.000	0.000	0.000	0.000	0.000	6.126	0.000	0.000	0.000	0.000	0.000	0.000	19.460	0.000	0.000	0.000	0.000	0.000	2.053	0.000	21.898	0.000	0.000
5	0.150	0.000	0.000	30.559	0.000	7.675	0.000	0.000	12.821	1.030	10.537	0.000	41.728	0.000	0.000	0.000	0.000	0.000	0.000	0.003	0.000	0.000	0.000	0.000	0.000	0.219	0.000	0.000	0.000	0.000	0.000	0.000	15.695	5.852	0.000	0.000	0.000	0.000	0.000	0.000	0.000	63.809	0.000	0.000	0.000	0.000	0.000	0.000	0.087	9.407	0.000	0.400	0.000	0.000	0.000	0.000	30.120	0.000	0.000	0.000	0.000	0.000	4.272	0.323	12.351	1.264	0.000
6	0.180	0.000	0.000	38.533	0.000	15.199	0.000	0.000	19.228	1.775	4.409	0.000	56.580	0.000	0.000	0.000	0.000	0.000	0.000	2.535	0.000	0.000	0.000	0.000	0.006	0.000	0.000	0.000	0.000	0.136	0.000	0.000	34.579	12.486	0.000	0.000	0.000	0.000	0.000	0.000	0.000	73.050	0.000	0.000	0.000	0.000	0.000	0.000	6.548	13.935	0.000	0.600	0.000	0.000	0.000	0.000	41.929	0.000	0.000	0.000	0.504	0.000	7.141	9.093	6.712	11.750	0.000
7	0.210	0.000	0.000	45.666	0.000	30.025	0.000	0.000	22.656	2.880	7.358	0.000	64.736	0.000	0.066	0.127	0.071	0.000	0.000	10.428	1.315	0.284	1.873	1.315	0.612	0.000	0.000	0.000	1.414	3.024	1.808	0.602	58.805	20.322	0.000	0.000	0.225	0.000	0.044	0.053	0.000	74.134	0.295	0.000	2.497	0.000	1.618	0.000	16.025	17.848	0.000	0.900	0.066	0.000	0.000	0.127	49.621	0.000	0.000	0.140	3.060	0.000	10.127	22.387	1.635	23.336	1.444
8	0.240	0.000	0.279	50.640	1.613	48.905	1.169	2.704	24.349	5.431	12.785	0.000	66.740	0.000	3.072	3.139	2.425	0.917	0.601	22.652	5.082	4.525	7.897	5.169	4.341	0.488	0.532	1.636	8.400	12.653	5.601	5.017	83.829	32.436	0.000	0.000	9.427	0.834	2.284	2.190	2.178	72.323	5.453	0.000	9.211	0.000	6.461	0.000	33.536	19.182	0.000	1.000	2.482	0.000	0.545	2.335	49.429	0.000	0.362	2.814	8.036	0.000	12.079	37.622	0.211	37.036	7.120
9	0.271	0.000	5.713	51.081	9.101	62.546	5.321	10.884	26.311	12.179	18.938	0.000	64.676	0.000	8.698	11.170	6.840	5.229	11.683	40.051	14.231	10.274	15.231	12.127	12.947	7.953	4.768	9.745	18.736	27.633	9.604	13.819	102.702	43.419	1.399	7.300	21.072	5.203	6.486	12.392	9.022	70.440	14.033	0.000	18.547	11.800	17.788	15.200	50.999	17.684	0.000	7.700	9.826	4.500	5.390	7.729	41.046	26.100	4.938	12.166	19.465	0.146	13.921	47.999	3.857	49.101	14.420
10	0.301	12.800	13.297	47.208	21.510	67.219	14.459	21.408	29.273	19.958	28.135	10.000	57.404	4.200	18.124	23.137	9.463	15.206	25.126	53.289	34.668	19.417	27.477	24.553	28.034	10.669	9.544	20.209	35.689	46.265	17.611	27.160	112.855	49.857	6.086	10.900	38.778	15.466	14.241	30.487	18.882	67.596	27.443	11.800	31.527	21.000	36.864	33.300	57.552	15.194	2.346	9.900	25.418	5.700	9.292	20.713	31.595	40.500	17.055	20.312	34.400	6.925	15.307	52.492	10.022	55.161	26.250
11	0.331	25.000	23.162	42.661	44.781	64.344	28.820	37.252	35.180	31.126	38.216	22.000	44.752	6.700	33.029	37.905	11.943	34.603	43.719	56.550	61.658	31.386	41.968	40.044	45.510	12.287	21.372	37.108	52.397	62.009	29.199	40.251	115.464	53.015	14.253	16.100	56.915	30.053	28.263	49.819	35.264	62.472	44.227	20.700	46.314	33.200	55.239	53.100	53.965	14.645	11.297	11.800	46.575	13.200	16.998	38.439	24.659	53.500	33.890	32.416	45.120	15.765	15.440	55.953	14.450	53.809	40.160
12	0.361	44.800	35.718	39.694	70.562	53.885	42.601	53.959	44.094	45.344	48.819	38.100	31.512	10.900	47.115	49.689	14.579	55.078	56.115	54.852	74.456	40.190	52.401	50.687	55.878	12.801	41.612	52.228	63.139	71.246	37.994	46.936	111.330	51.757	30.049	21.600	67.123	46.059	43.325	62.839	56.065	56.745	57.615	31.300	58.598	39.900	62.216	66.300	48.998	16.184	20.744	12.200	62.341	30.500	27.456	50.303	26.795	62.300	47.940	47.206	48.724	28.496	14.305	61.067	16.142	46.837	49.848
13	0.391	66.800	46.400	37.045	81.969	37.509	46.544	64.558	52.587	56.841	57.630	46.400	23.044	13.600	51.590	54.456	15.931	60.031	52.591	55.107	61.806	44.731	51.887	49.425	50.804	12.451	60.092	58.113	66.856	72.687	35.207	46.111	102.766	40.920	48.861	24.700	69.806	57.161	49.797	64.289	73.020	53.106	61.030	36.600	65.001	36.900	59.990	68.300	49.029	17.955	34.161	11.800	66.391	37.700	32.216	51.755	41.758	63.100	55.968	60.536	47.668	41.742	12.992	62.710	15.216	35.884	52.494
14	0.421	79.300	52.417	32.892	71.542	21.170	38.230	67.171	56.874	62.156	62.440	39.400	22.696	12.200	44.250	49.948	16.025	44.942	35.535	59.338	34.813	47.899	39.322	36.435	34.032	11.422	61.828	54.462	63.957	69.491	22.570	40.467	92.959	22.731	59.700	21.800	66.671	61.528	42.721	55.572	78.134	53.677	52.384	31.300	62.935	26.600	52.855	58.700	54.116	18.201	46.370	10.800	60.495	18.400	24.619	48.073	52.036	53.100	55.554	68.881	43.780	49.308	12.341	54.059	12.868	23.800	45.804
15	0.451	62.000	53.012	26.690	46.561	11.286	23.070	61.740	58.448	61.643	62.922	22.900	29.264	8.000	30.388	39.502	16.130	22.354	17.610	63.449	13.503	48.804	22.067	20.150	16.431	10.616	45.876	46.229	52.119	61.077	10.671	33.136	84.341	8.776	58.445	14.200	56.945	57.761	27.666	38.345	68.953	58.330	34.913	18.600	51.617	14.900	40.773	41.100	58.881	17.030	52.033	8.800	48.613	0.000	11.453	39.440	57.092	36.300	49.081	68.471	35.168	50.741	12.922	36.096	9.877	13.510	32.476
16	0.481	19.300	48.227	20.519	22.547	5.355	11.266	49.739	60.180	58.765	56.571	10.400	39.384	5.500	19.235	27.406	16.593	8.465	7.228	59.883	4.317	43.022	9.993	9.450	6.685	10.593	24.420	34.544	33.931	46.842	4.821	23.861	77.711	2.671	48.832	7.400	39.192	43.858	14.458	20.392	49.145	61.187	17.572	7.600	35.243	7.100	25.188	23.100	56.400	15.086	49.960	6.800	33.904	0.000	3.119	26.592	58.538	20.200	43.810	57.029	22.344	50.063	13.527	18.149	6.370	6.288	17.236
17	0.511	19.300	39.087	14.286	9.266	0.037	5.563	34.631	59.306	53.473	45.513	0.000	48.900	4.900	12.384	16.556	12.688	3.152	0.325	45.604	0.904	28.999	4.011	4.029	1.522	10.271	10.348	21.291	17.530	29.871	1.753	13.841	70.337	0.539	34.678	3.900	21.026	24.857	6.997	8.232	28.382	55.544	8.132	0.000	20.851	0.000	12.208	10.600	42.896	13.879	41.770	0.000	18.650	0.000	0.266	15.409	60.492	0.000	43.548	38.065	11.868	46.494	12.202	8.146	2.235	1.704	7.308
18	0.541	0.000	28.048	3.141	3.211	0.000	1.916	21.538	51.447	45.217	35.892	0.000	54.976	0.000	5.891	9.154	1.678	0.335	0.000	27.527	0.000	14.453	0.261	0.458	0.026	8.554	4.092	11.277	7.873	15.635	0.136	5.936	60.088	0.000	20.127	0.000	10.023	11.199	2.500	1.342	13.872	38.811	1.759	0.000	11.739	0.000	4.512	0.000	23.944	13.426	29.342	0.000	7.495	0.000	0.000	9.420	62.739	0.000	54.262	20.298	5.956	36.033	10.055	2.138	0.178	0.000	1.834
19	0.571	0.000	18.200	0.000	0.055	0.000	0.144	13.315	37.396	32.072	30.316	0.000	56.648	0.000	0.228	1.877	0.000	0.000	0.000	13.895	0.000	6.110	0.000	0.000	0.000	4.583	0.740	2.941	0.987	5.946	0.000	0.925	48.449	0.000	10.172	0.000	1.754	1.006	0.070	0.000	6.155	19.946	0.000	0.000	4.280	0.000	0.150	0.000	10.348	12.614	16.565	0.000	1.800	0.000	0.000	3.480	58.682	8.900	68.163	9.666	2.624	20.868	8.433	0.000	0.000	0.000	0.050
20	0.601	0.000	11.792	0.000	0.000	0.000	0.000	2.301	22.855	18.473	27.719	0.000	51.856	0.000	4.825	0.000	2.440	0.000	0.000	3.467	0.000	1.136	0.000	0.000	0.000	0.104	0.000	0.000	0.000	0.452	0.000	0.000	36.034	0.000	2.735	0.000	0.000	0.000	0.000	0.000	0.321	6.963	0.000	0.000	0.000	0.000	0.000	0.000	0.378	11.299	6.400	0.000	0.000	0.000	0.000	0.000	45.803	14.400	79.599	3.522	0.308	9.069	7.193	0.000	0.000	0.000	0.000
21	0.631	0.000	5.042	0.000	0.000	0.000	0.000	0.000	12.874	9.374	24.172	0.000	40.148	0.000	14.442	0.000	14.541	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	21.053	0.000	0.003	0.000	0.000	0.000	0.284	0.000	0.000	0.660	0.000	0.000	0.000	0.000	0.000	0.000	0.000	10.728	0.892	0.000	0.000	0.000	0.000	0.000	29.566	22.400	85.355	0.231	3.548	0.518	4.034	0.000	0.000	0.000	0.000
22	0.661	0.000	0.133	0.000	0.000	0.000	0.000	0.000	5.369	3.939	20.250	0.000	25.548	0.000	21.567	0.000	21.580	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	11.684	0.000	0.000	0.000	0.000	0.000	1.538	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	11.131	0.000	0.000	0.000	0.000	0.000	0.000	16.169	30.100	85.304	0.000	7.792	0.000	0.415	0.000	0.000	0.000	0.000
23	0.691	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.701	0.237	15.351	0.000	13.508	0.000	31.436	0.000	31.938	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3.664	0.000	0.000	0.000	0.000	0.000	3.489	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	11.277	0.000	0.000	0.000	0.000	0.000	0.000	4.176	35.100	80.351	0.569	11.172	0.000	0.000	0.000	0.000	0.000	0.000
24	0.721	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	9.292	20.900	5.043	0.000	41.439	0.000	43.705	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.044	0.000	0.000	0.105	0.000	0.000	0.000	0.022	0.000	5.324	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.297	0.000	0.000	0.000	0.000	0.000	0.000	0.373	36.600	69.628	1.326	13.212	0.000	0.000	0.000	0.000	0.000	0.000
