 	x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66
1	0.030	0.000	7.252	0.000	24.644	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	22.829	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	44.174	0.000	0.000	0.000	0.000	15.993	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.200	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	46.406	0.000	0.000
2	0.060	0.000	3.686	0.000	20.953	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	11.033	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	41.878	0.000	0.000	0.000	0.000	5.243	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.700	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	45.158	0.000	0.000
3	0.090	0.000	0.564	0.000	14.153	0.000	0.000	0.000	0.000	0.000	0.089	0.000	0.000	0.000	0.000	2.269	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	35.942	0.000	0.000	0.000	0.000	0.035	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.100	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	36.395	0.000	0.000
4	0.120	0.000	0.000	0.000	9.567	0.000	0.000	0.000	0.000	0.000	1.870	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	28.062	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.700	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.388	0.000	0.000	23.139	0.000	0.000
5	0.150	0.000	0.255	0.000	5.925	0.000	0.000	0.000	0.000	0.000	5.545	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	27.672	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.900	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	7.347	0.000	0.000	12.154	0.000	0.000
6	0.180	0.000	2.927	0.000	4.142	0.000	0.000	0.000	1.543	0.000	10.889	0.600	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	34.711	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.560	5.577	3.700	0.000	0.000	0.000	0.000	0.900	0.000	0.000	0.000	0.000	15.540	0.000	0.000	6.015	0.000	0.000
7	0.210	0.000	7.414	0.000	0.835	0.000	0.000	0.000	9.298	0.000	18.158	0.800	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.168	0.056	0.000	0.000	0.044	0.043	0.000	0.000	0.248	0.000	0.000	0.000	0.305	38.147	0.000	0.000	0.000	0.000	0.000	0.044	0.000	0.055	0.332	0.000	0.000	0.044	0.000	0.112	0.000	0.000	5.157	12.571	4.600	0.323	0.000	0.000	0.000	4.543	0.000	0.110	0.000	0.644	27.894	0.000	0.000	1.684	0.000	1.172
8	0.240	0.000	12.945	0.000	0.654	0.000	1.043	0.230	18.750	0.932	26.703	0.900	1.349	0.000	0.228	0.039	0.146	0.113	0.203	1.121	0.889	0.000	0.000	0.997	0.553	0.000	0.819	3.184	0.313	0.261	0.197	2.461	37.528	0.000	0.204	0.000	0.289	0.199	0.997	0.238	0.951	7.690	0.271	0.000	1.001	0.000	0.997	0.000	2.900	8.315	18.060	5.100	2.475	0.000	0.000	0.000	10.734	0.000	2.611	1.901	3.784	38.350	0.288	0.000	1.709	0.392	4.082
9	0.271	0.000	22.998	0.000	8.479	1.504	6.163	4.436	34.557	7.413	34.736	1.200	8.626	0.000	3.014	3.396	2.769	2.871	7.122	1.654	2.770	0.000	0.243	3.167	2.397	2.287	4.447	7.148	5.285	7.132	1.356	7.390	36.829	2.428	1.678	6.900	7.641	3.437	2.958	7.052	3.170	18.641	4.439	0.000	3.460	7.100	4.955	7.400	7.300	11.367	26.118	9.800	8.635	2.400	1.635	0.000	20.233	13.000	10.994	8.754	10.528	42.430	1.241	0.042	4.318	1.708	7.234
10	0.301	6.100	30.845	0.000	20.620	5.194	14.874	10.930	52.192	17.468	41.845	10.900	22.002	1.900	7.020	11.209	6.312	9.068	12.819	2.824	8.826	1.949	4.678	8.307	6.969	3.709	11.794	12.393	12.773	17.289	3.686	14.739	34.976	7.394	4.794	8.600	14.544	9.076	7.442	20.234	9.403	33.489	10.119	8.500	9.793	11.200	13.779	17.700	14.900	12.995	33.395	10.500	17.696	3.500	4.037	0.000	31.681	19.700	29.074	23.237	18.484	39.244	3.186	0.084	9.489	3.484	12.548
11	0.331	12.100	29.440	1.236	27.649	10.258	21.677	21.959	63.699	31.117	46.062	20.300	39.843	2.800	15.034	21.599	9.808	17.800	22.691	4.223	22.214	6.396	11.319	16.570	15.396	5.635	23.878	17.803	21.589	27.696	7.640	21.194	30.899	13.342	9.998	11.700	25.426	19.334	16.923	31.002	20.119	51.812	17.990	14.300	20.574	16.900	25.710	31.200	24.200	14.409	37.765	10.600	25.284	8.600	6.132	0.000	37.397	25.300	44.913	40.638	23.168	29.699	5.796	0.000	16.585	7.352	18.766
