 	x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45
1	0.030	0.000	0.000	0.000	68.804	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	37.974	0.000	0.000	50.555	0.000	0.000	0.000	0.000	38.044	0.000	0.200	61.584	36.543	9.913	0.000	19.930	0.000	0.000	0.000	12.736	0.000	2.535	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
2	0.059	0.000	0.000	0.000	66.914	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	23.160	0.000	0.000	44.930	0.000	0.000	0.000	0.000	59.145	0.000	12.559	47.527	30.730	2.301	0.000	22.657	0.000	0.000	0.000	14.311	0.000	6.698	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
3	0.089	0.000	0.000	0.000	63.635	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	13.395	0.000	0.000	33.113	0.000	0.000	0.000	0.352	71.198	0.000	26.388	32.397	23.802	2.602	0.000	24.611	0.000	0.000	0.000	15.427	0.000	18.710	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
4	0.118	0.000	0.000	0.000	54.686	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	8.284	0.000	0.000	18.355	0.000	0.000	0.000	6.904	72.445	0.000	45.278	21.711	18.751	3.237	0.000	25.209	0.000	0.000	0.000	0.814	0.000	32.268	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
5	0.148	0.000	0.000	0.000	40.090	0.485	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.515	0.000	0.000	6.746	0.000	0.000	0.000	13.946	67.015	0.000	59.398	21.929	16.908	2.229	0.000	24.157	0.000	0.000	0.000	0.000	0.000	47.438	0.000	0.000	0.000	0.000	0.000	0.000	0.220	0.000	0.000	0.000	0.000
6	0.177	0.000	0.000	0.000	24.026	2.168	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.115	0.000	0.300	0.000	26.393	60.446	0.000	65.427	25.549	14.183	1.042	0.000	23.127	0.000	0.000	0.000	0.000	0.000	56.876	0.000	0.000	0.435	0.000	0.000	0.000	1.804	0.000	0.000	0.000	0.000
7	0.207	0.000	0.000	0.005	12.371	2.560	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	4.206	0.000	44.475	54.827	0.000	65.564	35.012	5.177	0.158	0.000	23.001	1.277	0.000	0.282	0.000	3.413	57.600	0.000	0.000	2.320	0.047	0.000	0.000	5.093	0.000	0.000	0.009	0.000
8	0.236	0.000	0.000	0.522	1.865	3.155	2.701	0.297	0.000	0.000	0.343	0.072	0.000	0.000	0.000	0.000	0.000	0.000	8.856	0.000	60.111	51.518	0.000	65.048	43.738	0.215	1.919	0.000	22.498	14.145	0.016	0.545	1.417	8.674	53.158	0.041	0.120	6.013	1.452	0.000	0.000	12.247	0.028	0.000	1.422	0.000
9	0.266	0.797	0.000	2.201	1.004	4.559	14.085	2.992	0.000	0.000	2.463	1.454	0.188	0.447	1.135	0.000	0.912	0.000	15.411	0.212	66.520	50.560	0.710	65.570	49.611	3.710	13.317	4.800	20.951	20.005	1.465	1.304	17.604	9.783	48.705	2.184	1.512	13.405	2.743	0.000	0.415	22.819	0.728	0.000	5.397	0.000
10	0.295	3.996	1.200	3.726	1.818	12.328	26.927	4.708	0.000	0.000	7.373	4.237	0.940	2.212	4.530	0.400	6.247	0.000	22.896	1.434	65.376	51.615	5.386	62.902	50.769	6.676	20.923	8.000	15.617	27.490	4.540	3.451	23.710	10.461	47.597	5.100	4.760	23.417	4.856	2.100	3.280	33.148	4.693	0.000	13.114	3.500
11	0.325	15.009	5.200	6.274	3.655	22.171	42.574	7.865	3.000	0.496	16.020	11.941	3.407	5.379	12.411	2.950	29.515	0.000	30.368	5.162	59.697	53.184	12.389	51.941	47.226	10.148	24.311	11.500	19.445	37.903	8.716	4.409	31.084	10.788	50.353	6.973	10.596	32.755	7.970	6.200	9.167	39.300	16.608	0.056	23.805	7.600
12	0.354	37.369	19.000	7.928	4.948	31.177	57.340	11.879	22.200	2.035	26.660	24.291	7.844	10.092	24.784	6.511	46.788	0.000	33.859	11.466	49.777	54.763	22.684	35.247	40.743	12.235	26.359	15.500	21.067	46.670	12.105	8.139	40.232	10.862	55.470	8.593	17.468	38.631	10.974	13.300	18.597	42.937	34.293	0.308	34.184	14.600
13	0.384	47.718	27.000	8.125	4.589	40.841	66.296	14.327	50.700	5.233	33.678	34.342	14.840	14.390	34.375	9.214	62.760	0.105	31.814	17.427	35.884	56.293	34.213	20.876	33.129	12.655	26.365	17.900	22.484	48.936	13.728	12.727	46.196	10.812	57.985	9.907	21.756	38.589	12.407	20.100	28.724	44.632	44.949	1.699	41.613	24.300
14	0.413	28.663	11.900	7.262	3.206	48.863	66.678	13.306	46.600	8.055	35.230	32.034	20.738	15.380	34.234	10.627	73.498	5.204	25.552	17.582	21.750	55.816	39.191	12.574	24.474	13.178	24.920	16.500	22.495	42.772	13.739	15.820	43.462	10.970	55.136	10.993	21.800	33.377	10.838	21.400	33.749	43.430	41.258	2.623	43.989	29.800
15	0.443	16.850	0.000	5.783	1.762	50.407	58.150	9.777	19.300	9.777	28.847	19.291	22.775	14.045	23.074	8.998	80.192	17.376	18.106	12.256	12.409	50.938	31.552	0.591	14.907	12.545	22.684	13.700	21.565	33.358	13.107	15.834	33.935	11.067	48.225	10.715	16.324	24.786	7.576	16.000	30.848	38.519	25.909	2.535	39.585	20.100
16	0.472	0.000	0.000	3.987	0.299	43.183	44.388	6.394	4.700	9.528	17.698	6.876	19.298	9.858	10.318	5.264	85.236	32.625	11.256	6.438	5.041	43.151	17.005	0.019	7.793	10.452	20.210	12.000	20.558	22.635	13.662	16.038	23.011	10.922	40.324	8.582	9.136	16.016	4.470	8.000	20.916	30.165	10.687	1.758	28.554	0.000
17	0.502	0.000	0.000	2.684	0.000	29.953	28.647	3.651	1.000	6.628	5.902	1.720	12.425	4.711	3.577	1.529	85.060	45.837	4.514	1.744	0.542	34.290	6.714	0.000	3.478	8.338	18.250	12.200	19.501	7.638	15.792	16.296	15.867	9.571	33.305	4.257	4.384	7.989	1.755	3.500	10.587	20.128	3.351	0.809	15.095	0.000
