 	x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45
1	0.030	0.000	0.000	0.000	70.852	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	7.399	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	30.804	0.000	0.000	23.259	0.000	0.000	0.000	0.000	0.000	18.006	0.000	0.000	7.945	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
2	0.059	0.000	0.000	0.000	59.928	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	13.430	0.426	0.000	0.000	0.000	0.000	0.000	0.000	0.000	26.463	0.000	0.000	22.406	0.000	0.000	0.000	0.000	0.000	25.343	0.000	0.190	5.513	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
3	0.089	0.000	0.000	0.000	44.279	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	19.308	2.186	0.000	0.000	0.000	0.000	0.000	0.000	0.000	20.826	0.000	0.000	20.615	0.000	0.000	0.000	0.000	0.000	34.632	0.000	0.148	0.286	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
4	0.118	0.000	0.000	0.000	27.745	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	28.231	6.360	0.000	0.000	0.000	0.000	0.000	0.000	1.519	13.700	0.000	0.000	19.282	0.000	0.000	2.378	0.000	0.000	42.725	0.000	0.277	0.000	0.000	0.000	0.000	0.043	0.000	0.000	0.000	0.000
5	0.148	0.000	0.000	0.000	14.299	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.006	0.000	0.000	0.000	40.190	15.651	0.000	0.000	0.000	0.000	0.000	0.000	9.037	8.130	0.000	0.000	16.782	0.000	0.000	9.841	0.000	0.000	54.349	0.000	0.708	0.000	0.000	0.000	0.000	3.963	0.000	0.000	0.000	0.000
6	0.177	0.000	0.000	0.000	1.248	1.827	0.265	0.000	0.000	0.000	0.000	0.000	7.232	0.000	0.000	0.000	51.704	26.763	0.000	0.000	0.000	0.000	0.000	0.000	17.431	4.785	2.459	0.000	15.720	0.000	0.000	12.492	0.000	0.000	65.916	0.000	0.943	0.120	0.000	0.000	0.000	12.090	0.000	0.000	0.000	0.000
7	0.207	0.000	0.000	0.000	0.000	15.544	9.415	0.000	0.000	2.049	0.000	0.080	17.085	0.181	0.000	3.858	56.492	39.612	0.000	0.000	0.000	0.000	0.000	0.000	30.769	1.692	13.474	0.000	12.209	0.653	0.000	16.467	0.000	0.487	73.525	0.000	1.158	4.826	0.000	0.000	0.000	22.543	0.000	0.298	0.088	0.000
8	0.236	0.000	0.000	2.309	0.035	28.740	29.288	0.012	0.000	9.496	0.066	2.736	33.798	7.523	0.095	11.360	52.703	51.206	0.000	0.000	0.000	0.000	0.000	0.000	45.966	0.426	21.224	0.000	19.299	9.661	0.858	21.876	1.402	10.262	74.947	0.012	1.605	13.677	0.253	0.000	0.329	37.110	0.419	4.504	4.429	0.000
9	0.266	0.050	0.000	8.895	2.376	46.728	53.142	3.702	0.000	16.576	2.704	5.687	50.423	14.427	2.789	20.712	42.254	58.840	0.000	0.130	0.000	0.000	2.879	0.000	57.113	5.892	25.288	11.300	22.536	23.542	4.265	26.552	19.055	14.166	71.869	1.325	4.885	25.932	2.295	0.000	5.547	51.700	3.945	8.571	13.318	0.000
10	0.295	3.560	2.000	16.280	10.388	65.248	78.408	12.343	0.000	26.736	9.667	12.196	60.273	22.902	6.883	33.901	29.094	63.454	0.379	1.917	0.000	0.000	9.398	1.400	64.083	9.015	28.898	14.600	23.541	34.243	8.298	28.780	26.704	14.815	65.846	4.397	8.541	39.114	3.781	2.400	12.197	59.850	15.817	15.997	26.030	4.100
