 	x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45
1	0.030	0.000	0.000	0.000	23.543	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	24.730	0.000	0.000	0.000	0.000	0.029	0.000	1.100	0.000	9.978	28.274	0.000	26.560	0.000	0.000	0.000	0.000	0.000	7.537	0.000	12.616	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
2	0.059	0.000	0.000	0.000	29.494	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	13.974	0.000	0.000	0.000	0.022	4.917	0.000	7.500	0.000	6.472	21.467	0.000	27.320	0.000	0.000	0.000	0.000	0.000	6.020	0.000	14.584	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
3	0.089	0.000	0.000	0.000	29.815	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	8.635	0.000	0.000	0.000	2.714	14.342	0.000	15.800	0.000	2.796	14.839	1.100	27.376	0.000	0.000	0.000	0.000	0.000	4.712	0.000	16.740	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
4	0.118	0.000	0.000	0.000	25.047	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.410	0.000	0.000	0.000	9.861	29.813	0.000	33.600	0.100	0.000	9.709	1.500	27.353	0.000	0.000	0.000	0.000	0.000	3.345	0.000	17.948	0.000	0.000	0.000	0.000	0.000	0.000	1.085	0.000	0.000
5	0.148	0.000	0.000	0.000	17.624	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.932	0.000	0.000	0.000	18.527	48.991	0.000	49.400	3.768	0.000	5.744	4.500	26.590	0.000	0.000	0.000	0.000	0.000	9.152	0.000	19.040	0.000	0.000	0.000	0.000	0.051	0.000	2.049	0.000	0.000
6	0.177	0.000	0.000	0.000	10.732	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.428	0.000	0.000	0.000	31.604	64.156	0.000	62.200	10.781	0.000	3.815	5.400	25.194	0.000	0.000	0.259	0.000	0.000	21.485	0.000	21.012	0.000	0.000	0.000	0.000	2.099	0.000	2.797	0.000	0.000
7	0.207	0.000	0.000	0.000	6.413	0.000	0.397	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	4.995	0.000	0.047	0.000	47.049	70.658	0.000	70.200	20.913	0.140	5.824	5.900	24.285	0.000	0.000	2.313	0.000	0.000	33.237	0.000	21.860	0.000	0.033	0.000	0.000	6.523	0.000	2.150	0.088	0.000
8	0.236	0.000	0.000	0.321	3.272	0.000	5.387	0.209	0.000	0.000	0.000	0.164	0.000	0.000	0.000	0.000	7.533	2.691	5.076	0.000	59.096	70.615	0.000	75.400	35.216	2.583	8.376	5.900	24.318	0.293	0.230	5.414	6.385	0.443	40.200	0.000	20.524	0.452	0.718	0.000	0.329	13.818	0.002	4.398	2.027	0.000
9	0.266	0.179	0.000	4.780	3.732	0.136	14.381	3.339	0.000	0.000	0.065	1.701	0.000	0.000	0.945	0.000	10.550	8.974	10.887	0.000	63.714	68.729	0.169	79.800	51.489	4.607	11.591	16.300	23.659	9.043	1.323	9.423	12.769	11.430	42.813	0.000	17.172	7.060	1.650	0.000	3.220	22.476	0.412	6.735	6.394	0.000
10	0.295	3.977	2.800	9.138	5.902	1.300	26.866	6.082	0.000	1.071	6.413	5.155	1.277	0.000	3.528	1.881	14.338	17.848	20.004	1.179	61.351	67.041	3.201	81.900	59.121	7.874	14.987	17.400	18.002	22.433	2.987	12.489	19.723	17.343	41.858	1.479	14.096	13.085	3.486	1.300	8.046	29.429	3.249	10.025	15.250	1.500
