 	x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33
1	0.030	1.836	0.000	0.000	0.000	0.000	48.202	0.000	0.000	0.000	0.000	0.000	0.000	0.196	0.000	10.520	0.000	0.000	0.000	0.000	0.000	50.909	0.000	0.000	9.772	0.000	0.000	0.000	0.000	35.031	0.000	0.000	0.000	0.000
2	0.060	9.097	0.000	0.000	0.000	0.000	44.782	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	4.762	0.000	0.000	0.000	0.000	0.000	49.691	0.000	0.000	3.447	0.000	0.000	0.000	0.000	19.076	0.000	0.000	0.000	0.000
3	0.090	19.766	0.000	0.000	0.000	0.000	35.250	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.761	0.892	0.000	0.000	0.000	0.000	0.000	49.530	0.000	0.000	0.127	0.000	0.000	0.000	0.000	9.112	0.000	0.000	0.000	0.000
4	0.120	32.624	0.000	0.000	0.000	0.000	21.781	0.000	0.000	0.000	0.000	0.000	0.000	0.000	8.304	0.000	0.000	0.000	0.000	0.000	0.000	49.223	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3.923	0.000	0.000	0.000	0.000
5	0.150	45.727	0.000	0.000	0.000	0.000	11.585	0.000	0.000	0.000	0.000	0.000	0.000	0.000	15.748	0.000	0.000	0.000	0.000	0.000	0.000	47.483	0.000	3.098	0.000	0.000	0.000	0.000	0.000	0.045	0.000	0.000	0.000	0.000
6	0.180	55.013	0.000	0.000	0.000	0.031	5.656	0.011	0.000	0.000	0.000	0.000	0.000	0.000	28.053	0.000	0.000	0.000	0.000	0.000	0.000	45.302	0.000	14.726	0.000	0.068	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
7	0.210	60.834	0.000	0.014	0.000	2.464	1.758	0.684	0.010	0.000	0.055	0.000	0.417	0.652	44.593	0.028	0.036	0.000	0.000	0.638	0.108	44.529	0.056	31.164	0.070	0.961	0.000	0.000	0.000	0.098	0.615	0.056	0.111	0.012
8	0.240	64.161	0.421	0.370	0.203	6.254	0.278	2.908	0.860	0.740	1.173	0.000	2.304	2.203	58.672	0.741	1.398	0.000	0.000	2.218	1.457	44.424	1.469	46.074	1.871	3.022	0.172	0.000	0.004	3.031	2.129	1.547	1.703	0.420
9	0.270	66.620	1.552	1.822	2.069	14.347	2.566	9.654	5.480	2.900	5.270	0.193	5.997	6.040	65.847	3.461	5.625	0.000	0.788	4.932	3.593	43.391	3.854	56.043	5.213	8.525	2.532	5.700	0.148	6.735	3.465	3.443	3.979	1.443
10	0.300	65.149	3.708	6.655	7.018	28.494	8.136	24.517	15.953	6.521	13.151	2.106	12.945	14.020	64.445	11.229	15.533	3.400	3.015	9.877	7.620	41.034	10.192	59.953	13.615	16.852	7.344	10.900	1.180	14.280	6.021	7.245	7.910	5.244
11	0.330	59.895	7.044	16.980	15.988	43.025	16.685	41.257	26.870	12.580	22.264	7.174	22.348	25.823	53.186	25.740	29.957	8.300	6.846	16.790	13.894	39.942	22.897	60.781	27.978	26.697	14.288	17.100	4.824	29.544	9.278	14.325	13.869	13.501
12	0.360	51.691	10.757	26.655	24.844	52.112	25.055	50.056	30.516	21.214	27.221	15.464	29.545	35.869	36.326	36.953	42.002	15.800	13.382	21.784	20.645	38.346	36.651	60.546	40.546	35.712	18.728	21.300	12.500	46.906	11.310	21.532	20.118	21.373
13	0.390	41.862	12.804	28.012	26.566	52.491	29.100	47.772	25.170	27.231	27.989	21.254	30.309	41.037	20.848	35.120	45.740	19.700	19.725	22.029	22.245	37.137	41.913	60.797	43.793	42.676	17.324	22.300	21.796	55.502	11.459	25.002	23.905	21.406
14	0.420	31.751	11.312	19.838	20.029	43.844	26.115	36.582	15.332	24.168	26.163	18.713	23.047	40.578	11.160	22.183	40.186	14.500	20.749	16.976	20.040	33.985	33.215	60.019	34.903	45.606	11.528	19.800	30.852	47.745	10.068	22.952	23.068	14.163
