 	x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33
1	0.030	0.000	0.000	0.000	0.000	0.000	46.880	15.417	0.000	0.000	0.000	0.000	0.000	0.000	0.000	6.626	0.000	0.000	0.000	0.000	0.000	31.602	0.000	59.175	5.674	36.269	0.000	0.000	0.000	38.235	0.000	0.000	0.000	0.000
2	0.060	0.000	0.000	0.000	0.000	0.000	48.208	24.602	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.654	0.000	0.000	0.000	0.000	0.000	32.425	0.000	46.252	1.326	37.597	0.000	0.000	0.000	25.108	0.000	0.000	0.000	0.000
3	0.090	0.000	0.000	0.000	0.000	0.000	42.112	29.159	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.407	0.000	0.000	0.000	0.000	0.000	25.318	0.000	30.666	0.000	39.811	0.000	0.000	0.000	12.520	0.000	0.000	0.000	0.000
4	0.120	0.000	0.000	0.000	0.000	0.000	26.992	25.871	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	15.285	0.000	20.865	0.000	38.373	0.000	0.000	0.205	4.964	0.000	0.000	0.000	0.000
5	0.150	0.000	0.000	0.000	0.000	0.019	12.788	16.745	0.000	0.000	0.000	0.000	0.000	0.167	0.000	0.000	0.000	0.000	0.000	0.000	0.000	7.117	0.000	19.337	0.000	31.136	0.000	0.000	3.091	0.525	0.000	0.000	0.000	0.000
6	0.180	0.000	0.000	0.000	0.000	1.033	5.812	8.307	0.080	0.000	0.000	0.000	0.005	3.593	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.744	0.000	25.398	0.000	20.674	0.000	0.000	10.715	0.000	0.000	0.000	0.000	0.000
7	0.210	0.000	0.005	0.000	0.000	4.844	2.356	4.870	2.005	0.049	0.052	0.000	1.707	8.468	0.000	0.000	0.932	0.000	0.000	0.810	0.000	0.441	1.019	34.740	1.315	10.173	0.139	0.000	22.787	0.155	0.593	1.161	0.000	0.000
8	0.240	0.000	0.823	0.311	1.518	14.806	6.208	8.029	6.571	2.197	1.725	0.034	6.081	18.261	0.352	0.622	5.423	0.000	0.301	3.310	1.559	0.000	3.809	40.362	4.944	3.641	3.336	0.000	37.251	5.745	4.108	4.022	0.825	0.072
9	0.270	0.000	2.928	1.910	5.310	32.560	12.388	16.946	18.137	6.054	8.819	1.013	13.296	33.945	2.884	3.660	14.548	0.000	3.264	6.184	4.859	0.000	8.885	40.260	11.711	0.346	8.116	9.000	47.179	12.765	6.281	7.625	3.891	0.849
10	0.300	0.159	6.082	7.332	9.447	50.148	22.236	29.836	35.181	12.338	22.707	3.989	24.547	47.585	8.725	12.067	29.151	3.300	7.357	12.430	9.916	0.000	20.100	40.302	25.138	0.000	17.514	19.100	52.013	22.795	8.624	13.737	10.811	3.262
11	0.330	4.007	9.409	18.725	20.934	58.628	33.748	40.312	44.608	24.464	37.148	11.001	34.840	51.637	19.129	26.926	45.653	7.900	15.439	21.150	19.649	0.000	36.642	44.170	43.465	0.000	31.123	32.700	52.260	37.799	11.725	22.790	19.908	10.433
12	0.360	10.589	13.629	30.871	37.750	56.662	41.788	44.462	43.738	38.163	44.078	23.554	39.252	50.089	32.184	39.393	57.344	14.700	25.993	27.582	29.764	0.000	48.760	51.226	54.477	0.000	43.692	41.000	46.309	55.491	14.258	29.823	28.382	21.572
13	0.390	20.081	16.809	33.294	48.005	50.013	41.676	46.819	39.974	44.314	42.549	34.719	38.431	50.303	41.026	37.802	58.072	18.300	33.294	26.685	32.782	0.000	46.090	55.272	50.099	0.000	50.878	42.200	33.346	65.547	14.615	29.912	32.352	27.576
14	0.420	35.676	15.966	24.370	42.370	41.309	34.140	49.585	36.109	36.162	37.291	31.946	36.094	52.027	43.426	24.591	46.292	13.000	32.704	20.021	28.463	0.000	29.930	54.931	33.966	0.000	52.326	37.800	18.833	60.139	12.588	23.150	29.686	22.485
15	0.450	49.264	12.066	12.949	25.926	28.959	22.560	49.559	28.009	19.663	30.526	18.590	32.328	49.852	44.490	11.105	27.148	5.600	24.097	12.472	20.272	0.000	13.032	52.453	17.570	0.000	47.722	31.400	8.302	41.122	9.695	14.107	21.163	12.375
16	0.480	54.326	8.765	6.315	11.819	17.479	12.472	41.338	15.633	6.800	21.997	6.637	24.121	38.338	46.877	4.525	10.995	1.900	13.324	7.155	12.428	0.000	4.753	47.706	8.251	0.000	36.078	24.400	1.991	22.039	6.506	6.710	11.309	5.928
17	0.510	53.693	7.203	2.945	3.937	9.954	6.780	26.808	6.200	1.770	12.581	1.564	13.628	23.321	45.411	1.804	2.884	0.000	5.855	3.504	6.960	0.000	1.935	39.166	4.016	0.000	20.842	18.400	0.265	11.814	4.080	1.983	4.458	2.428
18	0.540	53.200	5.928	0.333	0.452	2.478	2.404	13.432	0.952	0.438	5.128	0.129	5.807	11.849	33.570	0.208	0.250	0.000	2.120	0.394	3.813	0.856	0.430	26.723	0.500	0.000	9.272	13.300	0.000	6.350	1.486	0.167	1.253	0.584
19	0.570	50.057	2.484	0.000	0.000	0.000	0.000	6.007	0.000	0.000	0.592	0.000	1.174	5.126	17.556	0.000	0.000	0.000	0.222	0.000	0.528	7.345	1.996	15.359	0.000	0.000	3.198	0.000	0.000	0.239	0.037	0.000	0.094	0.000
20	0.600	39.583	0.000	0.000	0.000	0.000	0.000	0.790	0.000	0.000	0.000	0.000	0.013	0.737	7.245	0.000	0.000	0.000	0.000	0.000	0.000	15.026	5.121	6.910	2.082	0.000	0.176	0.000	0.000	0.000	0.000	0.000	0.000	0.000
