 	x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33
1	0.030	0.000	0.000	0.000	0.000	0.000	44.567	47.790	0.000	0.000	0.000	0.000	0.387	0.000	0.000	3.047	0.000	0.000	0.000	0.000	0.000	0.965	0.000	0.000	13.982	32.141	0.000	0.000	0.000	43.456	0.000	0.000	0.000	0.000
2	0.060	0.000	0.000	0.000	0.000	0.000	44.421	54.956	0.000	0.000	0.000	0.000	1.805	0.000	0.000	0.572	0.000	0.000	0.000	0.000	0.000	1.686	0.000	0.000	6.633	41.331	0.000	0.000	0.000	30.328	1.844	0.000	0.000	0.000
3	0.090	0.000	0.000	0.000	0.000	0.000	43.437	56.663	0.000	0.000	0.000	0.000	2.853	0.000	0.156	0.000	0.000	0.000	0.000	0.000	0.000	2.782	0.000	0.120	2.215	37.234	0.000	0.000	0.000	16.616	4.044	0.000	0.000	0.000
4	0.120	1.345	0.000	0.000	0.000	0.079	34.575	55.678	0.000	0.000	0.000	0.000	3.545	0.000	2.288	0.000	0.000	0.000	0.000	0.000	0.000	3.980	0.000	0.880	0.081	23.374	0.000	0.000	0.000	7.361	2.558	0.000	0.000	0.000
5	0.150	6.337	0.000	0.000	0.000	0.941	20.595	49.465	0.000	0.000	0.000	0.000	2.970	0.000	6.536	0.000	0.000	0.000	0.000	0.000	0.000	7.457	0.000	2.362	0.000	10.916	0.000	0.000	0.000	2.605	0.268	0.000	0.000	0.000
6	0.180	13.526	0.000	0.000	0.000	3.526	10.166	35.234	0.000	0.000	0.000	0.000	1.551	0.000	15.408	0.000	0.000	0.000	0.000	0.000	0.000	13.416	0.000	5.295	0.000	4.974	0.000	0.000	0.000	0.299	0.000	0.000	0.000	0.000
7	0.210	22.070	0.042	0.014	0.000	10.146	4.176	19.947	0.000	0.003	0.000	0.000	0.108	0.000	30.348	0.028	0.042	0.000	0.033	0.009	0.000	20.711	0.033	9.664	0.056	2.941	0.372	0.000	0.000	0.447	0.084	0.254	0.000	0.011
8	0.240	30.051	0.676	0.249	0.440	20.639	1.628	12.315	0.000	0.313	0.000	0.011	1.662	0.371	45.420	0.499	0.784	0.000	0.794	1.033	0.678	28.087	0.756	15.128	0.889	0.246	2.580	0.000	0.408	2.394	1.388	1.321	0.000	0.277
9	0.270	35.986	1.667	1.171	2.493	29.330	3.529	12.190	0.000	1.324	1.516	0.555	3.723	2.263	53.140	2.253	3.482	0.000	2.999	3.458	2.487	34.442	2.231	21.587	2.559	0.000	7.344	3.400	2.940	7.201	3.668	3.393	2.158	1.322
10	0.300	40.307	3.394	4.856	4.119	32.275	7.434	15.314	0.000	4.580	6.525	1.716	7.605	5.995	52.076	7.544	9.210	1.600	7.639	8.497	6.115	40.640	5.798	29.489	6.419	3.186	15.604	7.900	9.704	16.576	6.861	7.133	7.912	5.578
