 	x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28
1	0.030	0.000	0.949	0.000	0.000	0.000	0.000	1.684	0.000	0.000	6.032	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
2	0.060	0.000	2.477	0.000	0.000	0.000	0.000	1.374	0.000	0.000	1.372	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
3	0.090	0.000	4.150	0.000	0.000	0.000	0.000	0.827	0.000	0.000	0.008	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
4	0.120	0.000	6.361	0.000	0.000	0.000	0.000	0.342	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.084	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
5	0.150	0.000	8.776	0.000	0.000	0.000	0.000	0.126	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.012	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
6	0.180	0.000	10.370	0.000	0.455	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	7.088	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
7	0.210	0.000	10.511	0.141	3.007	0.000	0.335	0.000	0.000	0.231	0.000	0.000	0.024	0.000	0.000	18.620	0.449	0.014	0.000	0.524	0.000	0.000	0.028	0.000	0.000	0.000	0.012	0.773	0.000
8	0.240	0.000	10.029	0.838	8.747	0.000	2.226	8.427E-4	0.000	2.863	0.584	0.000	0.913	0.000	0.000	35.251	5.019	0.288	0.033	4.287	0.000	1.044	0.815	0.630	0.000	0.000	0.457	3.238	0.016
9	0.270	0.026	9.156	2.101	16.876	0.000	7.978	2.569	0.000	7.369	2.076	1.400	3.263	0.379	0.186	49.216	11.588	1.068	1.263	11.986	0.051	3.449	2.069	6.434	0.000	0.900	2.509	7.759	2.209
10	0.300	0.362	9.683	4.957	22.700	2.203	18.683	6.943	0.000	17.259	6.176	3.900	9.417	3.018	3.204	55.928	18.283	3.718	3.893	19.265	0.746	7.710	4.437	17.388	0.200	3.200	10.655	16.465	6.798
11	0.330	1.591	10.623	11.434	24.361	7.463	34.701	14.660	0.000	31.620	18.280	7.700	21.499	8.994	12.421	56.140	23.058	9.710	9.266	23.945	3.564	16.049	8.666	27.938	0.900	7.800	26.370	25.685	16.731
12	0.360	3.969	12.721	17.980	21.425	15.962	50.790	26.317	0.000	42.322	33.824	11.700	33.756	17.376	23.939	48.372	24.179	16.450	17.096	25.024	10.958	23.965	12.013	36.452	2.700	13.600	41.353	32.999	35.047
13	0.390	7.390	14.517	19.518	14.994	26.133	57.986	35.637	0.000	44.663	37.884	13.400	34.947	22.678	29.518	32.001	18.247	19.353	21.689	21.290	18.011	26.992	12.781	38.607	5.500	15.600	46.475	35.456	44.383
14	0.420	9.858	15.161	14.279	8.587	35.192	51.222	35.653	0.000	40.699	27.928	10.700	24.562	21.983	27.097	15.015	10.383	14.733	18.653	14.228	16.210	24.022	11.472	32.210	7.500	11.300	40.419	34.553	29.559
15	0.450	8.975	11.630	6.905	4.026	38.868	32.962	25.410	0.000	32.474	14.825	7.000	10.505	17.356	19.363	5.332	4.578	7.604	11.765	7.838	9.139	16.791	8.794	21.460	7.500	5.300	27.179	28.977	14.787
