 	x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28
1	0.030	0.000	0.086	0.000	0.000	0.000	0.000	0.000	0.000	0.000	9.716	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
2	0.060	0.000	0.360	0.000	0.000	0.000	0.000	0.000	0.000	2.578	3.264	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
3	0.090	0.000	0.922	0.000	0.000	0.000	0.000	0.000	0.000	9.472	0.180	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
4	0.120	0.000	0.981	0.000	0.000	0.007	0.000	0.000	0.000	20.433	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
5	0.150	0.000	2.066	0.000	0.000	1.096	0.000	0.000	0.000	35.465	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
6	0.180	0.113	2.001	0.000	0.197	5.862	0.000	0.000	0.120	46.411	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.005	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.400	0.000
7	0.210	2.356	1.954	0.360	2.287	16.389	2.266	0.000	2.745	49.905	0.016	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.420	0.000	1.055	0.592	0.000	0.000	0.000	0.004	6.003	0.000
8	0.240	4.461	1.723	4.013	7.122	31.677	19.334	0.162	7.932	49.180	2.252	0.000	0.145	0.000	0.032	0.000	1.038	0.238	0.039	5.427	0.000	4.967	2.394	2.258	3.600	0.000	0.568	14.001	0.157
9	0.270	6.912	4.228	6.364	18.292	43.806	32.073	7.964	18.758	50.592	6.244	1.600	1.785	0.393	0.808	1.429	5.745	1.146	1.289	14.457	0.110	10.262	4.923	7.530	13.400	1.000	3.667	24.664	4.943
10	0.300	10.188	7.367	10.188	34.737	49.580	41.030	16.002	36.378	56.784	13.460	3.900	5.595	3.445	4.942	6.766	12.770	4.707	6.238	29.186	1.522	18.771	8.289	14.046	25.900	3.600	16.121	33.775	12.219
11	0.330	12.810	11.663	17.384	46.128	52.651	44.916	28.113	52.088	64.993	27.888	7.400	15.015	9.948	14.934	13.450	24.657	11.297	15.281	42.654	6.509	28.577	12.372	27.944	39.100	9.200	37.767	38.624	24.893
12	0.360	13.729	16.852	25.202	48.007	54.238	47.161	39.987	58.717	71.425	42.648	11.300	32.294	22.372	28.549	25.962	35.560	18.207	25.365	47.044	14.936	36.966	14.433	45.496	47.700	15.400	55.973	42.284	40.389
13	0.390	13.036	19.879	27.658	46.007	49.969	49.747	44.533	59.387	74.318	45.064	13.600	46.250	34.744	36.873	42.502	39.795	20.177	29.691	43.457	19.794	40.951	13.466	56.794	51.700	16.500	60.040	47.071	42.240
14	0.420	11.730	17.222	22.572	46.445	38.436	49.730	38.811	58.388	75.478	32.340	11.700	44.026	39.853	35.350	54.778	41.096	14.741	23.928	38.068	15.177	37.141	9.705	57.177	53.500	11.200	49.319	51.516	21.906
15	0.450	10.230	10.547	14.391	46.452	24.381	41.261	26.467	52.341	76.532	16.152	8.100	26.891	36.795	28.690	58.571	43.996	7.206	14.030	32.100	7.773	25.827	6.074	47.201	50.200	4.900	31.772	47.659	9.005
16	0.480	8.539	5.309	7.480	40.303	15.063	26.035	14.025	37.365	75.668	6.640	5.400	10.466	28.943	21.280	55.647	46.823	2.557	7.104	24.802	3.530	13.654	3.667	31.580	38.000	1.700	15.500	33.255	0.000
17	0.510	6.532	1.444	3.565	27.156	9.976	11.895	6.515	19.342	64.769	2.940	4.900	2.659	18.516	11.766	46.577	43.639	0.344	3.262	16.249	1.665	5.670	2.342	16.351	21.700	0.000	6.278	16.037	0.000
18	0.540	4.195	0.000	1.076	14.904	1.306	1.892	0.839	7.069	41.952	0.640	0.000	0.542	9.638	9.039	32.145	30.781	0.000	0.304	8.403	0.160	1.592	0.291	5.913	10.300	0.000	2.279	5.616	0.000
19	0.570	0.488	0.000	0.000	8.140	0.000	0.000	0.000	1.900	18.875	0.000	0.000	0.000	2.365	15.155	18.333	15.599	0.000	0.000	0.753	0.000	0.049	0.000	0.827	0.000	0.000	0.059	1.380	0.000
20	0.600	0.000	0.000	0.000	1.859	0.000	0.000	0.000	0.012	6.351	0.000	0.000	0.000	0.000	22.370	10.233	5.935	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.018	0.000
21	0.630	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.361	0.000	0.000	0.000	0.000	29.248	3.214	1.639	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
22	0.660	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.010	0.000	0.000	0.000	0.000	35.138	0.002	0.015	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
23	0.690	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	40.558	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
24	0.720	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	46.276	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
25	0.750	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	47.034	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
26	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
