 	x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28
1	0.030	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	15.144	0.000	0.000	0.000	0.000	1.900	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
2	0.060	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	6.724	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
3	0.090	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.684	0.000	0.000	0.000	0.000	0.036	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
4	0.120	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.336	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
5	0.150	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.007	0.000	0.000	0.000	0.000	0.000	0.000	6.348	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
6	0.180	0.000	0.000	3.662E-5	0.000	0.000	0.000	0.000	0.635	0.000	0.000	0.000	0.000	0.000	0.000	11.824	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
7	0.210	0.000	0.000	0.600	0.000	0.000	0.000	0.000	3.200	0.000	0.000	0.000	0.022	0.000	0.000	19.896	0.000	0.014	0.000	0.100	0.000	0.000	0.028	0.718	0.000	0.000	0.014	0.077	0.000
8	0.240	0.000	0.000	2.156	0.000	0.000	0.437	0.000	9.662	0.000	0.500	0.000	0.517	0.000	0.011	33.792	0.000	0.213	0.000	0.859	0.000	0.000	0.463	6.366	0.000	0.000	0.285	3.159	0.000
9	0.270	0.214	0.129	5.484	0.189	0.360	7.942	0.200	21.173	0.000	3.124	0.600	2.013	0.530	0.365	49.724	0.056	0.807	0.000	2.361	0.000	0.000	1.492	9.224	0.000	0.500	2.245	10.587	0.200
10	0.300	1.566	2.673	9.024	0.924	2.562	18.514	4.762	35.674	0.000	8.856	2.200	6.531	2.075	1.120	59.740	1.732	3.462	1.929	5.320	0.569	2.989	3.793	13.853	1.400	2.000	10.380	19.408	3.880
11	0.330	3.438	5.596	11.680	3.328	8.004	25.484	8.826	47.543	0.000	16.888	4.300	16.413	4.918	4.745	58.160	6.811	8.721	8.573	10.096	3.413	9.599	7.807	22.197	4.200	5.300	25.387	25.225	7.754
12	0.360	6.618	9.152	13.728	8.458	18.826	28.639	14.527	53.691	1.830	23.120	6.600	27.185	9.731	11.924	44.584	16.585	13.853	16.922	13.498	7.774	15.673	12.365	29.808	9.200	8.600	38.268	26.085	13.511
13	0.390	9.907	11.724	13.872	15.916	31.188	27.683	18.545	50.643	7.720	23.076	8.000	29.816	15.830	19.574	25.596	30.462	14.379	20.750	14.949	9.190	17.985	13.283	33.057	16.200	7.900	39.457	23.903	21.035
14	0.420	10.895	11.915	11.784	21.283	41.289	23.585	18.120	39.175	16.224	16.172	7.500	20.682	20.569	22.938	10.516	40.828	9.882	19.391	15.098	6.727	14.353	10.509	31.272	21.000	4.600	31.287	18.847	20.653
15	0.450	8.902	8.601	8.820	20.737	44.749	15.615	13.557	25.530	25.587	7.696	5.300	8.482	21.538	22.489	3.432	41.793	4.212	12.437	14.686	3.032	7.834	5.435	24.184	20.400	1.700	18.202	13.100	9.046
