 	x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	178	179	180	181	182	183	184
1	0.030	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.128	0.000	2.160	30.372	0.000	2.535	0.000	0.000	0.000	12.647	2.749	2.781	0.000	11.900	0.947	0.000	19.900	24.915	18.003	3.109	5.255	0.000	0.000	0.000	0.000	3.488	5.908	0.000	25.400	0.000	0.000	3.075	0.000	8.854	0.000	1.885	0.000	6.911	7.004	0.000	1.465	0.000	14.630	0.400	2.016	7.023	28.130	0.000	35.593	1.760	0.000	12.648	22.624	3.330	25.906	7.031	0.000	0.000	8.967	0.000	8.484	0.000	38.977	2.538	0.000	27.560	23.335	0.000	0.000	43.446	16.900	0.000	0.000	4.001	11.936	0.000	1.281	0.000	0.000	0.000	0.000	0.000	22.382	0.000	17.952	21.907	0.000	0.000	52.118	24.600	3.000	4.783	0.000	6.749	0.522	1.092	14.562	5.330	0.000	6.891	35.549	20.273	6.004	2.715	7.940	0.000	0.000	0.000	0.000	0.000	34.197	0.866	1.100	35.070	0.000	0.000	5.444	17.603	0.000	5.230	9.100	18.039	4.879	47.929	0.000	0.000	2.100	11.981	0.000	0.000	29.560	0.000	8.400	0.714	8.322	3.100	0.000	0.431	0.000	0.000	1.747	6.133	0.000	26.026	0.000	0.000	14.889	0.000	1.700	23.665	0.058	10.958	32.100	9.072	37.579	0.000	0.000	0.000	0.000	31.728	28.525	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.467	0.000	0.000	0.000	0.000
2	0.060	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.164	0.000	1.856	25.281	0.000	2.003	0.000	0.000	0.000	19.245	0.646	3.842	0.000	7.100	0.495	0.000	15.000	26.859	11.211	1.468	10.645	0.000	0.000	0.000	0.000	5.691	6.158	0.000	22.700	0.000	0.000	0.000	0.000	4.637	0.000	0.415	0.000	0.000	7.593	4.700	1.707	0.000	20.269	0.400	1.931	5.364	21.652	0.000	35.434	2.987	0.000	9.775	18.584	0.849	17.726	8.096	0.000	1.913	7.145	0.000	9.337	0.000	35.126	1.441	0.000	19.596	11.241	0.806	0.000	37.172	19.300	0.000	0.000	3.404	7.551	0.000	1.589	0.000	0.000	0.000	0.000	0.000	19.388	0.000	19.460	16.034	0.000	0.000	41.720	21.300	2.004	25.421	0.000	6.619	0.244	0.132	15.568	5.779	0.000	6.091	31.598	13.771	3.124	0.936	4.827	0.000	0.000	0.000	0.000	0.000	27.254	0.919	5.761	30.219	0.000	0.000	2.792	19.520	0.000	5.014	11.100	12.592	4.415	50.066	0.000	0.000	2.200	12.007	0.000	0.000	23.736	0.000	7.883	13.095	5.210	2.500	0.000	0.446	0.000	0.000	0.677	6.876	0.000	25.083	0.000	0.000	9.634	0.000	1.300	13.890	0.000	9.705	32.400	12.236	37.957	0.000	0.000	0.000	0.000	26.930	20.417	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.096	0.000	0.000	0.000	0.000
3	0.090	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.720	0.000	1.448	14.997	0.000	1.229	0.000	0.000	0.000	26.378	0.000	4.132	0.000	0.000	0.000	0.000	9.700	27.472	6.278	0.039	16.505	0.000	0.000	0.000	0.000	7.691	6.315	0.000	15.800	0.000	0.000	0.000	0.000	1.403	0.000	0.000	0.000	1.597	8.018	5.200	2.189	0.000	26.580	0.400	1.671	6.808	3.239	0.000	33.426	1.066	0.000	0.083	15.968	0.000	10.398	7.690	0.000	9.410	0.414	0.000	9.334	0.299	26.454	0.680	0.000	14.152	2.051	1.931	0.000	33.953	19.800	0.000	0.000	2.681	4.358	0.000	1.601	0.000	0.000	0.000	0.000	0.000	14.730	0.000	20.052	11.392	0.000	0.000	29.044	16.200	0.578	29.474	0.000	6.110	0.052	0.000	16.569	6.064	0.000	4.989	25.905	8.398	1.440	0.000	2.526	0.000	0.000	0.000	0.000	0.202	19.022	1.643	10.016	24.874	0.000	0.000	0.597	20.313	0.000	4.962	9.700	7.353	3.998	49.143	0.000	0.000	2.600	12.260	0.000	9.300	19.336	0.000	7.818	20.781	2.444	2.600	0.000	0.344	0.000	0.000	0.426	6.431	0.095	24.407	0.000	0.299	4.062	0.000	1.200	6.952	0.000	8.004	32.800	14.688	36.927	0.000	0.000	0.000	0.000	20.715	11.350	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
4	0.120	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.076	0.000	1.538	6.524	0.000	0.623	0.000	0.000	0.000	30.222	0.000	4.085	0.000	0.000	0.000	0.000	6.200	24.473	0.103	0.000	18.408	2.020	0.000	0.000	0.000	10.558	5.953	0.000	9.400	0.000	0.000	0.000	0.000	0.091	0.000	0.000	0.000	4.646	8.811	6.000	2.252	0.000	32.101	0.300	1.223	5.189	0.421	0.000	32.102	0.000	0.000	0.000	12.382	0.000	4.366	6.082	0.000	13.628	0.000	0.000	8.113	3.087	15.116	0.000	0.000	7.280	8.577	1.032	0.000	34.203	17.900	0.000	0.000	0.832	1.821	0.000	0.506	0.000	0.000	0.253	0.000	0.000	10.592	0.000	18.996	0.717	0.000	0.000	6.703	10.500	0.255	33.467	0.000	5.582	0.000	0.000	16.806	6.193	0.633	3.734	20.121	1.844	0.040	0.000	1.124	0.000	0.000	0.000	0.000	4.932	12.503	2.734	14.121	18.901	0.000	0.000	0.346	19.953	0.000	2.439	5.700	2.843	3.572	41.616	0.000	0.157	3.000	11.199	0.000	11.300	17.980	0.000	7.184	23.848	1.429	0.600	0.000	0.017	0.000	4.825E-4	0.226	5.084	4.391	21.868	0.000	0.736	0.634	0.000	1.400	0.284	0.000	7.245	34.000	15.200	34.503	0.000	0.000	0.000	0.000	14.684	5.034	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
5	0.150	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.688	2.016	0.000	0.137	0.000	0.000	0.000	29.946	0.000	1.882	0.000	0.000	0.458	0.000	0.000	19.815	0.000	0.000	19.178	1.200	0.000	0.000	0.000	13.632	4.965	0.000	5.500	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	13.113	9.557	6.300	4.578	0.000	35.773	0.300	0.811	3.702	0.000	0.000	30.922	0.000	0.000	0.980	0.679	0.000	0.454	3.894	0.000	21.357	0.000	28.999	6.443	3.551	6.783	0.000	0.000	1.064	21.058	0.000	0.000	33.392	14.800	0.000	0.955	0.000	0.000	0.000	0.000	0.000	0.000	1.235	0.000	0.000	1.479	0.000	17.292	0.000	0.000	0.063	1.543	6.600	1.500	40.329	0.000	4.548	0.000	0.000	15.310	5.901	1.456	1.520	13.987	0.000	0.000	0.000	0.272	0.000	0.000	0.000	0.000	9.835	6.281	3.346	15.500	7.901	0.000	0.000	1.911	19.122	0.000	0.000	4.700	0.091	3.191	31.054	0.000	0.117	3.100	9.842	0.000	16.800	19.336	0.000	5.125	27.058	0.556	0.000	0.000	0.381	0.000	0.820	0.000	4.045	11.836	17.552	0.000	1.429	0.139	0.000	0.400	0.000	0.000	7.410	35.200	12.800	30.256	0.000	0.000	0.000	0.000	9.140	1.624	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	8.638E-5	0.000	0.000	0.000	0.000	0.000	0.130
6	0.180	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.144	0.135	0.000	0.000	0.000	0.000	0.000	28.756	0.000	0.199	0.000	0.000	1.763	0.000	0.000	15.279	0.000	0.019	20.130	1.300	0.017	0.000	0.000	20.354	4.417	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	24.847	9.177	5.700	9.349	0.000	37.401	0.900	0.442	3.658	0.000	0.000	27.232	0.000	0.000	3.057	0.623	0.000	0.000	2.493	0.041	26.301	0.000	56.861	4.584	3.762	2.783	0.000	0.000	0.000	26.368	0.000	0.000	26.790	0.000	0.000	2.658	0.000	0.250	0.000	0.000	0.000	0.000	1.707	0.000	0.000	0.000	0.000	15.560	0.000	0.000	0.000	7.271	0.000	2.956	46.507	0.000	3.284	0.000	0.000	12.825	5.669	2.256	0.159	7.659	0.354	1.300	0.000	0.000	0.000	0.000	0.000	0.000	16.018	2.091	4.998	14.545	0.196	0.000	0.000	3.662	18.240	0.000	0.000	3.700	0.000	1.535	22.088	0.000	2.769	2.700	8.346	0.000	18.000	22.912	0.452	2.188	31.456	0.000	0.000	0.000	1.566	0.000	2.820	0.000	2.817	21.221	13.022	0.000	3.044	0.001	0.000	0.300	0.662	0.000	6.432	33.800	8.644	24.319	0.000	0.000	0.000	0.000	2.834	0.209	0.000	0.014	0.000	0.000	0.047	0.000	0.000	0.000	0.220	0.000	0.000	0.000	0.000	0.000	0.890
7	0.210	0.790	0.000	0.000	0.011	0.000	0.000	0.000	0.072	0.000	0.000	3.479	0.000	0.000	0.000	0.013	0.000	0.000	29.138	0.000	0.000	0.000	0.000	4.389	0.000	0.000	11.131	0.000	1.294	22.559	5.204	0.465	0.000	0.000	30.572	2.705	0.000	0.000	0.399	0.000	0.000	0.000	0.357	0.000	1.502	0.035	27.407	8.914	4.800	13.776	6.907	37.604	1.000	0.491	12.198	0.928	0.105	20.497	0.000	0.000	9.547	1.787	0.000	0.247	1.957	2.040	28.962	4.703	75.662	0.000	3.655	0.224	0.008	0.000	0.108	31.147	0.070	0.250	16.135	0.000	0.124	4.085	0.000	2.581	0.000	0.000	0.000	0.689	1.578	0.133	0.000	0.000	0.000	14.940	0.000	0.152	0.315	9.054	0.000	4.408	46.696	0.000	1.494	0.000	0.108	10.664	5.568	3.489	0.000	5.282	1.793	4.576	1.340	0.034	0.024	0.000	0.000	0.000	22.322	3.067	13.482	12.547	0.583	0.000	0.338	4.237	18.292	0.000	1.006	5.800	0.449	0.157	17.846	0.000	5.913	2.100	2.065	0.000	18.400	27.428	1.840	0.000	36.355	0.000	0.000	0.000	3.518	0.000	5.591	1.572	1.127	28.617	12.397	0.305	6.566	1.451	0.000	0.000	4.609	0.000	1.984	28.400	5.108	16.515	0.000	0.000	0.000	0.000	0.000	1.344	0.000	1.234	0.000	0.098	0.420	0.000	0.000	0.000	0.931	0.000	0.000	0.000	0.000	0.000	3.570
8	0.240	5.564	0.656	0.658	0.275	0.404	0.152	0.000	1.280	0.000	0.000	6.344	0.389	0.000	0.000	0.538	0.000	0.000	29.854	1.373	0.000	0.480	0.000	6.638	0.000	0.000	8.056	0.384	3.109	26.691	9.121	1.766	0.821	0.000	30.941	0.584	0.000	0.000	2.657	0.017	0.186	0.000	0.876	0.000	10.078	1.060	27.198	8.315	3.900	18.910	26.219	38.473	1.200	3.958	16.423	5.462	1.094	13.265	0.102	0.233	13.738	1.204	0.224	2.793	2.185	4.890	29.955	14.221	74.915	0.000	3.189	0.286	1.229	0.000	1.220	36.564	1.568	4.411	7.153	6.900	1.564	5.522	0.240	5.248	0.000	0.000	0.804	4.195	3.125	0.588	0.561	1.182	0.950	15.240	0.697	0.560	2.203	12.415	0.000	5.582	39.973	0.017	0.950	0.610	1.224	9.422	3.260	5.746	0.152	3.738	3.894	7.640	4.084	0.866	0.785	0.159	0.000	0.000	26.261	1.986	23.125	10.591	4.150	0.000	2.013	4.432	18.960	0.000	3.627	8.900	1.401	0.374	13.888	0.000	9.667	1.200	5.320	0.000	18.600	30.812	3.470	1.261	39.131	0.000	0.000	0.000	7.450	0.000	11.341	7.418	0.247	31.739	17.938	3.699	12.070	2.460	0.000	0.000	11.199	0.084	3.264	20.400	3.284	8.643	0.000	0.000	0.000	0.233	0.000	4.869	0.630	3.970	0.033	0.942	1.369	0.000	0.000	0.274	3.271	0.952	0.000	0.000	0.074	0.000	8.112
9	0.270	12.506	7.430	4.631	0.925	6.351	0.832	0.000	3.936	0.428	0.067	13.855	2.595	0.000	0.835	1.168	6.600	0.000	28.804	10.092	0.183	2.118	0.000	7.071	0.000	0.000	6.175	6.228	4.494	31.810	12.893	4.598	8.134	1.800	30.761	1.666	0.000	5.800	4.849	0.625	8.014	0.000	2.520	0.000	13.194	2.455	27.402	7.192	3.900	23.596	36.061	39.998	1.300	15.789	21.832	27.269	2.249	6.497	2.363	3.659	17.553	8.342	2.839	6.667	1.886	7.899	31.921	21.381	66.751	1.034	11.470	1.523	3.859	0.000	3.588	40.560	4.749	8.201	3.056	15.400	5.195	7.434	2.379	6.502	0.276	0.434	4.084	5.136	4.763	1.975	2.017	3.349	5.988	15.632	3.197	1.467	7.083	22.109	0.000	5.262	30.961	0.475	6.077	3.954	3.864	8.161	3.213	8.734	1.454	3.432	9.327	10.588	6.382	2.080	1.485	2.295	1.199	0.000	27.986	0.957	26.173	8.866	5.035	0.361	2.999	5.353	17.486	0.000	6.276	10.000	3.809	3.856	12.274	0.380	13.241	0.300	8.461	0.193	23.900	32.404	5.919	4.158	36.810	0.642	5.500	0.917	14.187	0.000	19.116	11.916	1.782	31.569	26.279	10.816	18.439	2.980	1.400	0.000	17.237	0.613	5.103	13.900	2.412	4.901	0.096	0.145	0.330	1.331	0.316	13.685	3.925	9.362	0.394	3.516	5.117	0.000	0.000	1.948	8.167	3.888	0.000	0.054	1.017	0.265	12.936
10	0.300	20.781	14.473	10.485	3.274	12.839	2.880	0.000	9.568	2.412	1.201	12.367	8.079	2.900	4.554	2.990	9.500	6.967	25.524	15.767	2.201	2.789	4.000	6.111	18.100	5.000	6.270	7.769	5.830	36.297	14.810	9.579	10.059	24.700	29.456	3.828	1.443	7.500	5.888	1.675	12.001	0.423	4.439	1.900	16.108	6.290	27.347	7.027	5.000	26.492	38.623	40.460	4.100	25.672	27.758	30.768	3.891	0.959	4.447	7.146	19.916	11.502	5.765	11.712	3.181	12.155	33.263	28.493	58.444	13.232	17.128	4.039	6.921	17.800	6.720	42.673	10.464	11.224	5.938	22.700	12.118	8.714	5.449	8.237	3.014	3.197	5.967	5.570	4.789	3.170	4.348	8.917	10.317	15.172	5.868	6.048	15.256	22.336	6.400	5.071	23.500	1.372	10.256	4.158	9.260	7.039	3.230	10.534	5.513	11.706	17.451	11.696	8.670	4.442	2.729	7.073	6.547	4.800	28.002	0.000	27.545	9.281	13.001	3.714	4.492	5.587	14.441	9.381	8.502	15.900	7.532	5.422	14.989	3.413	17.675	0.000	9.702	1.889	23.900	31.804	9.404	5.420	30.479	4.519	8.200	2.398	22.058	2.600	25.234	16.910	2.829	30.833	30.944	21.227	23.738	3.651	3.800	4.600	22.439	1.717	7.701	10.500	1.248	7.502	0.845	2.503	1.064	3.106	3.056	24.502	9.931	19.283	1.183	8.151	12.613	2.000	0.000	4.934	14.914	6.891	0.327	4.571	2.518	2.848	16.594
