 	x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	178	179	180	181	182	183	184
1	0.030	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	16.187	0.000	0.000	4.574	0.000	29.668	0.000	0.000	0.000	0.000	0.000	0.000	0.000	14.400	0.000	0.000	21.200	24.753	4.663	7.624	0.000	38.537	0.000	2.861	0.000	9.657	1.812	0.978	15.000	0.000	0.000	11.934	0.880	19.981	0.000	0.274	0.000	0.000	9.100	0.000	2.673	0.000	0.000	0.000	0.000	3.691	9.948	0.000	23.369	6.074	0.000	1.440	64.682	0.000	0.000	6.442	2.605	21.005	0.000	0.000	23.934	0.000	23.869	0.000	0.000	21.073	2.949	1.207	0.000	46.637	4.232	0.000	0.000	0.000	0.000	0.000	0.000	1.952	0.000	0.000	0.000	0.000	1.540	0.000	10.260	3.685	0.000	37.854	41.566	26.100	7.016	20.859	0.000	12.598	4.232	5.131	0.000	0.000	4.075	1.404	29.058	3.784	13.536	0.000	1.645	0.000	0.000	0.000	0.000	1.068	30.452	0.000	11.628	38.758	0.000	0.000	4.471	12.355	0.000	7.325	25.000	0.090	4.072	54.978	4.636	19.150	0.500	1.385	0.000	33.300	28.608	0.000	16.220	0.000	26.426	6.000	3.866	0.000	0.000	0.000	0.000	0.704	21.200	0.000	0.000	22.357	0.000	0.000	3.600	18.956	3.297	4.493	2.200	31.091	25.709	0.000	0.000	0.000	0.000	1.865	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
2	0.060	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	13.833	0.000	0.000	1.208	0.000	28.645	0.000	0.000	0.000	0.000	0.000	0.000	0.000	8.700	0.000	0.000	17.100	24.783	2.727	5.388	0.000	39.226	0.000	2.725	0.000	0.140	2.202	0.000	13.200	0.000	0.000	3.411	2.713	10.022	0.000	0.000	0.000	0.000	9.600	4.400	6.945	0.000	0.000	0.000	0.000	5.755	3.203	0.070	30.494	8.236	0.000	0.271	56.662	0.000	0.000	1.837	0.189	14.707	0.000	0.000	23.114	0.000	17.895	0.000	0.000	9.451	4.960	2.998	0.000	38.893	4.752	0.000	0.000	0.000	0.000	0.000	0.000	2.076	0.000	0.000	0.000	0.000	0.000	0.000	10.752	3.329	0.000	33.942	32.673	22.900	8.227	15.904	0.000	12.231	3.536	4.974	0.000	0.000	3.035	0.817	23.386	7.826	7.296	0.000	0.541	0.000	0.000	0.000	0.000	8.837	32.048	0.000	10.098	38.874	0.000	0.000	1.447	11.158	0.000	7.189	23.400	0.000	3.892	54.521	2.628	22.039	3.400	0.436	0.000	35.400	18.900	0.000	14.197	0.286	20.577	6.400	2.672	0.000	0.000	0.000	0.000	0.770	15.200	0.000	0.000	24.447	0.000	0.000	2.700	15.435	0.823	3.720	1.400	28.144	20.084	0.000	0.000	0.000	0.000	0.989	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
3	0.090	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	10.921	0.000	0.000	0.000	0.000	24.813	0.000	0.000	0.000	0.000	1.277	0.000	0.000	0.000	0.000	0.000	11.500	23.639	0.267	3.801	0.084	34.977	0.000	2.653	0.000	0.000	1.845	0.000	9.800	0.000	0.000	0.000	7.768	3.610	0.000	0.000	0.000	0.000	8.600	4.700	11.968	0.000	0.000	0.000	0.000	8.827	1.191	0.000	33.882	7.805	0.000	0.000	51.705	0.000	0.000	0.000	0.000	0.486	0.000	0.000	18.277	0.000	10.526	0.000	0.000	2.908	4.089	4.748	0.000	34.261	4.655	0.000	0.000	0.000	0.000	0.000	0.000	0.573	0.000	0.000	0.000	0.000	0.000	0.000	10.096	0.329	0.000	29.883	10.294	17.600	6.650	10.256	0.000	11.521	2.792	4.533	0.000	0.000	2.099	0.000	18.835	14.802	3.120	0.000	0.000	0.000	0.000	0.000	0.000	12.996	32.915	0.000	8.615	36.611	0.000	0.000	0.169	7.322	0.000	5.100	18.800	0.000	4.136	50.434	0.897	20.973	3.100	0.000	0.000	37.000	10.764	0.046	12.865	2.608	13.962	7.200	0.810	0.000	0.000	0.000	0.000	0.359	9.700	0.000	0.818	26.917	0.000	0.000	2.300	6.779	0.092	2.918	0.000	20.129	12.768	0.000	0.000	0.000	0.000	0.484	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
4	0.120	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	6.707	0.000	0.000	0.000	0.000	17.490	0.000	0.000	0.000	0.000	7.531	0.000	0.000	0.000	0.168	0.000	7.600	19.506	0.000	2.295	2.442	26.549	0.000	2.544	0.000	0.000	0.286	0.000	6.500	0.178	0.000	0.000	12.397	0.209	0.000	0.000	0.000	0.000	7.700	5.200	18.557	0.000	0.000	0.000	0.000	12.245	0.586	0.000	35.595	5.129	0.480	0.000	46.471	0.000	0.000	0.000	0.000	0.000	0.000	0.000	13.058	0.000	4.551	0.718	0.000	0.520	3.593	4.579	0.000	33.461	4.061	0.000	0.000	0.294	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	7.556	0.000	0.000	25.826	0.000	12.500	4.190	5.997	0.000	10.359	0.849	2.090	3.316	0.193	0.000	0.000	15.947	22.082	0.000	0.000	0.000	0.000	0.000	0.000	0.000	18.001	33.536	0.000	7.347	30.308	0.000	0.000	0.000	5.556	0.000	2.970	11.900	1.084	4.319	42.638	0.061	20.312	3.900	0.000	0.000	38.400	5.104	3.288	11.344	6.526	9.452	5.500	0.000	0.000	0.000	0.000	0.000	0.000	7.100	0.000	3.011	24.239	0.138	0.000	2.400	1.398	0.000	1.996	0.600	10.748	6.700	0.000	0.000	0.895	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
5	0.150	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.883	0.000	0.000	0.061	0.000	9.795	0.000	0.000	0.000	0.000	17.214	0.000	0.000	0.000	0.875	0.000	0.000	13.797	0.000	0.108	6.236	18.107	1.075	1.569	0.000	0.609	0.000	0.000	3.600	2.895	0.000	0.000	19.547	0.000	0.000	0.000	0.000	0.000	6.100	5.400	26.424	0.000	1.256	0.000	0.000	14.842	2.776	0.000	35.800	2.247	5.819	5.443	17.301	0.000	0.000	0.002	0.000	1.300	0.000	0.000	8.821	0.000	1.604	2.494	0.000	0.000	3.723	3.025	0.000	31.953	3.193	0.128	0.000	5.994	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	5.356	0.000	0.000	22.380	0.000	8.500	1.879	0.851	0.000	9.681	0.000	2.985	12.899	3.010	0.000	0.000	8.104	27.032	0.044	0.000	0.000	0.000	0.000	0.000	0.000	23.188	33.709	0.000	5.080	22.412	0.000	0.000	0.000	1.927	0.000	1.375	9.200	4.854	4.424	33.305	0.000	22.977	3.100	0.000	0.000	40.200	0.900	7.781	9.796	13.514	6.670	0.000	0.000	0.239	0.000	0.000	0.000	0.000	7.600	0.000	8.400	15.495	2.389	0.000	1.300	0.394	0.000	0.802	3.900	4.402	2.960	0.000	0.000	3.359	0.000	0.000	0.102	0.770	0.000	0.000	0.042	0.035	0.000	0.000	0.000	0.000	0.000	0.000	1.257	0.000	0.000	0.593
6	0.180	0.004	0.000	0.002	0.000	0.000	0.000	0.000	0.008	0.623	0.000	0.000	2.512	0.000	6.297	0.000	0.000	0.000	0.000	31.121	0.000	0.000	0.000	2.567	0.000	0.000	8.757	0.000	0.000	10.138	13.372	3.723	0.000	0.000	5.160	0.459	1.404	0.000	6.886	0.000	0.000	27.540	0.000	0.000	0.000	0.000	0.000	9.500	4.800	32.774	0.000	17.523	0.300	0.000	16.981	27.832	0.000	31.927	0.357	14.437	14.516	0.000	0.000	0.000	1.379	0.000	11.161	0.000	5.178	0.729	0.000	0.432	3.973	0.000	0.000	7.839	0.650	0.000	25.272	0.000	4.574	0.535	9.658	0.143	0.000	0.000	0.000	0.000	0.250	0.000	0.000	0.000	0.000	3.964	0.000	0.000	18.943	0.000	0.000	0.358	0.000	0.000	8.134	0.000	8.035	18.759	4.093	0.000	0.000	5.154	29.689	4.752	0.331	0.000	0.000	0.000	0.000	0.000	26.300	31.082	0.727	3.225	9.641	0.000	0.968	0.000	1.426	0.000	0.000	4.300	9.889	3.681	26.834	0.000	21.095	4.500	0.000	0.000	41.500	0.000	15.837	7.700	23.497	3.688	0.000	0.000	6.512	0.000	0.000	0.133	0.000	9.100	0.793	14.892	7.135	5.001	0.000	1.000	0.193	0.000	0.000	11.500	1.542	0.126	0.000	0.326	5.543	0.023	0.000	1.733	4.683	0.079	0.000	2.194	1.128	0.000	0.000	0.507	0.199	0.575	0.000	5.266	0.000	0.000	9.188
7	0.210	2.662	0.213	1.795	0.000	0.418	0.010	0.006	0.660	0.070	0.000	2.515	6.319	0.000	7.823	0.000	0.000	0.000	0.000	41.714	0.000	0.149	0.000	4.007	0.000	0.000	5.300	0.226	0.387	17.833	12.346	9.224	0.495	0.000	9.027	3.294	6.720	0.000	10.840	0.000	0.000	30.599	0.655	0.000	1.003	0.000	0.000	9.500	4.100	34.284	0.000	26.050	0.300	0.000	15.274	30.706	0.881	22.819	0.000	25.043	19.336	1.242	0.000	0.674	6.895	0.000	23.127	0.594	55.090	0.000	0.000	0.000	8.736	0.000	0.277	7.347	0.000	0.263	14.690	0.196	13.644	3.594	12.785	1.744	0.000	0.000	0.629	2.757	0.198	1.026	0.000	7.544	1.440	2.676	0.000	0.000	15.811	0.300	0.000	0.414	0.576	0.000	5.533	0.000	15.166	19.868	5.195	0.000	0.000	3.402	31.361	11.680	4.728	0.000	0.000	0.000	0.000	0.000	27.089	26.104	5.605	2.428	0.403	0.000	2.478	0.000	7.669	0.000	0.000	1.200	19.485	2.918	21.993	0.000	17.988	5.100	0.130	0.000	40.600	0.000	28.896	2.442	32.099	1.033	0.000	0.000	16.692	0.000	0.000	2.335	0.324	10.200	9.513	22.585	2.877	5.875	0.000	0.300	7.535	0.037	2.291	19.100	0.033	0.000	0.000	2.640	9.384	2.773	0.000	5.902	13.919	1.953	0.000	6.845	4.674	0.000	0.000	2.626	3.245	5.133	0.000	9.067	0.000	0.000	20.289
8	0.240	9.524	5.777	6.459	0.036	5.160	0.609	1.618	3.456	1.326	0.062	6.938	11.019	0.000	14.066	0.108	0.000	0.000	0.000	41.721	0.356	2.086	0.000	5.857	0.000	0.000	3.007	2.671	3.369	26.403	20.591	19.495	5.007	0.000	16.807	6.248	12.840	0.000	15.077	0.266	0.343	29.804	3.816	0.000	12.660	0.181	2.123	9.800	3.100	31.915	15.604	29.738	0.400	0.518	21.789	34.107	5.222	12.408	0.000	34.088	25.783	18.226	0.597	6.613	13.010	1.168	30.348	15.494	58.546	1.121	0.317	0.636	10.481	0.000	2.174	10.474	1.301	7.371	3.688	14.884	27.168	6.747	16.603	3.979	0.000	0.625	2.823	6.071	1.291	4.957	0.805	14.335	7.444	1.680	3.599	0.315	12.554	10.599	0.000	1.697	5.601	0.000	6.357	0.877	24.622	21.154	6.000	2.748	0.655	2.953	33.790	12.592	6.391	0.807	0.145	1.697	0.000	0.000	26.883	19.896	10.074	5.704	0.000	0.225	3.571	2.840	15.189	0.000	4.262	3.900	28.234	1.126	21.317	0.073	24.911	6.100	6.260	0.262	39.500	0.000	39.094	0.131	35.824	0.000	0.000	0.370	30.560	0.000	0.218	6.662	3.421	13.000	20.633	30.051	0.703	6.248	0.000	0.000	15.732	1.079	5.960	28.700	0.213	3.962	0.000	8.032	13.477	7.639	0.100	13.876	28.267	6.229	0.000	13.730	11.993	0.000	0.000	5.840	8.968	9.935	0.000	15.033	0.331	0.133	31.935
9	0.270	20.110	13.023	13.114	0.381	9.744	2.140	6.127	8.792	3.776	0.790	13.687	16.696	0.000	23.235	1.107	6.100	8.589	0.000	35.765	3.477	4.013	0.000	7.852	0.000	0.000	2.748	4.458	7.208	32.545	29.680	31.115	6.892	0.000	38.571	7.474	19.973	5.500	19.391	1.115	10.669	28.680	5.558	0.000	17.634	1.659	13.042	10.100	3.100	29.903	42.633	35.492	0.400	17.215	25.368	38.082	7.729	6.128	1.337	39.228	32.384	33.849	6.723	15.811	19.393	4.665	38.553	24.458	60.837	13.641	11.579	2.634	13.480	0.000	4.554	13.230	5.103	12.416	2.823	22.763	42.871	11.084	20.444	5.700	0.066	4.279	8.825	6.003	3.275	9.402	3.944	16.985	11.752	0.560	7.651	3.388	10.308	20.096	0.000	3.563	10.888	0.209	6.511	5.652	32.491	23.137	7.612	9.258	3.385	10.822	36.337	13.404	7.851	2.841	1.278	6.626	0.000	0.000	26.716	14.380	17.087	10.698	2.335	2.666	5.028	5.340	17.026	3.435	9.050	4.400	30.916	4.338	23.543	2.202	27.522	6.600	12.432	2.324	39.900	0.000	40.558	2.997	34.608	0.287	7.100	4.093	39.897	0.000	2.515	11.826	4.537	16.500	29.840	33.522	3.486E-4	6.911	2.000	0.000	26.190	2.080	7.901	35.300	1.346	11.007	0.097	15.026	19.192	12.870	2.008	26.054	37.596	15.991	0.361	22.686	24.480	0.000	0.000	10.462	18.762	18.686	0.196	20.920	1.640	2.054	42.608
10	0.300	33.046	26.349	21.160	1.420	17.714	5.867	7.387	16.088	7.386	2.238	23.670	21.693	2.700	29.094	2.479	11.600	14.343	0.000	31.023	6.156	5.977	4.700	9.638	30.200	5.000	6.712	4.317	9.701	35.309	36.188	37.212	9.438	22.700	40.590	9.404	26.602	7.900	22.582	3.463	15.083	29.052	6.579	1.800	21.416	3.597	20.319	10.700	4.500	30.900	54.491	41.004	3.900	23.968	30.237	41.239	10.361	7.981	5.297	41.456	36.056	38.453	9.640	17.954	23.250	7.897	45.724	33.799	64.206	14.281	15.032	5.834	17.193	17.600	6.285	21.079	11.875	18.582	9.578	34.414	53.474	16.875	22.798	6.864	2.912	5.025	16.357	6.000	4.226	14.743	6.601	19.261	12.571	0.000	7.340	7.177	13.176	22.625	6.700	4.622	18.929	1.053	9.015	6.502	35.154	24.724	9.260	14.241	5.990	18.522	36.358	13.360	10.216	5.261	2.471	11.743	5.333	6.200	26.020	9.420	23.960	17.239	16.730	6.593	6.609	6.499	21.573	28.889	10.742	17.100	28.098	7.431	24.725	5.388	30.847	6.300	14.646	5.475	43.100	0.000	34.654	5.894	31.543	4.059	12.500	7.019	38.284	3.000	5.199	18.152	7.015	19.500	40.057	33.226	0.000	7.970	5.200	4.500	36.759	3.960	11.507	36.600	3.991	17.995	1.073	23.500	27.874	19.109	4.055	34.592	37.547	30.625	2.097	29.352	35.494	2.000	0.000	16.067	28.323	30.462	2.490	25.419	5.589	5.007	48.009
