 	x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	178	179	180	181	182	183	184
1	0.030	0.000	0.000	0.000	0.000	0	0.000	0.000	0.000	26.672	0.000	0.000	0.000	0.000	26.168	0.000	0.000	0.000	2.410	0.000	0.000	0.000	11.800	0.000	0.000	17.600	15.503	0.000	0.000	0.000	1.144	0.000	8.599	1.600	0.000	34.491	0.000	5.400	0.000	0.000	36.151	0.000	8.788	0.000	0.000	0.000	15.085	0.000	0.000	3.519	0.000	6.070	0.000	0.000	1.618	23.642	7.572	20.197	11.815	0.000	11.082	34.267	0.549	0.000	0.000	0.000	13.362	0.000	0.000	1.353	9.722	1.650	7.507	0.000	0.000	0.000	2.961	0.000	46.668	11.218	6.298	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	11.572	0.000	18.732	0.000	0.000	3.828	43.242	27.500	12.838	0.000	0.000	11.971	15.260	0.000	0.000	4.855	0.000	0.000	23.097	50.481	3.886E-5	0.000	0.000	0.000	0.000	0.000	0.000	25.696	0.000	0.000	32.309	34.193	0.000	0.000	10.103	7.945	0.000	11.501	39.400	0.000	3.543	26.517	14.286	13.262	15.700	0.000	0.000	2.700	30.455	0.000	17.382	0.000	26.005	7.000	1.322	0.000	0.000	2.638	0.000	0.107	23.415	0.000	0.000	16.418	0.000	0.000	10.800	57.347	0.000	0.114	40.700	0.000	30.643	0.000	0.000	0.000	0.000	0.000	0.000	2.828	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
2	0.060	0.000	0.000	0.000	0.000	0	0.000	0.000	0.000	27.544	0.000	0.000	0.000	0.000	23.906	0.000	0.000	0.000	5.841	0.000	0.000	0.000	7.500	0.000	0.000	15.500	13.205	0.000	0.000	0.000	0.416	0.000	7.277	1.400	0.000	32.296	0.000	4.700	0.000	0.000	28.194	0.000	2.611	0.000	0.274	0.000	11.298	0.000	2.800	4.856	0.000	10.804	0.000	0.000	3.461	25.684	7.893	27.404	11.766	0.000	9.956	34.716	0.000	0.000	0.000	0.000	14.142	0.000	19.350	1.506	0.932	0.878	4.530	0.000	0.000	0.000	5.274	0.000	38.558	12.702	5.854	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	11.314	0.000	17.652	0.000	0.000	2.928	38.945	23.800	12.807	0.000	0.000	10.834	14.622	0.000	0.929	5.212	0.000	0.000	22.369	49.671	0.000	1.002	0.000	0.000	0.000	0.000	0.000	22.650	0.000	0.000	31.523	34.900	0.000	0.000	8.225	2.975	0.000	11.229	36.700	0.000	4.128	24.037	7.497	14.611	7.900	0.000	0.000	0.000	36.877	0.000	16.014	0.000	29.758	7.600	1.980E-5	0.000	0.000	0.535	0.000	0.000	27.329	0.000	0.000	9.898	0.000	0.000	8.700	51.203	0.000	0.000	36.900	0.000	34.676	0.000	0.000	0.000	0.000	0.000	0.000	6.007	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
3	0.090	0.000	0.000	0.000	0.000	0	0.000	0.000	0.000	25.164	0.000	0.000	0.000	0.000	18.687	0.000	0.000	0.000	10.746	0.000	0.000	0.000	0.000	0.000	0.000	11.300	9.784	0.000	0.000	0.000	0.000	0.000	5.197	1.400	0.000	24.824	0.000	3.900	0.000	0.000	5.337	0.000	0.000	0.000	1.262	0.000	8.075	0.000	2.900	5.187	0.000	17.910	0.000	0.000	2.647	27.563	7.716	30.481	10.023	0.000	8.512	35.508	0.000	0.000	0.000	0.000	13.256	0.000	38.400	1.394	0.000	0.194	0.521	0.000	0.000	0.000	7.526	0.000	34.202	13.618	5.279	0.000	0.000	0.000	0.000	0.000	0.043	0.000	0.000	0.000	0.000	11.052	0.000	16.276	0.000	0.000	2.370	32.984	18.600	10.776	0.000	0.000	11.154	11.683	0.000	3.825	4.421	0.000	0.000	23.771	51.683	0.200	2.575	0.000	0.000	0.000	0.000	0.000	20.029	0.000	0.000	30.988	34.489	0.000	0.000	4.477	0.063	0.000	9.729	30.500	0.000	4.684	20.449	3.213	14.532	6.400	0.000	0.000	0.000	42.385	0.000	14.737	0.635	29.432	9.100	0.000	0.000	0.000	2.176	0.000	0.000	30.065	0.000	0.000	5.660	0.000	0.000	6.800	42.681	0.000	0.000	34.400	0.000	37.974	0.000	0.000	0.000	0.000	0.000	0.000	10.749	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
4	0.120	0.000	0.000	0.000	0.000	0	0.000	0.000	0.000	19.588	0.000	0.000	0.000	0.000	11.183	0.000	0.000	0.000	16.126	0.000	0.000	0.000	0.000	0.000	0.000	8.100	5.856	0.000	0.000	0.021	0.000	0.000	3.924	1.300	0.000	16.002	0.000	2.900	0.000	0.000	0.000	0.000	0.000	0.000	2.833	0.000	4.398	0.000	2.800	5.303	0.000	24.925	0.000	0.000	1.799	28.453	6.766	30.535	6.418	0.000	7.159	35.912	0.000	0.000	0.000	0.000	13.326	0.000	54.716	1.118	0.000	0.000	0.000	0.000	0.000	0.000	7.686	0.000	33.628	14.539	3.381	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	6.309	0.000	14.620	0.000	0.000	1.591	20.014	13.200	7.263	0.000	0.000	9.944	8.496	0.000	5.692	3.402	0.000	0.000	25.953	54.854	2.400	3.947	0.000	0.000	0.000	0.000	0.000	17.280	0.000	0.000	29.449	30.269	0.000	0.000	1.162	0.000	0.000	8.536	22.900	0.000	4.603	16.448	0.867	9.250	0.000	0.000	0.000	0.000	45.764	0.000	13.261	4.392	25.147	9.000	0.000	0.000	0.000	5.015	0.000	0.000	29.106	0.000	0.000	2.616	0.000	0.000	6.100	35.850	0.000	0.000	10.800	0.000	35.948	0.000	0.000	0.000	0.000	0.000	0.000	17.061	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.013	0.000	0.000	0.000
5	0.150	0.000	0.000	0.000	0.000	0	0.000	0.000	0.000	12.712	0.000	0.000	0.000	0.000	5.444	0.000	0.000	0.000	20.738	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.770	0.000	0.000	3.091	0.000	0.000	1.905	1.000	0.000	10.639	0.000	1.500	0.000	0.000	0.000	0.000	0.277	0.000	2.800	0.000	2.880	5.100	2.700	5.500	0.000	29.419	0.000	0.000	0.689	28.807	5.220	28.801	3.529	0.000	4.381	34.803	0.000	0.000	0.000	0.000	12.264	0.000	56.138	1.006	0.000	0.000	0.195	0.000	0.000	0.000	6.815	0.000	33.159	0.799	2.046	2.188	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	13.632	0.000	0.000	0.710	15.461	9.200	4.463	1.486	0.000	9.366	5.171	0.000	7.313	3.012	0.000	0.000	26.274	56.944	4.152	5.340	0.000	0.000	0.000	0.000	0.000	14.648	0.000	0.000	26.827	24.416	0.000	0.000	0.000	0.000	0.000	7.777	16.700	0.000	3.952	13.443	0.004	7.990	0.000	0.000	0.000	0.000	47.441	1.026	11.921	9.215	19.617	0.000	0.000	0.000	0.000	10.588	0.000	0.000	27.279	0.000	0.000	0.230	0.000	0.000	4.100	32.833	0.000	0.000	18.200	0.000	27.634	0.000	0.000	0.000	0.000	0.000	0.280	22.948	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.225	0.000	0.000	0.000
6	0.180	0.000	0.000	0.000	0.000	0	0.000	0.000	0.000	7.248	0.000	0.000	0.000	0.000	1.305	0.000	0.000	0.000	23.324	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.840	0.000	0.000	6.912	0.000	0.000	0.958	0.900	0.397	7.341	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3.481	0.000	8.076	7.100	2.400	5.036	0.000	31.696	0.000	0.000	0.000	27.765	3.315	24.912	1.509	0.094	0.089	33.078	0.000	0.951	0.000	0.000	10.004	0.000	54.615	0.230	0.000	0.000	1.862	0.000	0.368	0.000	4.661	0.000	28.433	0.000	1.141	6.147	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.062	13.144	0.000	0.000	0.000	12.369	0.000	2.246	6.609	0.000	8.775	1.932	0.000	9.254	2.856	1.205	0.000	23.151	56.631	5.752	7.530	0.000	0.000	0.000	0.000	0.000	19.023	0.000	0.000	21.357	18.783	0.000	0.000	0.000	0.000	0.000	2.380	10.700	0.431	2.738	10.012	0.000	6.987	0.000	0.000	0.000	0.900	48.262	2.269	10.264	14.757	14.781	0.000	0.302	0.175	0.000	20.468	0.000	0.000	26.016	0.361	0.000	0.000	0.215	0.000	3.100	28.922	0.000	0.000	27.200	0.000	16.963	0.000	0.000	0.000	0.311	0.000	0.830	24.617	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.646	0.000	0.000	0.000
7	0.210	0.000	0.168	0.149	0.000	0	0.000	0.000	0.000	3.380	0.000	0.000	0.139	0.000	0.000	0.022	0.000	0.000	25.700	0.250	0.000	0.000	0.000	0.159	0.000	0.000	0.044	0.003	0.241	11.823	0.000	0.000	1.136	0.000	12.248	4.999	0.000	0.000	0.000	0.000	0.000	0.000	0.863	0.000	9.277	0.022	13.368	9.000	2.100	3.984	0.000	31.837	0.000	0.000	0.799	25.125	1.412	15.579	0.016	2.364	0.250	30.936	0.000	4.615	0.000	0.000	13.713	0.000	55.353	0.000	0.000	0.000	7.352	0.000	1.505	0.000	2.174	0.809	18.814	0.241	0.000	9.690	0.000	0.000	0.000	0.000	0.000	0.225	0.070	0.000	0.057	0.000	4.252	13.552	0.000	0.000	0.780	9.914	0.000	0.778	11.599	0.000	3.656	0.000	0.000	13.574	2.686	9.223	0.000	18.652	55.166	5.732	9.356	0.000	0.022	0.000	0.000	0.000	24.124	0.000	0.297	14.945	4.484	0.000	0.018	0.000	0.332	0.000	0.000	0.000	1.653	0.308	4.582	0.000	10.470	0.000	0.000	0.000	8.300	49.373	4.264	8.141	19.456	9.874	0.000	0.148	1.637	0.000	29.172	0.000	0.000	25.772	4.636	0.000	0.000	2.508	0.000	1.900	31.519	0.000	0.000	41.800	0.000	7.855	0.000	0.000	0.000	1.180	0.000	2.318	24.884	0.000	0.000	0.079	0.143	0.000	0.000	0.380	0.000	0.000	0.000	0.730	0.000	0.000	0.000
8	0.240	0.549	0.625	0.704	0.002	0	0.100	0.046	0.000	0.612	0.022	0.410	0.723	0.000	0.042	0.513	0.000	0.000	26.954	0.894	0.171	0.000	0.000	0.770	0.000	0.000	1.030	2.229	4.375	19.274	0.391	0.303	2.625	0.000	23.504	1.590	0.000	0.000	0.000	0.021	0.000	0.000	2.020	0.000	10.916	0.480	17.060	9.500	1.500	3.257	0.000	31.099	0.000	0.000	11.613	21.649	1.960	4.827	1.457	6.896	1.527	29.400	0.398	8.177	0.000	0.724	18.159	0.529	57.527	0.350	0.421	0.000	9.626	0.000	2.170	0.383	1.174	2.271	4.441	7.952	0.168	14.033	0.800	0.000	0.000	0.027	0.962	3.743	1.067	0.112	1.417	0.000	8.872	14.864	1.276	1.165	3.400	9.315	0.000	0.993	20.549	0.038	0.380	0.000	0.000	15.340	2.451	16.673	1.250	14.421	54.745	6.072	9.793	0.072	0.477	0.986	0.000	0.000	29.616	0.000	4.457	9.803	0.000	0.408	0.837	1.377	2.074	0.000	0.314	0.000	2.904	0.272	7.151	0.085	14.863	0.000	0.206	0.002	16.300	51.173	8.495	3.701	22.221	5.216	0.000	2.105	2.868	0.000	30.820	2.089	0.000	26.018	12.323	0.108	0.000	4.530	0.000	1.000	32.468	0.080	0.321	51.000	0.150	2.993	0.000	0.116	0.078	1.660	0.121	6.443	24.949	1.063	0.000	1.145	1.086	0.000	0.000	1.059	0.000	1.530	0.000	1.377	0.486	0.000	0.000
9	0.270	1.829	1.473	2.054	0.355	0	0.780	0.328	0.282	0.892	0.647	2.608	2.189	0.000	0.717	1.391	5.000	1.244	27.952	1.677	1.494	0.983	0.000	1.848	0.000	0.000	3.436	5.196	13.606	25.999	6.033	1.953	4.238	0.000	41.169	5.475	5.819	4.000	0.077	0.529	0.404	0.000	2.982	0.000	18.834	1.278	19.642	9.600	1.500	2.554	0.000	32.579	0.000	0.346	21.748	19.160	3.939	3.744	6.010	15.626	2.589	27.012	3.969	13.025	0.067	2.260	24.461	9.514	59.414	8.975	8.447	0.391	9.697	0.000	3.194	8.266	3.324	5.202	0.470	17.319	1.536	18.102	2.396	1.468	0.000	2.654	7.058	5.605	1.787	4.718	2.801	0.038	10.251	17.432	2.043	3.337	6.406	16.566	0.000	2.281	30.685	0.439	5.250	1.225	0.370	17.257	3.278	21.053	3.186	12.914	55.589	7.816	9.728	0.754	1.131	12.581	0.000	0.000	32.280	0.953	8.095	7.899	0.233	3.632	2.953	3.476	5.438	4.500	5.399	0.000	4.767	5.869	9.109	1.402	18.775	6.900	4.238	0.881	28.600	51.695	13.400	1.011	22.671	3.858	7.500	3.612	5.051	0.000	27.766	6.165	0.953	26.366	21.501	1.845	0.000	4.855	1.400	0.400	32.136	0.537	1.476	60.800	1.572	1.982	0.576	4.428	1.403	5.191	0.908	12.416	25.698	5.570	0.134	3.178	4.395	0.000	0.000	2.795	1.039	5.658	0.619	2.032	2.105	0.430	0.310
10	0.300	4.973	2.330	5.411	1.522	0	2.564	0.820	2.072	2.596	1.357	5.689	4.409	1.700	2.639	3.222	8.700	6.507	28.148	2.761	2.611	2.797	3.200	3.456	15.900	3.500	8.614	5.717	18.712	29.443	10.927	5.375	5.002	15.700	51.386	8.026	12.781	5.300	2.250	1.732	12.180	0.000	3.552	1.200	21.841	3.794	22.637	10.400	2.500	1.849	8.683	38.580	2.600	11.121	23.907	18.840	5.982	7.770	7.867	27.240	7.674	24.736	6.349	19.522	2.037	6.796	29.518	15.226	60.736	9.981	15.556	1.757	10.296	12.200	3.818	14.754	7.637	9.418	3.126	24.602	6.390	20.570	3.672	3.563	0.263	4.053	13.361	6.272	2.562	7.742	5.650	8.212	11.087	18.804	7.418	5.852	9.926	17.917	5.000	3.510	35.854	1.210	10.316	3.772	1.579	19.227	3.544	26.086	5.601	13.457	56.323	9.760	10.056	1.968	2.479	20.242	2.367	5.700	31.830	5.090	10.494	8.246	8.467	6.540	6.385	6.693	7.864	13.229	7.713	15.900	7.565	8.668	11.289	3.096	20.162	7.600	9.606	2.965	39.100	50.508	15.948	2.601	20.563	6.131	12.200	5.317	7.578	1.900	23.984	14.726	3.513	25.893	30.363	5.804	0.000	5.597	3.400	3.300	32.095	1.366	3.393	65.400	4.333	6.446	1.275	8.619	6.719	10.537	2.783	17.432	28.523	12.807	1.085	6.872	11.019	1.400	0.000	5.445	4.123	13.127	1.666	3.449	5.391	1.549	6.848
