 	x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31
1	0.030	0.000	0	0.000	0.000	0.000	0.000	15.850	0.000	0.000	21.683	0.000	0.000	0.000	0.000	0.931	0.292	0.000	0.000	0.000	7.300	0.000	0.000	10.517	0.000	11.549	9.371	0.000	0.000	21.082	43.201	10.481
2	0.060	0.000	0	0.000	0.000	0.000	0.000	19.299	0.000	0.000	20.121	0.000	0.000	0.000	2.397	3.469	0.000	0.000	0.000	0.086	4.800	0.000	0.000	22.119	0.000	13.373	8.511	0.000	0.000	18.347	35.984	10.085
3	0.090	0.000	0	0.000	0.000	0.000	0.000	22.707	0.000	0.000	17.864	0.000	0.000	0.000	3.373	7.196	0.000	0.000	0.000	6.719	0.500	0.000	0.000	28.703	0.000	12.932	6.571	0.000	0.000	16.053	26.642	9.268
4	0.120	0.893	0	0.000	0.000	0.000	0.000	25.740	0.000	0.000	16.100	0.000	0.000	0.158	2.762	11.324	0.000	0.000	0.000	16.611	0.000	0.000	0.000	33.807	0.000	10.539	4.669	0.000	0.000	14.177	16.091	8.554
5	0.150	3.562	0	0.000	0.000	0.000	0.000	26.570	0.000	0.000	15.560	0.000	0.000	4.521	1.741	16.173	0.000	0.000	0.000	23.937	0.000	0.000	0.000	40.442	0.000	7.399	2.722	0.000	0.000	12.425	6.191	7.093
6	0.180	6.719	0	0.000	0.000	0.000	0.000	24.796	0.000	0.000	15.012	0.000	0.004	9.937	1.036	20.932	0.000	0.000	0.000	30.758	0.000	0.000	0.000	44.607	0.000	4.694	0.104	0.000	0.000	4.521	0.590	0.979
7	0.210	11.062	0	0.000	0.000	0.000	0.000	21.439	0.000	0.000	14.362	0.000	0.826	12.566	3.818	23.176	0.000	0.000	0.000	39.596	0.000	0.655	0.000	40.691	0.000	3.046	0.000	0.000	0.000	0.000	0.358	0.098
8	0.240	14.534	0	0.000	0.000	0.058	0.122	18.461	0.000	0.000	15.679	0.000	2.306	16.850	11.089	21.097	0.000	0.005	0.000	46.302	0.000	3.206	0.000	29.659	0.040	0.581	0.000	2.920	0.000	2.353	4.114	2.098
9	0.271	16.569	0	0.283	0.000	0.634	0.720	14.562	0.265	3.495	17.833	0.469	4.107	21.475	16.935	14.995	1.431	1.306	0.764	48.356	0.000	7.333	0.122	18.768	0.329	0.179	0.412	19.252	0.000	11.658	11.226	5.520
10	0.301	17.542	0	1.914	0.000	2.389	2.517	10.534	4.530	12.594	18.426	3.742	6.399	23.527	23.244	8.340	3.778	4.048	4.981	45.563	7.600	12.742	0.584	14.496	2.327	1.783	9.491	25.014	0.196	14.562	17.766	10.779
11	0.331	16.932	0	4.524	0.049	6.691	7.200	8.225	6.501	22.243	19.656	7.493	7.911	23.769	28.335	3.973	6.913	10.374	8.508	39.834	13.100	18.259	1.649	17.239	3.227	5.459	14.433	30.991	1.637	20.280	22.304	18.538
12	0.361	12.498	0	9.276	0.754	13.324	12.578	9.012	8.491	31.060	21.417	11.714	8.449	23.640	31.086	1.615	10.075	17.686	13.173	33.437	19.600	20.853	4.229	24.319	3.816	10.119	19.750	36.999	3.741	17.851	19.654	24.520
13	0.391	6.424	0	15.010	1.715	19.454	15.754	12.983	10.526	33.845	22.784	13.899	8.167	23.540	33.109	0.192	11.044	16.660	19.391	26.919	23.300	20.694	7.502	31.089	4.321	11.420	22.295	40.615	7.495	17.136	19.101	28.006
14	0.421	2.596	0	17.060	8.387	19.802	14.410	15.473	11.149	29.198	19.153	11.743	7.681	23.398	34.961	0.000	9.584	6.718	23.427	20.586	23.700	19.819	10.291	34.532	5.734	8.235	22.080	42.244	10.042	14.192	13.476	25.483
15	0.451	0.610	0	13.766	14.673	13.835	10.912	17.292	11.934	19.649	11.419	6.800	6.784	23.613	37.523	0.000	6.259	4.863	22.186	15.567	22.100	19.976	11.200	35.020	7.751	4.659	19.142	44.027	9.144	11.053	11.158	17.911
