 	x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31
1	0.030	0.000	0.000	0.000	0.000	0.000	0.000	1.081E-4	0.000	0.000	0.000	0.000	0.000	0.000	42.460	31.344	0.000	0.000	0.000	0.000	4.888	0.000	0.000	24.734	0.000	12.035	11.983	18.315	0.000	6.856	11.142	10.304
2	0.060	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	44.175	23.035	0.000	0.000	0.000	0.000	2.527	0.000	0.000	21.280	0.000	13.981	9.186	15.569	0.000	7.811	3.571	9.460
3	0.090	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	40.402	14.783	0.000	0.000	0.000	0.000	1.739	0.000	0.000	15.273	0.000	13.833	6.488	14.366	0.000	7.741	2.103	7.762
4	0.120	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	32.649	8.001	0.000	0.000	0.000	0.000	0.084	0.000	0.000	2.623	0.000	11.751	1.430	16.223	0.000	5.736	0.000	5.422
5	0.150	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.106	0.000	0.000	0.000	0.000	23.624	2.404	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.498	0.053	8.817	0.000	20.409	0.000	1.279	0.000	3.686
6	0.180	0.000	0.000	0.000	0.000	0.000	0.000	0.282	0.000	3.148	0.000	0.000	0.001	2.919	13.835	0.196	0.000	0.000	0.000	0.894	0.279	0.647	0.000	3.824	2.264	5.873	0.120	25.321	0.000	0.000	0.759	0.521
7	0.210	0.000	0.000	0.000	0.000	0.011	0.000	3.282	0.000	7.830	0.038	0.099	0.688	19.955	4.395	1.752	0.000	0.000	0.649	3.319	9.771	6.560	0.000	6.485	4.585	3.840	2.730	29.342	0.000	0.190	3.235	0.000
8	0.240	0.000	0.000	0.000	0.057	0.768	0.019	7.083	0.098	14.550	0.935	2.580	2.797	22.765	0.067	3.863	0.120	0.000	4.715	9.466	15.213	16.760	0.275	16.110	7.287	2.494	8.415	32.776	0.056	6.285	7.077	1.742
9	0.271	0.000	0.563	0.308	1.110	3.149	1.452	14.573	3.082	22.565	4.288	5.741	5.684	25.821	0.000	7.800	6.461	0.071	10.288	20.580	22.774	30.694	2.482	25.498	11.051	1.794	16.375	35.281	1.777	13.239	12.460	5.946
10	0.301	0.000	2.766	2.869	4.224	8.066	5.683	26.263	7.452	27.479	10.222	12.067	10.390	32.664	0.000	14.863	13.283	3.193	18.390	31.055	31.259	40.123	7.211	34.263	13.914	3.080	25.532	35.073	4.183	21.286	19.005	13.130
11	0.331	0.000	7.390	9.171	8.792	17.492	11.141	36.230	16.782	27.545	16.530	21.701	14.257	39.642	0.000	22.152	21.566	7.851	27.167	38.867	38.401	41.014	14.063	41.689	14.624	5.806	29.982	31.733	8.422	30.065	23.228	21.614
