 	x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31
1	0.030	5.929	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.502	0.000	18.333	0.000	0.000	0.000	0.000	39.800	0.000	0.000	12.893	0.000	11.655	10.794	0.000	0.000	0.000	0.000	7.475
2	0.060	11.829	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.713	0.000	9.887	0.000	0.000	0.000	0.018	42.900	0.000	0.000	13.275	0.000	10.702	13.375	0.000	0.000	0.000	0.000	5.065
3	0.090	18.195	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.238	0.000	2.529	0.000	0.000	0.000	1.061	43.200	0.000	0.000	16.165	0.000	10.384	14.389	0.000	0.000	0.000	0.000	2.728
4	0.120	23.095	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.304	0.000	0.000	0.000	4.894	41.200	0.000	0.000	19.009	0.000	10.305	13.884	0.000	0.000	0.000	0.000	1.196
5	0.150	25.942	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.188	0.000	0.000	0.000	0.000	0.000	8.379	0.000	0.000	0.000	11.571	37.500	0.044	0.000	19.462	0.000	9.262	11.957	0.000	0.000	1.146	0.000	0.232
6	0.180	25.941	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.324	0.000	0.000	0.000	0.000	0.000	16.624	0.000	0.000	0.000	18.289	31.600	0.532	0.000	15.147	0.000	6.778	9.093	0.000	0.000	3.675	0.000	0.000
7	0.210	22.262	0.000	0.000	0.000	0.000	0.000	0.000	0.000	5.638	0.000	0.000	0.000	0.000	0.996	20.214	0.000	0.000	0.024	25.089	24.900	1.348	0.000	8.003	0.000	4.240	5.275	0.000	0.000	6.053	0.142	0.436
8	0.240	14.870	0.000	0.544	0.009	0.156	0.039	0.125	0.026	11.818	0.160	3.094	0.313	0.061	11.488	21.337	0.000	0.000	0.525	32.041	18.100	3.055	0.026	3.847	0.159	2.292	2.376	0.000	0.435	9.462	1.278	2.179
9	0.271	7.321	0.000	2.334	0.335	1.752	1.007	1.098	0.859	19.592	1.828	12.628	1.627	2.110	18.356	20.571	0.108	0.059	1.463	37.235	11.600	5.901	1.160	2.911	0.861	1.737	1.580	0.405	1.470	14.750	2.664	6.072
10	0.301	2.891	0.140	5.361	2.603	5.380	3.211	3.226	2.613	24.339	4.383	21.665	3.844	5.152	24.981	19.123	3.006	1.307	3.640	39.274	12.100	9.140	3.609	5.119	2.686	2.543	1.647	2.252	2.384	20.218	4.253	13.324
11	0.331	0.463	3.778	9.993	6.099	12.038	6.945	9.054	5.314	22.162	6.352	29.393	7.042	10.760	31.083	17.966	7.735	3.812	6.556	37.091	19.000	13.340	7.010	10.320	4.534	4.496	3.453	3.833	4.115	23.046	6.336	23.468
12	0.361	0.022	10.187	15.111	10.522	18.314	11.398	16.852	9.043	16.073	6.031	31.644	10.685	19.098	34.597	16.885	15.603	10.866	9.762	29.827	24.900	19.017	12.838	17.502	7.909	6.353	7.553	7.471	6.126	21.303	8.310	31.879
13	0.391	0.000	20.621	17.296	14.678	20.959	14.026	23.000	12.172	9.433	4.002	27.463	13.040	25.497	34.602	16.943	20.293	20.178	14.300	19.155	29.400	23.658	18.856	22.721	11.520	6.552	12.266	13.482	7.247	17.787	10.644	34.409
14	0.421	0.000	29.335	15.684	15.445	19.494	11.634	24.313	13.224	4.610	1.979	18.514	14.261	26.107	33.056	16.923	17.707	18.730	21.182	9.694	30.300	25.430	21.302	24.730	12.828	4.658	13.762	20.698	6.062	16.101	13.226	34.003
15	0.451	0.000	32.060	11.293	12.472	15.732	7.034	20.961	10.820	1.925	0.715	10.129	13.302	20.343	33.593	14.932	10.280	6.106	25.810	4.503	28.400	24.536	18.324	23.182	11.616	2.852	10.754	25.214	3.539	17.335	14.240	30.008
16	0.481	0.000	26.488	6.250	7.850	9.745	2.897	15.002	6.551	0.020	0.185	3.003	10.797	11.831	37.214	10.547	4.675	3.834	27.270	1.984	26.600	21.672	12.048	17.362	9.776	1.203	6.164	25.887	1.507	20.888	13.530	27.244
17	0.511	0.000	15.618	1.965	3.840	3.378	0.984	8.493	2.881	0.000	0.042	0.210	7.023	5.687	42.465	5.952	1.320	0.000	24.010	0.201	25.300	17.318	5.512	10.519	8.393	0.122	3.088	24.507	0.294	24.017	9.594	22.465
18	0.541	0.000	6.473	0.000	0.515	0.770	0.430	3.770	0.967	0.000	1.295E-5	0.000	3.797	1.364	47.018	2.062	0.012	0.000	14.528	1.688	23.000	12.881	1.412	5.041	6.770	0.000	0.240	22.259	0.000	26.160	3.791	19.813
19	0.571	0.000	2.178	0.000	0.003	9.768E-4	0.010	1.312	0.099	0.000	0.000	0.000	1.877	0.000	50.331	0.130	0.000	0.000	12.151	3.010	11.100	8.064	0.000	1.945	4.939	0.000	0.000	18.626	0.000	28.281	0.000	16.135
20	0.601	0.000	0.044	0.000	0.000	0.000	0.000	0.160	0.000	0.000	0.000	0.000	0.537	0.000	50.848	0.000	0.000	0.000	12.235	3.213	5.700	3.330	0.000	0.153	3.629	0.000	0.000	13.411	0.000	30.980	3.709	9.641
21	0.631	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.011	0.000	47.116	0.000	0.000	0.000	15.116	2.500	0.000	0.000	0.000	0.000	0.727	0.000	0.000	8.028	0.000	33.367	11.077	0.000
22	0.661	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	38.211	0.000	0.000	0.000	24.536	1.078	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3.380	0.000	35.120	18.177	0.000
23	0.691	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	27.128	0.000	0.000	0.000	32.233	0.049	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.707	0.000	34.528	27.542	0.000
24	0.721	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	18.443	0.000	0.000	0.000	39.670	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3.421	0.000	30.155	37.861	0.000
25	0.752	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	12.570	0.000	0.000	0.000	47.088	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	9.361	0.000	22.941	42.288	0.000
26	0.782	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	53.943	0.000	6.400	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	39.410	0.000
