 	X	Y	Angle	Area	LenEll	WidEll	LenSke	MitoSkelPos
1	13.323	3.001	97.859	0.205	1.399	0.186	1.224	2
2	24.407	5.193	23.170	0.029	0.286	0.129	0.161	10
3	23.842	5.330	45.001	0.011	0.129	0.113	0.161	10
4	23.235	6.631	112.387	0.240	1.431	0.213	1.300	7
5	25.865	11.688	169.213	0.388	2.311	0.214	2.472	11
6	23.389	12.282	0.000	0.016	0.143	0.143	0.028	8
7	16.282	13.318	104.929	0.694	1.595	0.554	2.404	6
8	15.661	14.225	51.596	0.153	0.890	0.220	0.823	5
9	14.713	15.617	61.825	0.082	0.506	0.206	0.278	4
10	14.295	16.951	48.811	0.190	1.230	0.197	1.081	3
11	11.590	22.019	62.753	0.963	3.441	0.356	4.869	1
