 	x	1	2	3	4	5	6	7	8	9	10	11
1	0.028	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
2	0.055	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
3	0.083	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
4	0.111	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
5	0.138	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
6	0.166	0.000	0.000	0.000	0.000	0.000	0.000	0.102	0.000	0.000	0.000	0.000
7	0.193	0.000	0.000	0.000	0.002	0.000	0.000	1.074	0.093	0.000	0.000	0.000
8	0.221	0.000	0.000	0.000	0.578	0.000	0.000	2.392	0.964	0.000	0.000	0.829
9	0.249	0.388	0.184	0.164	1.982	0.000	0.000	4.833	4.400	0.273	0.185	5.831
10	0.276	1.644	0.883	1.026	4.810	0.597	2.100	8.846	10.752	2.256	1.344	11.189
11	0.304	3.888	2.068	3.245	9.798	6.243	3.900	14.080	17.152	6.646	4.941	16.947
12	0.332	7.231	3.872	6.557	15.447	13.890	5.000	19.776	20.548	11.736	10.417	21.246
13	0.359	10.011	6.691	8.905	18.528	23.363	5.200	24.060	20.773	15.367	15.806	22.894
14	0.387	10.947	9.173	8.406	17.894	31.183	5.100	25.600	16.579	15.047	18.304	22.487
15	0.414	9.229	8.193	5.152	14.042	33.228	4.800	26.036	9.889	12.431	16.437	19.624
16	0.442	5.940	4.264	2.168	9.295	28.723	4.800	26.127	4.166	8.747	10.141	14.153
17	0.470	2.899	1.453	0.611	4.734	19.245	4.500	25.437	1.474	5.685	4.014	7.674
18	0.497	1.237	0.171	0.042	1.653	9.624	4.000	23.838	0.440	3.179	1.071	2.719
19	0.525	0.289	0.000	0.000	0.129	3.831	0.000	21.924	0.000	1.829	0.179	0.166
20	0.553	0.000	0.000	0.000	0.000	0.599	0.000	20.396	0.000	0.563	0.006	0.000
21	0.580	0.000	0.000	0.000	0.000	0.000	0.000	18.788	0.000	0.000	0.000	0.000
22	0.608	0.000	0.000	0.000	0.000	0.000	0.000	14.591	0.000	0.000	0.000	0.000
23	0.635	0.000	0.000	0.000	0.000	0.000	0.000	8.744	0.000	0.000	0.000	0.000
24	0.663	0.000	0.000	0.000	0.000	0.000	0.000	4.294	0.000	0.000	0.000	0.000
25	0.691	0.000	0.000	0.000	0.000	0.000	0.000	1.702	0.000	0.000	0.000	0.000
26	0.718	0.000	0.000	0.000	0.000	0.000	0.000	0.183	0.000	0.000	0.000	0.000
27	0.746	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
28	0.774	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
