 	x	1	2	3	4	5	6	7	8	9	10	11
1	0.028	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
2	0.055	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
3	0.083	0.000	0.000	0.000	0.000	0.000	0.000	0.442	0.000	0.000	0.000	0.000
4	0.111	0.000	0.000	0.000	0.000	0.000	0.000	3.545	0.000	0.000	0.000	1.246
5	0.138	0.000	0.000	0.000	0.000	0.000	0.000	8.096	0.000	0.000	0.000	6.759
6	0.166	0.000	0.000	0.000	0.000	0.000	0.000	13.415	0.000	0.001	0.000	15.759
7	0.193	0.001	0.000	0.000	0.000	0.000	0.000	18.400	0.000	0.734	0.363	23.603
8	0.221	1.573	0.000	0.000	0.009	0.302	0.000	22.131	0.004	3.229	1.663	25.557
9	0.249	6.089	0.000	0.001	1.124	2.801	0.000	24.211	0.281	8.945	5.016	24.411
10	0.276	12.678	0.264	0.438	3.816	5.687	2.000	24.909	1.494	18.512	10.744	23.860
11	0.304	18.993	1.088	1.730	8.818	9.706	3.600	24.210	5.327	27.161	18.860	24.159
12	0.332	22.566	3.025	4.986	14.238	14.186	5.600	22.919	13.239	29.527	25.446	22.533
13	0.359	24.166	6.948	9.226	17.689	17.273	6.100	21.840	22.177	27.735	28.176	16.511
14	0.387	25.649	11.522	11.424	18.583	18.468	5.900	21.371	25.443	25.729	28.201	9.825
15	0.414	27.440	12.117	8.706	17.883	17.860	5.000	22.217	23.725	23.756	28.146	3.308
16	0.442	25.148	7.760	4.100	16.459	15.375	4.500	24.531	22.800	20.382	27.088	2.141
17	0.470	18.005	2.894	1.344	13.450	11.075	4.200	27.894	23.908	14.625	22.435	5.566
18	0.497	9.567	0.542	0.299	8.947	6.375	3.700	30.926	23.511	8.728	13.939	9.966
19	0.525	3.995	0.010	0.014	4.619	2.972	0.000	31.605	17.636	3.641	6.204	16.672
20	0.553	0.372	0.000	0.000	1.702	0.687	0.000	27.866	9.541	0.136	1.838	24.388
21	0.580	0.000	0.000	0.000	0.215	0.000	0.000	19.621	3.331	0.000	0.214	29.712
22	0.608	0.000	0.000	0.000	0.000	0.000	0.000	10.636	0.606	0.000	0.001	29.185
23	0.635	0.000	0.000	0.000	0.000	0.000	0.000	4.175	0.037	0.000	0.000	21.948
24	0.663	0.000	0.000	0.000	0.000	0.000	0.000	0.497	0.000	0.000	0.000	11.419
25	0.691	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	4.021
26	0.718	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.237
27	0.746	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.157
28	0.774	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
29	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
