 	x	1	2	3	4	5	6	7	8	9	10	11
1	0.028	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
2	0.055	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
3	0.083	0.000	0.000	0.000	0.000	0.000	0.000	0.060	0.000	0.000	0.000	0.000
4	0.111	0.000	0.000	0.000	0.000	0.000	0.000	0.296	0.000	0.000	0.000	0.000
5	0.138	0.000	0.000	0.000	0.000	0.000	0.000	1.112	0.000	0.000	0.000	0.000
6	0.166	0.000	0.000	0.000	0.000	0.037	0.000	2.103	0.000	0.000	0.000	0.000
7	0.193	0.000	0.000	0.000	0.077	1.832	0.000	3.700	0.168	0.000	0.012	0.000
8	0.221	0.000	0.000	0.000	1.369	4.329	0.000	6.403	0.577	0.058	0.253	0.000
9	0.249	0.000	0.000	0.088	3.893	8.418	0.000	9.488	2.783	0.959	1.551	0.000
10	0.276	0.151	0.473	0.459	7.150	13.393	0.900	11.936	7.609	2.923	5.462	0.000
11	0.304	2.528	2.352	1.691	9.645	17.960	1.900	14.657	14.407	6.933	12.359	0.000
12	0.332	6.337	4.726	4.553	10.124	19.284	3.300	18.044	20.011	12.563	18.546	0.218
13	0.359	11.683	6.223	6.973	8.800	16.203	3.700	22.395	21.325	17.084	19.476	0.726
14	0.387	15.133	4.739	5.759	6.417	10.899	3.500	25.954	18.231	17.293	14.423	2.025
15	0.414	14.381	2.304	2.722	3.620	6.089	2.800	25.598	12.448	13.432	7.770	3.537
16	0.442	10.270	0.650	0.823	1.661	2.973	2.300	20.685	6.374	8.358	3.237	4.634
17	0.470	5.514	0.053	0.104	0.601	0.762	2.300	13.201	2.380	3.802	1.058	4.297
18	0.497	2.513	0.000	0.000	0.117	0.000	1.800	6.577	0.538	1.030	0.185	2.830
19	0.525	1.039	0.000	0.000	0.000	0.000	0.000	2.402	0.000	0.000	0.000	0.727
20	0.553	0.037	0.000	0.000	0.000	0.000	0.000	0.395	0.000	0.000	0.000	0.000
21	0.580	0.000	0.000	0.000	0.000	0.000	0.000	0.035	0.000	0.000	0.000	0.000
22	0.608	0.000	0.000	0.000	0.000	0.000	0.000	0.134	0.000	0.000	0.000	0.000
23	0.635	0.000	0.000	0.000	0.000	0.000	0.000	0.330	0.000	0.000	0.000	0.000
24	0.663	0.000	0.000	0.000	0.000	0.000	0.000	0.661	0.000	0.000	0.000	0.000
25	0.691	0.000	0.000	0.000	0.000	0.000	0.000	0.798	0.000	0.000	0.000	0.000
26	0.718	0.000	0.000	0.000	0.000	0.000	0.000	0.569	0.004	0.000	0.000	0.000
27	0.746	0.000	0.000	0.000	0.000	0.000	0.000	0.413	0.365	0.000	0.000	0.000
28	0.774	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.427	0.000	0.000	0.000
