 	x	1	2	3	4	5
1	0.029	0.000	0.000	0.000	0.000	0.000
2	0.058	0.000	0.000	0.000	0.000	0.000
3	0.088	0.000	0.000	0.000	0.000	0.000
4	0.117	0.000	0.000	0.000	0.000	0.000
5	0.146	0.000	0.000	0.000	0.000	0.000
6	0.175	0.000	0.000	0.000	0.000	0.000
7	0.204	0.000	0.000	0.000	0.000	0.000
8	0.234	0.048	0.000	0.000	0.000	0.000
9	0.263	0.448	0.000	0.000	0.079	0.000
10	0.292	1.996	0.000	0.279	0.393	1.700
11	0.321	5.056	0.319	1.598	1.317	3.000
12	0.350	8.808	1.356	3.935	3.299	6.400
13	0.380	12.680	2.181	7.247	6.449	10.500
14	0.409	14.788	2.174	10.405	9.736	10.700
15	0.438	13.044	1.299	12.843	10.450	6.700
16	0.467	9.204	0.463	13.321	7.900	3.200
17	0.496	4.868	0.040	10.267	3.566	1.600
18	0.526	1.608	0.000	5.471	1.063	0.000
19	0.555	0.108	0.000	2.277	0.202	0.000
20	0.584	0.000	0.000	0.861	0.000	0.000
21	0.613	0.000	0.000	0.114	0.000	0.000
22	0.642	0.000	0.000	0.000	0.000	0.000
23	0.671	0.000	0.000	0.000	0.000	0.000
24	0.701	0.000	0.000	0.000	0.000	0.000
25	0.730	0.000	0.000	0.000	0.000	0.000
26	0.759	0.000	0.000	0.000	0.000	0.000
27	0.000	0.000	0.000	0.000	0.000	0.000
