 	x	1	2	3	4	5
1	0.029	0.000	0.000	0.000	0.000	0.000
2	0.058	0.000	0.000	0.000	0.000	0.000
3	0.088	0.000	0.000	0.000	0.000	0.000
4	0.117	0.000	0.000	0.000	0.000	0.000
5	0.146	0.000	0.000	0.000	0.000	0.000
6	0.175	0.000	0.000	0.000	0.000	0.000
7	0.204	0.822	0.534	0.121	0.053	0.000
8	0.234	3.138	4.177	1.255	2.397	0.000
9	0.263	7.565	9.596	3.579	5.247	0.000
10	0.292	15.244	16.317	9.293	10.888	2.000
11	0.321	23.188	21.736	18.124	19.133	3.300
12	0.350	27.695	25.121	25.133	25.065	6.300
13	0.380	27.936	27.731	25.947	27.308	9.300
14	0.409	23.046	26.589	22.767	26.946	9.500
15	0.438	14.555	19.199	18.246	25.188	6.500
16	0.467	6.887	9.478	13.587	19.907	3.900
17	0.496	2.906	3.381	9.068	11.956	2.200
18	0.526	1.014	0.856	5.535	5.755	0.000
19	0.555	0.019	0.043	2.470	2.257	0.000
20	0.584	0.000	0.000	0.130	0.365	0.000
21	0.613	0.000	0.000	0.000	0.000	0.000
22	0.642	0.000	0.000	0.000	0.000	0.000
23	0.671	0.000	0.000	0.000	0.000	0.000
24	0.701	0.000	0.000	0.000	0.000	0.000
25	0.730	0.000	0.000	0.000	0.000	0.000
26	0.759	0.000	0.000	0.000	0.000	0.000
27	0.000	0.000	0.000	0.000	0.000	0.000
