 	x	1	2	3	4	5
1	0.029	0.000	0.000	0.000	0.000	0.000
2	0.058	0.000	0.000	0.000	0.000	0.000
3	0.088	0.000	0.000	0.000	0.000	0.000
4	0.117	0.000	0.000	0.000	0.000	0.000
5	0.146	0.000	0.000	0.000	0.000	0.000
6	0.175	0.000	0.000	0.000	0.000	0.000
7	0.204	0.000	0.000	0.000	0.000	0.000
8	0.234	0.000	0.000	0.000	0.000	0.000
9	0.263	0.000	0.000	0.394	0.000	0.000
10	0.292	0.078	0.000	1.616	0.000	1.400
11	0.321	0.373	0.000	3.754	0.520	2.000
12	0.350	1.101	0.354	7.242	1.985	3.200
13	0.380	2.657	1.113	12.493	5.443	3.900
14	0.409	5.323	1.395	17.501	11.363	4.000
15	0.438	6.812	1.387	19.055	15.388	3.200
16	0.467	4.943	0.805	14.565	14.413	2.400
17	0.496	2.233	0.361	7.878	9.120	1.500
18	0.526	0.700	0.000	2.961	4.640	0.000
19	0.555	0.152	0.000	0.574	1.894	0.000
20	0.584	0.024	0.000	0.020	0.633	0.000
21	0.613	0.000	0.000	0.000	0.060	0.000
22	0.642	0.000	0.000	0.000	0.000	0.000
23	0.671	0.000	0.000	0.000	0.000	0.000
24	0.701	0.000	0.000	0.000	0.000	0.000
25	0.730	0.000	0.000	0.000	0.000	0.000
26	0.759	0.000	0.000	0.000	0.000	0.000
27	0.000	0.000	0.000	0.000	0.000	0.000
