 	x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
1	0.030	7.487	42.200	25.705	0.000	27.381	58.893	0.000	0.000	0.000	0.000	0.000	0.000	40.311	0.000	85.765	74.631	0.000	0.000	109.300	0.000	0.000	0.000	1.744	39.384	75.133	51.413	115.124	4.388	21.485	0.000	66.941	0.000	0.000	0.000	0.000	77.631	0.000	0.000	0.000	57.155	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	62.550
2	0.060	0.521	57.279	22.356	0.000	15.516	69.979	0.000	0.000	0.000	0.000	0.000	0.000	38.460	0.000	80.116	82.314	0.000	0.000	106.900	0.000	0.000	0.044	0.000	49.164	82.942	45.107	106.950	0.000	13.877	0.000	54.821	0.000	0.000	0.000	0.000	71.394	0.000	0.000	0.000	34.704	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	62.154
3	0.090	0.000	70.053	15.220	0.000	3.172	72.290	0.000	0.000	0.000	0.000	0.000	0.000	35.547	0.000	65.619	85.653	0.000	0.000	102.300	0.000	0.000	3.896	0.000	55.904	83.225	36.975	97.597	0.000	9.165	0.000	39.219	0.000	0.000	0.000	0.000	60.306	0.000	0.000	0.000	19.733	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	55.408
4	0.120	0.814	74.470	9.700	0.000	0.000	65.872	0.000	0.000	0.000	0.000	0.000	0.000	31.135	0.000	45.255	85.783	0.000	0.000	95.900	0.000	0.000	15.324	0.000	59.807	74.802	25.776	89.414	0.000	4.151	0.020	24.072	0.000	0.000	0.000	8.047	46.228	0.000	0.000	0.000	3.409	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	42.799
5	0.150	6.764	66.599	5.003	0.000	0.000	55.505	0.000	0.000	0.000	0.000	0.000	0.000	23.811	0.000	28.086	83.618	0.000	0.000	86.500	0.000	0.000	34.616	0.000	66.703	59.377	16.675	80.372	0.000	0.491	4.585	11.264	0.000	0.000	0.132	27.015	32.593	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	28.355
6	0.180	14.985	48.878	2.503	0.000	0.592	45.528	0.000	0.000	0.000	0.000	0.000	0.000	15.406	0.390	15.121	78.527	0.000	0.000	75.200	0.000	0.000	50.104	0.000	76.481	46.107	9.991	68.352	0.000	0.000	11.995	2.724	0.679	0.000	8.308	48.432	20.548	0.000	0.000	0.000	0.000	0.000	0.000	1.308	0.000	0.000	0.000	0.000	0.000	17.660
7	0.210	28.943	29.593	0.000	0.000	10.028	37.664	0.000	0.600	0.140	0.000	0.000	0.000	9.857	2.667	1.318	69.280	0.000	0.000	65.200	1.160	0.000	60.944	0.000	86.819	45.621	10.156	54.716	0.000	0.585	23.001	0.000	10.695	0.378	27.651	72.303	2.380	0.020	0.000	0.000	0.000	0.000	0.000	1.892	0.056	0.000	0.000	0.000	0.000	8.892
8	0.240	47.097	16.270	0.873	0.000	18.607	30.283	0.000	4.792	4.100	0.000	0.000	0.000	9.928	5.499	0.000	53.833	0.012	0.085	60.700	7.206	0.140	67.388	0.048	95.504	57.835	20.600	47.966	0.000	5.070	36.373	2.822	22.618	6.757	47.626	90.936	0.000	4.171	0.565	0.252	1.726	0.707	0.000	5.930	1.926	0.000	0.000	0.000	0.000	0.666
9	0.270	61.883	8.037	7.916	0.000	29.551	19.751	0.000	16.348	8.821	0.000	0.000	0.509	11.990	8.935	1.840	20.533	0.648	2.369	8.100	17.914	1.995	71.520	9.751	101.850	72.860	34.079	50.580	1.084	9.823	48.035	10.600	38.035	19.550	71.811	100.013	0.958	9.110	2.391	3.408	6.577	6.250	15.428	13.909	6.320	0.000	0.000	0.000	0.000	5.985
10	0.300	69.639	2.862	20.993	0.000	46.464	16.611	19.400	34.052	14.132	1.233	0.000	3.238	19.194	12.388	17.857	30.433	2.500	7.682	65.400	32.807	4.840	73.148	17.500	101.542	76.793	46.069	60.695	11.026	18.182	51.876	14.440	58.026	30.802	93.629	102.061	11.417	15.974	6.007	7.819	10.309	8.883	20.649	30.239	18.576	29.900	1.193	0.000	0.000	11.577
