 	x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
1	0.030	0.000	76.730	82.050	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	82.898	83.691	0.000	0.000	126.800	0.000	0.000	36.082	0.000	79.322	88.957	0.000	116.136	2.445	79.127	0.000	64.684	1.697	0.000	16.752	0.000	51.962	0.000	0.000	0.000	87.470	0.000	0.000	0.000	0.000	0.000	35.670	0.000	0.000	67.799
2	0.060	0.000	87.059	87.702	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	72.929	82.022	0.000	0.000	126.700	0.000	0.000	54.921	0.000	78.281	85.594	0.000	118.185	0.000	80.710	0.000	47.057	9.934	0.000	26.926	0.000	38.229	0.000	0.000	0.000	73.076	0.000	0.000	0.000	0.000	0.000	60.360	0.000	0.000	63.694
3	0.090	0.000	91.665	81.785	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	57.001	76.118	0.000	0.000	124.200	0.000	0.000	68.302	0.000	77.023	69.631	0.000	109.448	0.000	81.121	0.000	33.529	26.606	0.000	42.368	0.000	25.317	0.000	0.000	0.000	53.328	0.000	0.000	0.099	0.000	0.000	91.439	0.000	0.000	51.869
4	0.120	0.000	89.065	68.969	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	38.842	54.199	0.000	0.000	116.600	0.000	0.000	73.029	0.000	72.220	48.301	0.000	90.039	0.000	74.752	0.000	19.866	50.628	0.000	58.592	0.000	14.944	0.000	0.000	0.000	32.655	0.000	0.000	1.175	0.000	0.000	119.504	0.000	0.000	34.876
5	0.150	0.000	81.899	53.944	0.000	0.599	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	22.425	17.628	0.000	0.000	100.400	0.000	0.000	73.559	0.000	58.132	26.086	0.000	62.249	0.000	60.571	0.000	11.153	73.102	0.000	70.729	0.000	4.724	0.000	0.000	0.000	6.614	0.000	0.000	4.094	0.000	0.000	133.680	0.000	0.000	19.735
6	0.180	0.000	73.198	38.797	0.000	5.740	0.030	0.000	0.685	0.000	0.000	0.000	0.359	0.000	1.476	5.072	20.180	0.000	0.000	78.100	0.475	0.000	77.537	0.000	37.459	7.799	0.000	34.726	0.000	43.490	0.000	1.728	89.198	0.000	77.135	0.000	1.388	0.000	0.000	0.000	0.000	0.000	0.000	5.831	0.000	0.000	133.342	0.000	0.000	9.975
7	0.210	0.000	67.819	25.919	0.000	14.844	5.192	0.000	7.116	0.203	0.000	0.000	6.498	0.182	7.560	0.000	68.769	0.000	0.011	57.800	7.147	0.066	87.882	0.000	19.739	20.655	0.000	13.951	0.000	29.647	0.000	5.578	97.156	0.000	76.907	0.000	0.000	0.724	0.006	0.110	0.000	0.000	0.000	17.625	1.501	0.000	124.469	0.000	1.306	0.682
8	0.240	0.000	66.886	19.743	0.000	27.921	12.507	0.000	16.065	4.746	0.000	0.000	15.910	5.549	10.736	0.131	88.048	0.577	1.383	47.500	18.328	1.986	100.787	0.412	8.052	38.919	0.573	0.463	0.807	19.519	1.650	22.815	100.398	0.904	71.764	0.000	1.038	9.237	2.229	4.798	0.440	0.475	0.574	37.486	7.513	0.000	113.257	0.167	10.884	2.577
9	0.270	2.189	66.147	28.840	0.000	38.081	20.406	0.000	33.494	15.740	0.026	0.000	28.039	12.881	13.924	6.520	100.864	3.240	5.794	0.000	36.460	7.381	109.789	15.941	0.090	62.273	6.619	5.724	7.486	22.287	13.364	29.155	99.295	9.310	66.945	0.000	8.258	19.702	7.641	11.952	9.645	6.553	10.360	57.215	23.951	0.000	101.595	8.912	19.277	10.562
10	0.300	12.278	60.239	45.954	0.000	47.771	35.223	18.200	56.282	28.330	2.881	0.000	43.496	20.280	18.137	16.297	112.581	7.685	9.967	57.500	56.847	14.236	110.481	32.177	0.000	86.162	15.669	22.199	15.060	30.585	22.546	31.239	90.731	19.547	67.434	0.000	11.932	35.702	16.085	20.556	18.241	9.597	21.670	75.864	55.405	29.900	88.962	19.805	34.322	19.190
