 	x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
1	0.030	0.000	48.119	94.521	0.000	41.533	0.000	0.000	0.000	0.000	0.000	0.040	0.000	0.000	0.000	47.809	68.114	0.000	0.000	131.900	0.000	0.000	0.000	0.000	140.001	3.821	0.000	66.361	12.080	42.084	77.383	74.836	5.333	0.000	0.000	0.000	7.198	0.000	0.000	0.000	101.498	0.000	1.198	0.678	0.000	0.000	77.952	26.812	0.000	64.839
2	0.060	0.000	65.191	102.701	0.000	53.741	0.000	0.000	0.000	0.000	0.000	3.420	0.000	0.000	0.000	35.772	79.710	0.000	0.000	134.300	0.000	0.000	0.000	0.000	128.085	10.588	0.000	62.022	2.098	58.838	83.967	66.794	5.820	0.000	0.000	0.000	3.121	0.000	0.000	0.000	93.197	0.000	10.933	11.998	0.000	0.000	82.496	8.897	0.000	69.522
3	0.090	0.000	82.362	101.647	0.000	61.971	0.000	0.000	0.000	0.000	0.000	8.956	0.000	0.000	0.000	23.010	88.971	0.000	0.000	134.200	0.000	0.000	0.000	0.000	108.396	13.734	0.000	64.609	0.000	71.726	83.713	56.546	7.426	0.000	0.851	0.000	0.752	0.000	0.000	0.000	75.673	0.000	24.060	24.289	0.000	0.000	86.788	0.046	0.000	64.972
4	0.120	0.000	94.130	91.871	0.000	64.277	0.000	0.000	0.000	0.000	0.000	20.304	0.000	0.000	0.000	13.130	93.192	0.000	0.000	125.800	0.000	0.000	0.000	0.000	86.313	6.843	0.000	68.806	0.000	78.718	77.668	44.219	10.253	0.000	6.934	0.000	0.000	0.000	0.000	0.000	51.397	0.000	43.998	37.704	0.000	0.000	89.796	0.000	0.000	50.464
5	0.150	0.000	97.481	75.399	0.000	60.329	0.000	0.000	0.000	0.000	0.000	34.100	0.000	0.000	0.000	2.547	91.035	0.000	0.000	104.300	0.000	0.000	0.508	0.000	70.830	5.419	0.209	67.262	0.000	80.270	65.881	28.108	6.196	0.232	15.484	8.207	0.000	0.000	0.000	0.000	28.297	0.000	65.909	51.573	0.000	0.000	88.656	0.000	0.000	31.898
6	0.180	0.000	94.130	54.204	0.000	51.010	0.000	0.000	0.000	0.000	0.000	50.868	0.000	0.000	0.000	0.000	83.791	0.000	0.000	74.200	0.029	0.000	7.920	0.000	68.398	3.297	1.545	38.696	0.000	76.230	49.238	19.827	3.679	1.048	28.421	34.791	0.000	0.000	0.000	0.000	5.237	0.000	80.047	62.820	0.000	0.000	84.664	0.000	0.000	17.409
7	0.210	2.555	87.255	33.210	0.000	39.007	0.000	0.000	0.000	0.000	0.000	68.260	0.000	0.000	0.190	0.000	72.709	0.000	0.000	47.700	1.066	0.397	14.944	0.000	80.805	0.514	3.366	28.257	0.000	65.977	31.606	11.682	1.998	4.368	44.865	59.418	0.000	0.000	0.000	0.110	0.000	0.002	80.905	71.402	0.084	0.000	80.108	0.000	0.000	8.486
8	0.240	14.926	81.921	12.424	0.000	27.944	0.000	0.000	0.824	0.410	0.000	82.140	0.000	0.324	1.403	0.178	60.403	0.070	0.000	34.300	5.150	2.396	26.552	0.472	101.839	9.487	9.134	30.218	0.000	52.083	14.531	8.046	0.323	7.369	61.751	92.682	1.040	0.000	0.000	2.499	0.000	2.443	69.256	76.543	1.460	0.000	75.388	3.919	0.000	0.572
9	0.270	32.019	81.851	13.100	0.000	19.824	0.000	0.000	4.512	8.805	0.367	88.736	0.002	7.731	3.757	4.363	45.199	1.394	0.895	0.000	13.412	6.675	45.300	11.242	121.215	21.075	20.377	39.689	4.011	39.477	8.659	12.773	0.247	10.833	70.654	124.067	6.798	4.690	0.702	6.458	0.364	4.718	50.243	74.884	6.373	0.000	70.552	11.776	1.579	0.243
10	0.300	57.160	87.766	21.815	0.000	12.757	0.000	11.600	10.982	21.216	2.492	87.116	4.235	20.715	7.303	7.967	32.697	3.983	3.382	42.900	25.493	15.063	64.108	18.537	130.556	38.628	34.004	52.197	6.479	31.375	16.127	19.601	0.000	13.460	68.658	144.167	8.344	23.653	3.852	12.800	10.433	7.372	31.127	66.423	21.512	19.200	67.928	21.903	6.914	6.337
11	0.330	83.310	96.644	39.687	39.800	4.824	6.149	16.400	24.745	32.296	6.752	81.396	11.339	32.764	11.667	13.386	33.438	10.404	8.525	55.900	38.597	26.661	74.012	27.211	128.899	57.876	44.501	65.744	11.969	29.215	30.438	22.037	0.000	14.696	55.995	147.684	12.966	40.973	10.682	22.817	21.610	11.798	20.644	53.432	46.957	28.500	67.864	31.896	15.354	14.915
12	0.361	97.550	100.107	62.234	39.800	0.053	21.648	23.200	41.384	41.889	14.635	76.516	22.636	38.667	15.778	22.172	56.132	21.258	20.327	63.500	45.350	37.563	68.756	32.530	120.156	72.177	46.854	68.804	24.380	31.613	44.754	24.056	0.000	14.200	41.068	133.886	21.907	59.195	22.674	35.502	31.689	14.733	13.404	39.660	71.675	36.300	70.848	40.160	23.630	23.642
13	0.391	92.332	90.035	76.904	32.000	0.000	33.441	27.200	50.560	45.612	22.983	74.924	40.856	34.938	16.165	28.639	82.606	31.247	29.857	60.400	45.363	42.040	51.712	31.124	108.334	75.506	40.476	57.431	39.108	34.744	51.644	24.921	0.000	12.043	30.329	103.954	29.298	72.261	35.946	43.518	37.977	14.259	36.948	27.508	77.738	39.000	75.212	43.594	30.658	30.089
14	0.421	69.958	67.514	72.493	17.100	0.000	38.554	24.400	46.482	42.692	25.705	75.544	61.152	25.695	14.923	28.871	97.461	32.739	31.506	49.300	38.403	39.008	32.256	23.719	96.409	67.115	28.447	38.417	44.526	35.551	47.878	21.261	0.000	9.219	28.798	67.126	26.566	73.697	40.353	42.447	33.684	12.535	60.926	17.496	64.699	36.800	79.464	37.301	28.547	28.889
15	0.451	42.355	41.637	55.582	9.700	0.000	33.734	17.600	31.509	34.405	19.839	77.508	74.394	16.719	12.408	23.890	103.415	25.695	23.949	36.700	27.610	27.830	17.528	13.884	87.770	50.435	16.564	17.561	36.150	34.916	35.318	16.548	0.000	6.784	36.611	36.786	16.113	64.511	31.101	30.445	22.369	10.955	83.178	10.873	38.753	32.300	81.688	26.649	21.532	20.062
16	0.481	16.580	22.337	16.922	8.000	0.000	19.038	11.400	15.487	24.859	11.548	79.096	75.023	11.631	8.121	8.418	101.193	13.930	12.469	33.100	15.775	15.282	8.092	6.854	85.297	28.007	6.019	0.465	24.646	28.069	22.594	13.753	0.000	5.009	53.408	8.332	7.140	49.343	16.236	15.820	12.562	9.524	98.537	6.272	16.533	28.500	81.792	14.757	13.424	10.489
17	0.511	6.037	5.856	0.000	0.000	0.000	11.010	0.000	6.284	15.535	5.180	81.852	60.920	6.616	4.971	0.000	90.841	5.716	5.553	37.500	3.872	6.595	1.516	2.796	86.264	13.473	0.685	0.000	17.900	19.460	13.791	11.774	0.000	3.618	70.902	0.000	1.086	31.942	5.975	6.926	6.858	5.392	102.938	3.105	5.456	23.400	81.720	6.377	7.667	4.762
18	0.541	0.000	0.000	0.000	0.000	0.000	4.041	0.000	1.680	6.945	1.348	85.552	39.023	1.125	2.638	0.000	72.489	2.120	2.826	52.200	0.000	2.239	0.000	0.027	86.651	4.843	0.000	0.000	22.205	11.986	8.898	10.580	0.000	0.153	80.565	0.000	0.000	16.245	1.731	2.824	1.133	1.535	95.375	0.209	1.303	31.700	81.384	2.229	4.121	2.037
19	0.571	0.000	0.000	0.000	0.000	0.000	0.520	0.000	0.000	0.261	0.000	86.636	19.095	0.000	0.722	1.251	44.304	0.482	0.928	68.400	0.000	0.375	0.000	0.000	85.280	2.053	0.000	0.000	36.475	7.074	1.500	2.286	0.000	0.000	81.099	0.000	0.000	4.221	0.050	0.186	0.000	0.000	77.470	0.000	0.000	43.200	79.976	0.000	0.000	0.153
