 	x	1	2	3	4	5	6
1	0.030	0.000	0.000	0.000	66.206	0.000	0.000
2	0.060	0.000	0.000	0.000	49.587	0.000	0.000
3	0.090	0.000	0.000	0.000	31.190	0.000	0.000
4	0.120	0.000	0.000	0.000	18.627	0.000	0.000
5	0.150	0.000	0.000	0.000	10.141	0.000	0.000
6	0.180	0.021	0.000	0.000	0.758	0.000	0.000
7	0.211	5.073	0.000	0.000	0.000	0.000	0.000
8	0.241	13.650	0.000	0.000	0.000	0.000	0.000
9	0.271	23.679	0.113	0.000	0.000	0.000	0.000
10	0.301	39.628	7.762	0.602	0.000	3.958	0.978
11	0.331	55.643	15.747	5.996	0.000	20.797	3.625
12	0.361	66.142	25.241	11.959	0.628	43.121	7.058
13	0.391	68.995	41.581	18.205	2.474	53.324	9.930
14	0.421	64.393	59.640	20.267	2.778	51.096	10.205
15	0.451	53.168	71.472	16.639	2.400	35.562	8.845
16	0.481	37.249	70.537	11.088	1.035	17.981	5.920
17	0.511	21.752	57.444	7.132	0.000	8.173	3.206
18	0.541	11.862	38.716	4.642	0.000	2.285	1.622
19	0.571	4.438	22.526	1.952	0.000	0.000	0.421
20	0.601	0.000	12.743	0.006	0.000	0.000	0.000
21	0.632	0.000	5.285	0.669	0.000	0.000	0.000
22	0.662	0.000	0.129	5.047	0.000	0.000	0.000
23	0.692	0.000	0.000	14.378	0.000	0.000	0.000
24	0.722	0.000	0.000	24.185	0.000	0.000	0.000
25	0.752	0.000	0.000	36.646	0.000	0.000	0.000
26	0.782	0.000	0.000	49.615	0.000	0.000	0.000
