 	x	1	2	3	4	5	6
1	0.030	22.832	0.000	0.000	70.958	0.000	0.000
2	0.060	40.400	0.064	0.000	53.057	0.000	0.000
3	0.090	59.511	4.700	0.000	34.635	0.000	0.000
4	0.120	73.300	12.652	0.000	22.061	0.000	0.000
5	0.150	79.870	21.516	0.000	7.511	0.000	0.000
6	0.180	82.214	32.588	0.000	0.000	1.125	0.000
7	0.211	83.035	48.572	0.000	5.815	10.438	0.079
8	0.241	80.291	63.432	0.000	18.104	24.620	3.641
9	0.271	71.363	71.972	0.400	29.620	45.143	8.809
10	0.301	55.430	73.624	3.779	46.138	74.680	16.006
11	0.331	36.451	71.524	9.638	63.327	101.242	27.117
12	0.361	21.634	66.188	19.422	74.994	114.671	38.873
13	0.391	10.903	54.416	31.387	78.019	114.472	47.348
14	0.421	1.618	37.140	36.511	70.034	103.860	48.989
15	0.451	0.000	21.076	30.838	52.984	84.751	43.250
16	0.481	0.000	10.636	20.474	33.651	60.349	33.036
17	0.511	0.091	2.964	11.986	19.400	37.584	22.053
18	0.541	8.002	0.028	7.532	10.803	23.201	14.423
19	0.571	18.573	0.000	3.186	0.892	8.397	10.363
20	0.601	28.862	0.000	0.060	0.000	0.079	3.337
21	0.632	46.141	0.000	0.000	0.000	0.000	0.004
22	0.662	65.943	0.000	0.017	0.000	0.000	0.000
23	0.692	79.787	0.000	3.353	0.000	0.000	0.000
24	0.722	82.124	0.000	6.963	0.000	0.000	0.000
25	0.752	72.079	0.000	14.908	0.000	0.000	0.000
26	0.000	0.000	0.000	23.132	0.000	0.000	0.000
