 	x	1	2	3	4	5	6
1	0.030	0.000	33.916	0.000	61.554	0.000	0.000
2	0.060	0.000	23.116	0.000	43.542	2.028	0.000
3	0.090	0.000	12.300	0.000	26.544	11.698	0.000
4	0.120	0.000	2.320	0.000	16.426	25.900	0.000
5	0.150	0.000	0.000	0.000	9.653	45.269	0.000
6	0.180	0.000	0.000	0.000	0.649	64.673	0.000
7	0.211	0.000	0.000	0.000	0.000	77.332	0.000
8	0.241	0.236	0.000	0.000	0.000	79.605	0.000
9	0.271	0.117	0.000	1.219	0.000	74.055	0.000
10	0.301	8.536	0.480	3.562	0.000	66.599	0.000
11	0.331	18.414	9.396	6.802	2.932	62.309	2.806
12	0.361	30.833	15.860	13.647	8.435	63.663	10.545
13	0.391	45.627	23.792	20.633	12.214	68.371	22.098
14	0.421	58.179	35.016	22.563	11.155	71.327	39.351
15	0.451	65.435	45.832	17.391	7.389	68.477	52.362
16	0.481	67.771	53.796	10.114	2.803	54.253	49.294
17	0.511	65.308	56.060	5.337	0.000	24.555	36.072
18	0.541	55.898	51.176	2.158	0.000	8.085	15.192
19	0.571	41.303	39.936	0.000	0.000	1.868	2.718
20	0.601	27.171	25.844	0.000	0.000	0.000	0.000
21	0.632	18.029	15.124	0.000	0.000	0.000	0.000
22	0.662	9.124	7.680	0.000	0.000	0.000	0.000
23	0.692	0.670	1.836	0.000	0.000	0.000	0.000
24	0.722	0.000	0.024	0.000	0.000	0.000	0.000
25	0.752	0.000	0.000	0.457	0.000	0.000	0.000
26	0.000	0.000	0.000	0.000	0.000	0.000	0.000
