 	X	Y	Angle	Area	LenEll	WidEll	LenSke	MitoSkelPos
1	4.775	1.789	83.437	1.416	3.353	0.538	2.994	7
2	11.221	1.462	67.384	0.482	2.284	0.269	2.417	12
3	5.929	6.951	77.471	15.137	6.489	2.970	29.698	5
4	8.786	4.351	22.164	0.033	0.364	0.114	0.281	11
5	4.565	4.952	62.848	0.104	0.713	0.185	0.518	6
6	3.989	5.355	96.374	0.250	0.835	0.381	0.608	3
7	4.080	6.124	49.422	0.041	0.258	0.203	0.035	4
8	8.055	6.930	45.000	0.006	0.099	0.080	0.000	0
9	3.700	7.100	134.999	0.018	0.168	0.133	0.035	2
10	3.584	9.374	115.673	0.036	0.261	0.177	0.071	1
11	5.338	12.701	95.720	4.316	4.307	1.276	9.491	8
12	6.442	10.852	78.579	0.158	0.511	0.394	0.000	0
