 	x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55
1	0.029	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	13.364	0.176	0.000	0.000	0.000	1.341	0.000	1.416	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.695	0.000	0.000	0.000	0.000	0.000	17.115	20.292	0.000	0.000	31.375	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	10.139	0.000	0	0.000	8.900	0.000
2	0.059	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	13.174	0.415	0.000	0.000	0.000	2.848	0.000	6.042	0.000	0.000	0.000	0.000	0.000	0.143	0.000	0.000	0.000	0.975	0.000	0.000	0.000	0.000	0.000	16.187	16.744	0.000	0.000	29.679	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	10.901	0.000	0	0.000	7.600	0.000
3	0.088	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	13.154	0.729	0.000	0.000	0.000	5.257	0.000	12.138	0.000	0.000	0.000	0.000	0.000	2.142	0.000	0.000	0.000	0.225	0.000	0.000	0.000	0.000	0.000	14.108	12.399	0.000	0.000	28.697	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	11.105	0.000	0	2.400	5.300	0.000
4	0.117	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	10.647	0.873	0.000	0.000	0.000	8.704	0.000	17.113	0.000	0.000	0.000	0.000	0.000	4.447	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	10.806	8.396	0.000	0.000	27.420	0.000	0.000	0.000	0.000	0.000	2.500	0.000	0.000	10.964	0.000	0	4.100	3.700	0.000
5	0.146	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.118	0.000	0.000	0.000	6.332	1.008	0.000	0.000	0.000	13.263	0.000	19.250	0.000	0.000	0.000	0.000	0.000	6.841	0.058	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	7.588	3.714	0.046	0.000	25.735	0.000	0.000	0.067	0.000	0.000	4.700	0.000	0.000	8.777	0.000	0	6.700	2.800	0.000
6	0.176	0.000	0.000	0.000	0.000	0.126	0.000	0.000	0.000	0.000	7.357	0.000	0.000	0.000	5.195	1.096	0.000	0.000	0.000	17.142	0.000	19.753	0.000	0.000	0.000	0.233	0.000	9.118	0.589	0.000	0.438	0.000	0.000	0.000	0.000	0.000	0.005	5.622	0.656	0.547	0.000	24.238	0.000	0.000	0.392	0.000	0.200	7.100	0.000	0.492	6.318	0.000	0	8.800	1.500	0.000
7	0.205	0.000	0.000	0.000	0.000	0.412	0.447	0.000	0.000	0.000	11.384	0.000	0.000	0.000	4.232	1.551	0.000	0.000	0.059	19.196	0.000	19.890	0.000	0.000	0.000	0.818	0.000	11.365	1.288	0.186	2.106	0.109	1.946	0.077	0.045	0.000	0.325	3.220	0.000	1.541	0.002	20.857	0.000	0.004	1.073	0.123	1.373	9.500	0.000	2.416	5.997	0.000	0	9.200	1.300	0.000
8	0.234	2.103E-4	1.302	0.182	0.000	0.699	2.458	0.164	0.605	0.239	15.255	0.000	0.651	0.000	4.473	2.067	0.109	0.000	0.673	20.158	0.000	21.095	0.000	0.022	0.021	1.680	0.000	13.503	1.921	1.296	3.268	0.408	4.905	0.708	0.208	0.000	0.789	0.815	0.000	1.649	1.180	16.206	0.000	0.186	2.429	0.393	3.945	11.500	0.000	4.322	5.349	0.000	0	10.500	0.800	0.000
9	0.264	0.215	5.683	2.062	0.347	1.708	4.241	0.620	1.412	1.625	18.238	0.002	3.722	0.179	11.075	2.589	0.804	0.146	2.238	19.446	1.400	23.167	0.000	0.832	0.635	2.573	0.079	14.622	2.487	2.104	5.699	0.947	7.941	2.334	0.789	0.440	1.648	2.933	0.689	1.643	1.819	13.767	0.562	0.420	3.387	0.517	6.901	11.800	0.247	6.468	3.321	0.169	0	12.400	2.200	4.934
10	0.293	0.776	8.866	3.650	3.699	3.013	6.159	1.543	1.534	3.993	21.163	2.160	5.329	1.017	14.797	2.442	1.799	1.526	3.598	16.516	3.500	25.402	0.201	2.671	1.735	2.930	0.417	14.890	3.157	2.573	7.405	2.619	12.944	4.293	1.283	2.732	2.849	4.530	1.268	1.865	2.468	10.866	3.659	0.475	4.716	0.484	7.553	11.200	0.952	8.632	4.512	0.436	0	12.800	4.500	10.019
