 	x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55
1	0.029	0.000	0.000	0.000	0.000	0.000	1.424	0.000	0.000	0.000	13.846	0.000	8.689	0.000	11.589	14.224	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	6.119	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	6.033	0.000	0.000	0.000	0.000	22.994	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
2	0.059	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	14.880	0.000	7.169	0.000	2.214	12.523	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	7.437	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	4.788	0.000	0.000	0.000	0.000	22.533	0.000	0.040	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
3	0.088	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	15.711	0.000	5.983	0.000	0.102	10.286	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	11.319	0.000	0.000	0.000	0.000	0.000	0.000	1.273	0.000	0.000	0.000	0.000	5.191	1.018	0.000	0.000	0.747	21.805	0.000	2.331	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	8.100	7.300	0.000
4	0.117	0.000	0.474	0.000	0.000	0.000	0.000	0.000	0.000	0.000	17.490	0.000	4.186	0.000	0.000	7.993	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	12.052	0.000	0.000	0.289	0.000	0.000	0.000	3.639	0.000	0.000	0.000	0.000	3.196	6.530	0.000	0.000	4.475	24.618	0.000	5.114	0.000	0.262	0.000	0.000	0.000	0.000	0.000	0.126	9.800	11.300	0.000
5	0.146	0.000	7.146	0.000	0.000	0.000	0.048	0.000	0.000	0.000	19.905	0.000	0.507	0.000	0.000	7.326	0.000	0.000	0.035	0.000	0.000	0.000	0.000	0.000	0.000	11.812	0.000	0.000	5.115	0.000	0.109	0.000	4.840	0.377	0.000	0.287	0.000	2.237	9.868	0.087	0.000	6.821	28.690	0.000	7.124	1.605	3.732	0.000	0.000	0.371	0.000	0.000	0.659	12.700	14.100	0.000
6	0.176	0.000	10.970	0.000	0.000	0.000	1.698	0.000	0.000	0.007	22.314	0.000	0.556	0.000	0.131	11.707	0.000	0.000	1.297	0.000	0.000	0.000	0.000	0.480	0.000	11.904	0.171	0.000	7.514	0.146	3.479	0.558	7.745	1.882	0.000	10.143	0.103	0.119	12.288	2.220	0.000	9.275	30.723	0.000	9.999	3.638	7.368	0.000	0.000	2.853	1.436	0.000	4.223	16.800	17.600	0.090
7	0.205	0.002	15.090	0.000	0.799	0.000	3.947	0.480	0.072	1.192	22.942	0.000	5.184	0.439	10.690	13.130	1.182	0.030	3.083	0.068	0.000	0.715	0.000	3.673	0.000	12.399	2.268	0.000	9.052	1.920	5.720	3.124	11.068	4.647	0.219	12.780	1.374	0.280	14.140	2.236	0.000	12.273	32.054	0.000	12.859	5.231	11.259	0.400	1.552	5.496	3.977	0.000	5.841	20.800	20.400	1.513
8	0.234	0.208	20.034	0.157	3.126	0.353	6.378	1.238	1.251	3.002	22.297	0.000	9.175	2.480	22.938	13.792	3.002	1.528	5.399	2.513	0.000	3.046	0.000	6.744	0.017	12.254	4.944	0.000	11.498	3.301	8.197	3.514	13.353	6.168	1.219	14.677	2.876	4.688	15.495	2.263	0.000	15.189	33.450	0.261	14.117	8.273	14.255	4.600	5.548	8.451	6.113	0.040	8.166	23.200	24.400	2.952
9	0.264	0.929	22.511	2.015	4.827	0.873	8.948	1.845	2.200	4.419	21.494	0.028	12.880	4.018	28.964	13.811	4.463	3.519	7.804	3.836	1.600	4.179	0.036	10.440	0.961	11.861	6.689	0.000	14.735	4.312	12.300	4.886	14.220	9.075	1.869	17.631	4.134	8.402	17.380	2.801	1.800	16.990	32.796	1.178	14.848	12.175	15.939	6.300	7.418	11.889	9.230	0.733	11.724	23.900	25.400	4.726
10	0.293	1.898	24.566	3.455	6.030	1.377	10.687	2.566	2.043	6.542	20.137	2.161	16.356	5.733	35.241	13.285	6.240	5.806	9.636	5.780	2.900	6.767	0.417	14.124	4.338	10.509	8.220	0.004	16.487	5.224	16.777	7.278	13.874	12.877	2.909	21.869	5.634	10.892	18.770	3.023	2.500	16.609	33.029	1.916	16.142	14.598	17.192	10.300	9.515	15.071	11.683	1.032	14.515	25.900	26.900	7.547
