 	X	Y	Angle	Area	LenEll	WidEll	LenSke
1	6.457	0.157	93.644	0.045	0.275	0.207	0.029
2	6.568	1.806	80.493	0.301	1.308	0.293	0.969
3	6.346	1.472	81.692	0.023	0.190	0.155	0.969
4	6.438	2.850	82.518	0.141	0.739	0.243	0.493
5	10.204	3.361	39.181	0.325	1.406	0.295	1.344
6	0.387	3.924	166.663	0.122	0.444	0.349	0.029
7	9.401	4.043	43.330	0.143	0.678	0.269	0.507
8	8.991	4.384	105.128	0.034	0.231	0.190	0.059
9	0.281	4.515	148.763	0.124	0.615	0.256	0.395
10	6.126	5.013	134.778	0.748	1.292	0.737	2.308
11	1.131	4.543	1.952	0.030	0.292	0.131	0.146
12	0.825	4.774	77.846	0.086	0.445	0.245	0.271
13	2.169	4.882	165.048	0.296	1.385	0.272	1.300
14	1.256	4.977	162.831	0.081	0.352	0.292	0.059
15	1.016	5.560	22.299	0.367	0.769	0.608	1.425
16	3.719	5.399	165.942	0.136	0.586	0.296	0.229
17	4.803	5.504	171.912	0.135	0.645	0.266	0.376
18	5.587	5.744	139.542	0.105	0.404	0.330	0.041
19	8.823	8.666	134.426	2.654	5.598	0.604	9.320
20	29.871	8.839	0.000	0.020	0.159	0.158	0.000
21	25.731	9.712	16.252	0.633	2.446	0.329	2.372
22	0.098	9.942	86.159	0.035	0.282	0.159	0.029
23	10.730	10.859	138.614	0.058	0.307	0.242	0.083
24	11.056	11.074	107.108	0.022	0.191	0.149	0.083
25	12.240	11.360	169.250	0.406	1.249	0.414	1.120
26	11.841	11.841	131.229	0.400	1.831	0.278	1.565
27	13.715	13.744	115.697	1.747	3.223	0.690	7.057
28	2.043	14.976	100.055	0.238	0.744	0.407	0.317
29	14.973	14.808	61.651	0.065	0.373	0.223	0.083
30	13.679	15.252	82.817	0.107	0.450	0.304	0.305
31	14.977	15.411	49.688	0.077	0.405	0.243	0.124
32	14.069	17.013	104.237	0.373	1.195	0.398	0.805
33	26.730	19.716	49.506	0.464	2.223	0.266	1.890
34	14.515	19.393	122.279	0.040	0.261	0.196	0.041
35	14.633	21.534	95.682	0.913	3.389	0.343	3.449
36	25.326	20.893	41.850	0.064	0.401	0.204	0.195
37	15.214	21.062	155.740	0.108	0.452	0.304	0.217
38	15.698	23.625	110.127	1.229	3.758	0.417	4.292
39	3.913	23.373	88.606	0.137	0.467	0.375	0.405
40	15.124	24.631	91.006	0.058	0.346	0.212	0.059
41	15.722	25.402	130.358	0.431	1.447	0.379	1.080
42	15.821	26.307	158.887	0.887	1.774	0.636	2.291
43	22.959	26.585	137.438	0.035	0.229	0.196	0.029
44	17.702	26.793	103.496	0.203	0.576	0.450	0.029
45	19.608	27.214	157.124	0.613	2.012	0.388	1.454
46	0.441	26.956	13.424	0.251	0.935	0.341	1.007
47	1.904	27.008	0.311	0.525	2.140	0.313	1.772
48	3.475	27.124	169.166	0.144	0.666	0.276	0.334
49	13.067	27.361	25.491	0.107	0.408	0.334	0.129
50	5.197	27.507	175.400	0.154	0.601	0.326	0.405
51	4.545	27.480	129.305	0.026	0.215	0.153	0.405
52	8.570	28.175	174.882	1.614	5.449	0.377	6.504
53	21.483	28.048	0.300	0.413	0.981	0.536	0.388
54	22.242	28.542	90.799	0.430	1.115	0.491	0.622
55	21.876	29.280	133.244	0.446	1.852	0.306	1.624
