 	x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55
1	0.029	0.000	0.000	0.000	0.000	0.000	6.106	0.000	0.000	0.000	6.288	0.000	4.365	25.762	4.139	39.396	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.305	12.552	0.000	14.829	0.000	0.000	0.000	1.164	0.000	0.000	0.000	0	0.000	0.541	14.405	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	17.709	0.000
2	0.059	0.000	0.000	0.000	0.000	0.000	0.538	0.000	0.000	0.000	8.119	0.000	3.785	27.616	3.808	33.954	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.549	13.738	0.000	15.573	0.000	0.000	0.000	0.675	0.000	0.000	0.000	0	0.000	0.000	13.370	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	16.895	0.000
3	0.088	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	9.159	0.000	2.985	28.492	2.856	27.464	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.855	14.770	0.000	15.029	0.000	0.000	0.000	0.250	0.000	0.000	0.000	0	0.000	0.000	11.336	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	16.169	0.000
4	0.117	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	8.911	0.000	0.552	27.013	1.904	19.954	0.000	0.000	0.000	0.000	0.000	0.389	0.000	0.000	1.515	14.163	0.000	14.285	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0.000	0.000	8.044	0.000	0.000	0.000	0.000	0.000	0.120	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	14.668	0.000
5	0.146	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	8.021	0.000	0.000	22.921	1.043	8.349	0.000	0.000	0.000	0.000	0.000	2.940	0.000	0.000	1.888	13.599	0.000	13.280	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0.000	0.000	4.118	0.000	0.000	0.000	0.000	0.000	0.368	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	12.520	0.000
6	0.176	0.000	1.670	0.000	0.004	0.000	0.000	0.000	0.000	0.000	7.715	0.000	0.000	16.627	4.355	0.663	0.000	0.000	0.000	0.000	0.000	3.820	0.000	0.000	2.315	13.983	0.000	10.861	0.127	0.000	0.000	0.126	0.067	0.000	0.000	0	0.000	0.435	0.435	0.800	0.000	0.000	0.312	0.000	1.379	0.000	0.000	0.000	0.000	0.126	0.000	0.000	0.145	0.500	9.910	0.000
7	0.205	0.000	4.619	0.000	2.042	0.196	0.333	0.000	0.000	0.000	7.098	0.000	0.333	11.747	10.836	0.000	0.176	0.000	0.374	0.000	0.000	5.005	0.000	0.130	3.052	13.568	0.000	7.742	1.738	0.043	0.112	0.503	0.240	0.000	0.000	0	0.000	4.051	0.000	1.000	0.000	0.434	0.959	0.000	1.707	0.000	0.000	0.000	0.000	1.449	0.000	0.000	2.792	2.500	8.775	0.272
8	0.234	0.004	7.034	0.000	4.415	0.813	1.617	0.148	0.062	0.000	6.722	0.000	1.479	7.655	14.027	1.865	0.748	0.428	1.356	0.000	0.000	5.334	0.000	0.950	3.159	11.898	0.260	4.521	2.381	0.535	0.684	1.070	0.389	0.000	0.000	0	0.043	5.193	0.065	1.200	0.000	1.495	1.885	0.038	2.804	0.122	0.089	0.000	0.192	3.529	0.000	0.000	3.942	4.400	7.476	1.261
9	0.264	0.411	8.207	0.642	7.421	1.853	2.272	0.789	0.900	0.000	6.715	0.039	2.888	4.875	17.420	11.792	1.135	1.257	2.466	0.000	0.800	5.067	0.229	2.158	2.673	10.018	0.664	2.432	4.226	1.131	1.934	1.854	0.968	0.000	0.288	0	0.448	5.971	2.279	2.100	0.800	2.874	3.452	0.525	4.719	0.810	1.646	0.600	1.033	5.341	0.058	0.088	6.144	8.000	8.071	2.670
10	0.293	0.797	10.162	2.214	9.583	2.258	3.308	2.349	1.153	0.000	7.267	1.895	4.909	1.579	25.013	12.460	2.606	2.189	3.432	0.245	1.500	4.704	0.794	4.291	5.830	8.614	1.508	0.559	6.558	2.519	4.830	3.220	1.460	0.000	1.002	0	1.527	8.007	4.945	2.300	1.700	4.218	5.267	1.120	6.163	1.510	4.027	1.600	2.324	7.078	1.834	0.518	8.417	9.800	9.239	3.094
11	0.322	1.270	13.030	3.245	13.645	2.183	4.496	3.148	1.538	1.212	7.117	2.900	6.884	1.925	27.316	12.077	3.693	3.801	4.759	4.033	2.900	3.988	7.431	7.342	8.196	7.937	2.750	0.005	8.143	4.567	7.027	4.374	2.419	0.204	2.064	0	2.683	9.645	6.635	2.000	2.600	4.864	6.953	2.460	7.028	3.263	6.221	3.500	3.397	6.639	4.273	1.168	10.664	10.800	9.817	3.059
12	0.352	1.673	14.687	5.075	14.511	2.587	5.826	2.676	2.046	3.321	6.461	3.522	8.335	3.931	29.236	12.383	4.966	4.210	6.186	6.540	4.100	3.238	8.166	11.502	10.081	7.924	3.900	0.000	7.968	5.717	9.741	4.238	2.435	0.821	3.143	0	4.102	10.779	8.985	2.600	3.800	4.756	9.191	4.160	6.660	5.693	8.255	4.900	5.077	6.169	7.174	2.239	11.311	12.100	10.539	4.563
13	0.381	2.070	14.404	7.567	13.967	2.038	7.945	2.044	2.467	6.517	6.169	4.857	8.237	8.911	31.254	11.924	6.393	4.273	7.161	8.936	4.800	2.711	5.583	14.326	10.390	9.288	2.705	0.000	7.711	5.396	12.140	5.376	2.512	0.988	4.325	0	4.629	12.326	9.944	2.300	4.700	6.373	10.796	4.771	7.589	7.967	10.645	6.500	6.235	6.030	8.577	3.289	12.040	12.800	9.884	5.596
14	0.410	1.687	12.981	8.497	10.877	1.985	8.930	2.181	2.088	8.632	5.490	4.810	7.458	8.877	33.144	11.168	6.444	5.054	7.685	11.625	5.100	2.243	4.790	15.755	8.904	11.007	2.621	0.000	7.457	4.591	11.858	5.490	2.955	1.076	4.864	0	3.980	13.498	8.834	1.800	4.700	7.507	12.150	4.187	8.196	9.394	11.717	7.700	7.292	4.902	9.672	3.620	11.060	11.600	8.427	5.111
15	0.439	1.132	11.259	8.757	10.342	1.489	8.361	2.116	2.018	8.825	4.064	5.726	6.564	8.628	32.777	10.729	6.211	6.155	7.787	14.944	3.500	1.669	4.291	15.160	6.727	11.962	1.702	0.000	7.579	3.167	10.167	4.012	2.772	0.302	4.597	0	2.536	12.135	8.499	1.800	4.000	8.030	12.607	4.020	7.381	10.298	11.129	8.100	7.638	3.532	10.431	2.918	9.274	11.000	7.753	3.624
16	0.469	0.795	9.595	9.135	9.598	0.565	7.443	1.719	2.181	9.552	4.018	6.424	7.309	8.692	30.066	9.825	5.796	6.283	7.200	16.687	2.600	0.992	3.652	13.188	4.084	11.531	0.900	0.000	6.563	1.655	6.808	2.442	2.055	0.186	3.157	0	1.356	10.421	9.097	1.600	2.500	6.883	13.809	4.046	6.455	9.748	9.210	8.200	6.915	2.405	9.686	2.123	6.888	10.900	7.637	2.395
17	0.498	0.796	7.433	10.000	7.809	0.279	5.574	1.395	2.185	9.700	3.422	5.644	9.269	7.778	26.481	7.998	3.655	5.189	6.043	17.121	1.200	0.414	2.482	9.948	2.084	10.987	0.352	0.000	5.375	0.519	4.203	1.234	1.125	0.000	1.845	0	0.550	7.949	9.273	1.000	1.400	5.386	15.859	2.762	6.269	8.229	8.137	7.100	5.199	1.514	9.518	1.142	5.207	8.800	6.957	1.209
