 	x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
1	0.029	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	9.311	0.000	0.000	0.000	0.000	0.000	0.000	0.117	0.000	0.000	0.000	0.000
2	0.059	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	11.943	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
3	0.088	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	13.186	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
4	0.117	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	13.480	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
5	0.146	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	14.137	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
6	0.176	0.000	0.000	0.000	0.000	0.000	0.041	0.000	0.000	0.216	0.000	0.000	14.118	0.000	0.284	0.000	9.179E-6	0.000	0.036	0.000	0.000	0.000	0.029	0.000
7	0.205	0.000	0.000	0.110	0.149	0.000	2.384	0.000	0.000	1.001	0.000	0.000	13.261	0.000	2.070	0.079	0.276	0.000	0.485	0.000	0.000	0.000	0.219	0.000
8	0.234	0.000	0.066	0.790	1.057	0.000	4.427	0.000	0.000	2.113	0.018	0.000	13.521	0.000	4.354	0.418	0.920	0.000	2.070	0.000	0.000	0.000	0.495	0.033
9	0.264	0.000	0.327	1.679	1.943	0.000	5.646	0.668	0.163	4.327	0.621	0.000	13.698	0.172	5.429	1.170	1.636	0.629	4.428	0.132	0.289	0.000	0.808	0.201
10	0.293	0.000	1.243	2.710	2.591	0.686	6.623	2.690	1.022	6.022	1.358	0.000	12.129	0.852	6.454	3.803	1.812	1.881	7.395	0.882	2.108	0.000	1.390	0.609
11	0.322	0.000	2.401	4.076	3.474	2.162	8.317	6.126	2.247	7.499	2.099	0.000	9.921	1.724	7.566	7.166	2.156	3.357	11.388	1.330	3.470	0.115	2.134	1.288
12	0.352	4.700	3.085	4.988	4.356	4.365	8.975	10.398	3.138	8.446	1.996	0.050	9.226	3.142	7.792	8.787	3.376	5.314	13.844	1.882	3.847	1.044	2.673	1.891
13	0.381	6.200	3.516	5.561	5.333	7.547	7.848	12.610	3.491	9.438	1.822	1.125	7.787	4.135	7.786	9.001	4.632	6.740	14.112	2.246	5.405	2.070	3.499	2.347
14	0.410	3.600	4.416	6.086	6.459	10.055	6.655	13.512	3.121	10.114	1.733	3.639	5.720	5.155	8.494	8.628	3.640	6.896	13.096	2.370	7.283	2.965	3.732	2.717
15	0.439	2.500	4.258	4.864	6.217	11.991	6.024	11.727	1.784	10.066	1.410	7.102	2.784	5.357	8.911	7.772	2.536	6.899	12.203	2.393	7.809	3.560	3.433	3.571
16	0.469	2.000	2.930	3.551	4.712	12.224	4.204	11.012	0.892	8.728	0.756	11.410	0.557	4.730	7.488	6.202	2.144	5.644	9.603	1.781	6.793	4.463	2.762	3.179
17	0.498	2.100	1.844	2.331	3.528	9.104	1.880	10.257	0.432	6.786	0.763	13.574	0.174	3.927	4.776	4.710	1.636	3.871	6.132	1.046	5.849	3.835	1.845	1.802
18	0.527	2.500	1.397	1.462	2.678	5.156	0.000	8.574	0.039	5.607	0.201	13.838	0.000	3.823	3.516	3.858	0.888	2.136	3.546	0.472	4.809	2.384	1.048	0.921
19	0.557	2.500	0.921	0.277	1.647	2.970	0.000	6.587	0.000	4.683	0.000	13.999	0.000	3.810	2.424	5.159	0.064	0.962	1.129	0.182	2.726	1.815	0.119	0.664
20	0.586	3.100	0.060	0.000	0.909	0.909	0.000	4.464	0.000	2.847	0.000	14.694	0.000	3.352	1.249	4.868	0.000	0.162	0.000	0.002	6.547	1.228	0.000	0.374
21	0.615	2.800	0.000	0.000	0.155	0.025	0.000	2.090	0.000	1.013	0.000	15.300	0.000	2.385	0.246	4.600	0.000	0.000	0.000	0.000	8.346	0.317	0.000	0.000
22	0.645	2.800	0.000	0.000	0.000	0.000	0.000	0.866	0.000	0.024	0.000	15.048	0.000	1.689	0.060	4.792	0.000	0.136	0.000	0.000	11.688	0.060	0.000	0.000
23	0.674	2.900	0.000	0.000	0.000	0.000	0.000	0.054	0.000	0.000	0.000	13.887	0.000	1.051	0.000	4.891	0.000	0.799	0.000	0.000	14.437	0.000	0.000	0.000
24	0.703	3.400	0.017	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	10.987	0.000	0.174	0.000	5.249	0.000	1.484	0.000	0.000	16.842	0.000	0.000	0.000
25	0.732	2.900	0.362	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	6.848	0.000	0.000	0.000	5.839	0.000	2.131	0.000	0.000	18.689	0.000	0.000	0.000
26	0.762	2.800	0.592	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	4.417	0.000	0.000	0.000	7.626	0.000	3.082	0.000	0.000	0.000	0.000	0.000	0.000
27	0.791	2.700	0.685	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
