 	x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
1	0.029	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	6.069	2.228	0.000	0.000	0.000	0.000	0.000	0.465	8.551	0.000	0.000	0.000	0.000
2	0.059	0.000	0.000	0.000	0.050	0.000	0.000	0.000	0.000	0.000	0.000	4.206	2.541	0.142	0.000	0.000	0.000	0.000	2.478	8.158	0.000	0.000	0.000	0.000
3	0.088	0.000	0.000	0.000	2.330	0.000	0.000	0.000	0.000	0.000	0.000	2.258	2.661	1.087	0.000	0.000	0.000	0.000	6.666	6.307	0.000	0.000	0.000	0.000
4	0.117	0.000	0.000	0.000	5.285	0.000	0.000	0.000	0.000	7.807E-4	0.000	0.951	2.675	2.500	0.000	0.000	0.000	0.000	10.449	4.583	0.000	0.000	0.000	0.000
5	0.146	0.000	0.000	0.000	7.582	1.084	0.000	0.000	0.000	0.497	0.000	0.000	2.858	4.782	0.439	0.000	0.008	0.053	13.132	3.168	0.000	0.000	0.000	0.000
6	0.176	0.000	0.130	0.118	10.988	3.486	0.107	1.678	0.000	2.616	0.000	0.000	3.220	8.012	1.896	0.000	0.948	1.617	14.496	1.803	0.000	0.228	0.086	0.000
7	0.205	0.000	1.138	0.961	13.985	6.170	1.492	4.981	0.000	6.437	0.000	0.000	4.123	10.963	4.667	0.072	3.356	3.586	15.597	1.189	0.000	1.848	1.139	0.060
8	0.234	0.000	2.020	2.324	14.403	10.169	4.424	8.763	0.000	11.240	0.039	0.000	4.631	12.629	8.073	1.789	5.040	5.467	17.410	0.596	0.083	4.054	1.998	1.200
9	0.264	0.000	3.323	5.075	14.463	13.412	7.999	12.659	0.298	14.640	0.867	0.000	5.538	13.295	10.825	3.147	7.604	9.263	18.922	1.421	1.340	6.226	3.267	2.045
10	0.293	0.000	4.356	7.398	14.922	15.061	11.846	14.230	1.799	15.267	2.270	0.000	5.509	13.359	12.938	5.240	10.176	12.843	20.021	2.925	3.212	8.892	5.671	3.012
11	0.322	0.000	4.788	8.499	15.080	15.168	15.778	14.467	3.868	15.377	3.178	0.000	8.497	12.636	13.464	8.804	11.172	14.867	20.967	3.670	5.042	11.619	7.973	4.356
12	0.352	4.100	5.167	9.186	15.571	15.105	18.779	15.134	4.523	15.256	3.535	0.000	11.681	11.928	12.758	12.312	12.212	16.268	20.829	5.246	6.605	13.644	9.860	5.024
13	0.381	6.300	5.566	9.350	16.425	16.221	21.410	16.508	4.586	15.305	3.668	1.647	14.263	10.406	13.655	13.268	12.780	16.055	19.475	5.664	8.136	14.762	10.219	5.427
14	0.410	3.700	5.972	9.552	16.571	18.823	22.602	17.719	4.318	15.280	3.485	7.070	14.662	7.456	14.365	13.306	12.788	15.726	18.475	5.114	9.172	14.422	9.642	6.302
15	0.439	2.500	4.827	8.473	17.416	19.588	23.115	17.661	3.417	15.239	2.448	10.124	16.379	5.261	14.128	13.947	12.516	16.806	17.709	3.695	10.131	13.914	8.343	6.304
16	0.469	2.000	3.896	5.530	17.155	17.760	21.961	16.538	2.185	15.407	1.148	10.963	16.574	3.845	13.894	13.707	11.652	17.603	17.100	2.216	10.611	12.464	7.627	5.306
17	0.498	2.200	3.752	3.169	14.838	14.814	17.878	14.137	1.066	13.283	1.066	12.675	16.060	1.209	13.767	13.392	9.412	17.528	14.720	1.593	9.338	8.929	7.270	4.213
18	0.527	2.600	3.439	1.930	11.056	10.668	13.626	11.417	0.546	8.502	0.399	16.037	15.880	0.000	11.713	14.677	6.860	16.051	11.170	0.989	7.769	5.728	6.125	3.107
19	0.557	2.400	2.581	0.339	8.977	6.256	9.957	9.416	0.028	4.405	0.000	18.475	17.280	0.000	8.316	16.310	4.992	14.265	7.954	0.338	7.828	3.806	4.531	1.891
20	0.586	2.700	1.965	0.000	7.504	3.764	6.675	7.805	0.000	3.030	0.000	19.451	20.484	0.000	5.688	17.327	3.476	10.897	5.586	0.004	10.589	1.866	3.161	1.373
21	0.615	2.800	1.567	0.000	4.411	1.942	1.542	3.132	0.000	0.771	0.000	19.964	21.525	0.000	3.566	18.450	0.964	7.400	3.181	0.000	12.869	0.142	2.224	0.062
22	0.645	3.400	0.137	0.000	0.325	0.028	0.000	1.158	0.000	0.000	0.000	20.048	19.675	0.000	1.096	20.839	0.012	4.979	1.163	0.000	14.804	0.000	0.682	0.000
23	0.674	3.000	0.000	0.000	0.000	0.000	0.000	0.067	0.000	0.000	0.000	20.070	17.789	0.000	0.000	23.325	0.000	2.498	0.275	0.000	16.216	0.000	0.000	0.000
24	0.703	3.400	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	19.183	17.504	0.000	0.000	23.874	0.000	0.093	0.000	0.000	17.326	0.000	0.000	0.000
25	0.732	3.200	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	16.582	17.818	0.000	0.000	23.890	0.000	0.000	0.000	0.000	19.630	0.000	0.000	0.000
26	0.762	2.500	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	14.023	17.401	0.000	0.000	24.500	1.652E-5	0.000	0.000	0.000	21.975	0.000	0.000	0.000
27	0.791	1.900	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	22.344	0.000	0.000	0.000
