 	x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
1	0.029	0.000	0.000	0.740	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.046	0.000	0.000	0.225	0.000	0.000	0.000	14.706	0.000	0.000	0.000	0.000
2	0.059	0.000	0.000	0.239	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3.300	0.000	0.000	0.648	0.000	0.000	0.000	13.911	0.000	0.000	0.000	0.000
3	0.088	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	4.871	0.000	0.000	0.742	0.000	0.000	0.000	12.957	0.000	0.000	0.000	0.000
4	0.117	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	6.310	0.000	0.000	0.627	0.000	0.000	0.000	11.804	0.000	0.000	0.000	0.000
5	0.146	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.042	0.000	0.000	7.961	0.000	0.030	0.888	0.000	0.000	0.000	8.613	0.000	0.000	0.000	0.000
6	0.176	0.000	0.000	0.064	0.000	0.000	0.158	0.000	0.000	0.325	0.000	0.000	9.386	0.000	0.487	1.377	0.000	0.000	0.000	5.735	0.000	0.000	0.043	0.000
7	0.205	0.000	7.354E-4	0.313	0.166	0.000	1.699	0.224	0.000	0.632	0.000	0.000	9.758	0.000	1.547	1.926	0.382	0.035	0.000	3.912	0.000	0.000	0.610	0.000
8	0.234	0.000	0.554	1.197	0.594	0.000	3.121	1.142	0.000	1.410	0.148	0.000	10.725	0.000	3.315	2.378	1.678	0.330	0.000	1.235	0.017	0.000	2.311	0.369
9	0.264	0.000	1.941	2.014	1.002	0.177	5.909	2.229	0.088	3.346	0.070	0.163	12.237	0.000	5.091	2.208	3.218	1.219	0.000	0.845	0.791	0.000	4.232	0.616
10	0.293	0.000	2.201	2.688	3.023	0.889	7.263	4.089	0.747	5.455	0.458	0.651	12.809	0.000	5.740	2.281	4.962	2.916	0.068	2.690	1.421	0.000	5.642	0.883
11	0.322	0.000	2.815	3.704	7.129	2.309	7.533	6.411	1.970	6.885	1.025	1.599	13.060	0.178	6.022	3.832	6.676	4.618	0.718	3.874	2.170	0.171	6.254	1.187
12	0.352	1.900	2.765	4.436	10.834	3.857	7.681	7.360	2.591	7.009	1.529	4.013	13.476	1.121	6.765	7.100	7.474	6.292	1.254	5.702	3.595	1.080	5.826	1.674
13	0.381	3.000	2.482	4.920	12.803	6.089	7.037	7.391	2.539	8.490	2.049	6.614	12.727	2.787	7.837	10.641	6.959	6.755	2.592	4.973	5.661	2.047	4.884	2.415
14	0.410	2.000	3.116	4.823	12.937	7.302	4.841	8.154	2.297	9.031	2.130	9.399	11.557	5.491	7.747	13.014	6.366	6.927	4.137	3.996	7.080	3.123	4.417	2.991
15	0.439	1.600	2.927	4.589	12.389	7.337	3.127	9.712	2.114	7.921	1.437	13.010	10.220	6.944	6.387	13.661	5.743	6.653	5.142	3.023	7.442	4.766	3.611	3.120
16	0.469	1.400	2.291	3.315	11.320	6.574	2.477	9.258	1.163	6.270	1.004	15.087	8.606	7.206	4.792	14.386	4.327	5.072	5.270	1.831	7.282	6.281	2.796	3.074
17	0.498	1.500	1.332	1.798	9.643	5.693	1.408	7.209	0.488	4.802	0.604	14.339	7.311	7.657	3.675	15.157	3.052	3.034	5.074	0.964	7.047	6.549	1.711	2.964
18	0.527	1.900	1.104	0.653	6.376	4.316	0.763	4.722	0.452	4.699	0.075	13.295	5.955	8.243	2.838	16.756	2.252	1.439	4.723	0.248	7.250	5.844	0.927	1.706
19	0.557	1.700	0.221	0.000	3.784	2.264	0.031	2.611	0.028	3.298	0.000	13.678	4.821	8.378	1.150	19.905	0.470	0.337	3.973	0.000	8.134	4.735	0.465	0.626
20	0.586	1.900	0.000	0.000	0.278	0.678	0.000	1.183	0.000	1.451	0.000	14.971	3.473	8.129	0.000	23.068	0.000	0.000	2.765	0.000	9.931	1.429	0.093	0.424
21	0.615	2.000	0.000	0.000	0.000	0.049	0.000	0.092	0.000	0.000	0.000	15.676	2.197	5.787	0.000	25.824	0.000	0.000	1.631	0.000	12.233	0.609	0.000	0.055
22	0.645	2.300	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	14.246	1.073	3.412	0.000	26.776	0.000	0.000	0.610	0.000	14.122	1.694	0.000	0.000
23	0.674	1.800	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	11.809	0.521	2.212	0.000	26.709	0.000	0.000	0.050	0.000	15.533	3.953	0.000	0.000
24	0.703	2.200	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	8.832	0.103	1.390	0.000	26.128	0.000	0.000	0.000	0.000	15.971	7.240	0.000	0.000
25	0.732	2.500	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	5.849	0.000	0.209	0.000	26.344	0.000	0.000	0.000	0.000	17.689	9.289	0.000	0.000
26	0.762	2.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3.548	0.000	0.000	0.000	27.470	0.000	0.000	0.000	0.000	20.616	10.395	0.000	0.000
27	0.791	1.700	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.940	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	21.288	11.486	0.000	0.000
