 	X	Y	Angle	Area	LenEll	WidEll	LenSke	MitoSkelPos
1	10.877	1.402	41.290	0.220	1.050	0.267	0.809	7
2	12.713	2.166	106.984	0.144	0.633	0.290	0.329	8
3	13.053	2.666	104.697	0.094	0.444	0.268	0.112	10
4	13.371	3.059	140.787	0.076	0.399	0.241	0.124	11
5	14.448	3.574	149.780	0.120	0.453	0.338	0.124	13
6	14.711	12.158	114.181	0.505	1.520	0.423	1.237	14
7	15.282	13.633	96.082	0.123	0.565	0.276	0.288	16
8	14.994	14.416	83.393	0.242	1.103	0.279	0.864	15
9	15.419	14.870	71.972	0.199	0.837	0.303	0.471	17
10	14.387	17.245	59.009	0.434	1.422	0.388	1.388	12
11	13.220	18.922	61.817	0.543	1.356	0.509	1.824	9
12	8.411	20.741	27.149	0.084	0.465	0.230	0.254	6
13	8.116	21.330	45.000	0.026	0.218	0.151	0.041	5
14	6.919	22.486	59.893	0.268	0.800	0.426	0.632	4
15	4.448	24.179	49.293	0.041	0.326	0.161	0.166	3
16	0.821	25.821	25.096	0.109	0.642	0.216	0.483	2
17	0.268	26.125	161.739	0.201	0.539	0.474	0.930	1
18	17.329	29.727	85.738	0.136	0.677	0.257	0.334	18
