 	x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18
1	0.029	0.000	0.000	0.000	0.000	0.000	0.000	29.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
2	0.059	0.000	0.000	0.000	0.000	0.000	0.000	41.492	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
3	0.088	0.000	0.000	0.000	0.000	0.000	0.000	52.563	0.000	0.000	0.000	0.000	0.000	0.000	0.004	0.000	0.000	0.000	0.000
4	0.117	0.000	0.000	0.000	0.000	0.000	0.000	58.456	0.000	0.000	0.000	0.000	0.000	0.000	3.892	0.000	0.000	0.000	0.000
5	0.146	0.000	0.000	0.000	0.000	0.000	0.294	60.068	0.000	0.000	0.000	0.000	0.000	0.000	16.174	0.000	2.365	0.000	0.000
6	0.176	0.085	0.000	0.899	0.000	0.000	4.499	57.207	0.000	0.000	0.000	0.000	0.000	0.000	30.572	0.000	14.153	0.000	2.500
7	0.205	2.327	0.576	7.272	0.146	0.000	13.271	48.662	0.352	0.000	0.000	0.000	0.364	0.028	49.039	0.087	30.156	0.632	19.183
8	0.234	8.244	4.819	19.656	1.591	0.621	24.333	38.194	1.915	1.344	0.586	0.000	3.090	0.944	65.793	0.870	40.962	2.499	15.955
9	0.264	18.548	11.553	32.735	6.812	4.036	37.645	31.927	6.468	9.071	5.695	0.000	7.783	2.737	72.270	2.746	48.168	12.158	17.635
10	0.293	33.319	21.959	46.496	16.558	8.358	48.054	30.036	9.968	19.738	18.597	0.297	16.021	6.728	73.580	6.467	62.183	21.557	18.141
11	0.322	48.750	34.112	58.094	28.160	12.314	55.137	29.854	15.228	33.597	32.149	4.278	31.452	13.538	74.370	12.867	77.426	34.158	20.370
12	0.352	57.761	45.556	66.315	36.355	15.217	58.061	31.502	17.227	45.592	45.218	14.122	48.075	19.735	68.662	20.170	93.958	46.479	23.956
13	0.381	58.794	54.125	72.438	39.902	16.397	55.344	31.902	17.624	53.391	55.110	30.989	57.342	21.359	54.643	24.599	99.861	54.318	28.315
14	0.410	58.697	61.551	81.734	36.355	15.295	47.704	32.485	17.355	55.657	60.767	46.703	55.997	16.910	38.686	22.683	94.852	60.326	30.747
15	0.439	50.481	70.405	81.292	29.625	13.295	38.524	29.293	15.886	51.373	63.233	56.199	46.576	11.238	25.640	14.565	91.134	68.293	28.967
16	0.469	32.890	76.722	76.408	23.186	12.393	27.720	22.463	12.155	41.628	65.210	61.391	31.322	6.378	14.417	7.020	90.066	73.668	26.388
17	0.498	16.122	80.414	65.200	16.531	10.565	18.051	15.751	7.957	29.087	67.636	62.987	16.227	2.523	6.504	3.215	87.715	75.235	24.932
18	0.527	4.646	76.023	50.788	8.438	7.241	7.793	7.004	3.844	18.682	70.008	61.920	6.208	0.695	1.395	0.565	87.037	77.887	22.965
19	0.557	0.000	58.145	20.921	2.800	4.820	0.000	1.931	2.133	6.073	63.055	61.130	0.651	0.000	0.000	0.000	78.206	81.033	19.262
20	0.586	0.000	40.379	13.358	0.101	2.839	0.000	0.000	0.000	0.201	47.101	60.185	0.000	0.000	0.000	0.000	48.798	83.088	0.000
21	0.615	0.000	32.716	8.926	0.000	0.862	0.000	0.000	0.000	0.000	29.724	54.474	0.000	0.000	0.000	0.000	33.216	81.897	0.000
22	0.645	0.000	24.063	6.987	0.000	0.000	0.000	0.000	7.681	0.000	18.344	44.023	0.000	0.000	0.000	0.000	20.916	89.729	0.000
23	0.674	0.000	16.965	5.429	0.000	0.000	0.000	0.000	23.536	0.000	9.389	31.475	0.000	0.000	0.000	0.000	10.640	99.605	0.000
24	0.703	0.000	9.207	3.801	0.000	0.000	0.000	0.000	38.600	0.000	1.352	19.422	0.000	0.000	0.000	0.000	5.251	116.156	0.000
25	0.732	0.000	0.000	0.858	0.000	0.000	0.000	0.000	56.834	0.000	0.000	9.317	0.000	0.000	0.000	0.000	1.924	134.064	0.000
26	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	69.168	0.000	0.000	1.190	0.000	0.000	0.000	0.000	0.000	147.888	0.000
27	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	150.985	0.000
