 	x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18
1	0.029	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	46.604	0.000	8.109	0.000	0.000	0.000	0.000	0.000	0.000	0.000
2	0.059	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	29.864	2.720	15.897	0.000	0.000	0.000	0.000	0.000	0.000	0.000
3	0.088	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	19.598	15.930	26.336	0.000	0.000	0.000	0.000	0.000	4.637	0.000
4	0.117	0.000	0.000	0.000	0.000	0.000	1.238	0.000	0.000	5.751	28.587	37.036	0.000	0.000	0.000	0.000	0.000	16.348	0.000
5	0.146	0.379	0.230	0.000	0.000	1.119	7.447	0.000	0.000	5.287	45.254	50.116	0.000	0.000	5.288	0.000	0.000	29.499	0.000
6	0.176	13.005	4.813	0.781	0.000	7.602	16.632	0.784	0.070	21.575	62.973	61.358	2.487	0.000	30.653	0.000	0.931	47.286	0.730
7	0.205	28.384	15.152	21.362	2.739	12.373	26.033	16.346	2.340	35.760	75.510	68.489	12.679	0.066	53.509	0.292	19.034	62.273	18.718
8	0.234	47.399	33.982	49.959	12.247	14.995	40.418	23.262	9.432	48.101	81.621	71.652	23.898	2.121	72.973	2.753	45.989	72.836	36.693
9	0.264	70.528	58.286	77.441	23.394	18.252	56.904	30.319	20.965	57.105	80.265	73.059	44.223	4.439	91.810	5.854	79.569	79.740	58.199
10	0.293	89.859	75.806	104.907	38.269	23.397	68.992	39.327	36.965	63.456	71.376	71.574	66.451	9.148	110.232	13.300	120.065	82.235	74.336
11	0.322	101.431	81.759	128.436	51.718	26.710	74.752	47.379	53.418	68.685	57.898	67.369	78.986	17.072	125.689	25.357	152.076	83.996	82.207
12	0.352	104.036	82.399	145.322	60.819	28.569	80.885	52.328	66.985	73.089	46.463	57.121	82.619	24.099	133.446	34.591	169.257	87.251	86.144
13	0.381	103.613	82.174	157.765	66.372	30.663	85.619	54.166	76.091	74.992	37.526	41.991	85.879	25.687	131.857	35.476	173.222	87.296	90.313
14	0.410	104.249	81.852	162.137	72.554	31.884	88.991	53.607	78.800	75.354	25.245	30.880	86.647	21.444	121.812	29.711	160.989	81.636	92.741
15	0.439	101.266	78.145	155.869	75.688	32.090	90.363	47.271	75.738	73.365	18.271	25.443	75.268	14.918	109.801	20.173	132.459	75.369	92.270
16	0.469	84.557	70.724	139.800	67.886	32.343	89.040	38.512	65.805	64.520	7.138	18.267	53.169	8.699	99.567	11.836	96.314	69.845	80.180
17	0.498	55.733	54.332	114.445	52.262	30.852	87.330	28.640	50.350	47.359	0.000	20.727	30.940	4.768	91.670	7.230	61.421	65.887	59.507
18	0.527	32.512	35.522	83.983	37.334	26.305	84.240	21.560	34.071	30.312	0.000	24.856	17.264	2.050	88.991	4.042	37.193	63.964	41.017
19	0.557	18.144	22.790	57.111	25.957	19.722	76.296	16.735	21.155	20.373	0.000	26.300	7.682	0.070	89.849	0.229	16.061	66.112	29.548
20	0.586	3.856	10.896	26.651	17.969	14.558	63.559	3.083	2.253	8.252	0.000	22.171	0.115	0.000	88.110	0.000	0.034	70.301	2.016
21	0.615	0.000	0.111	1.020	4.689	11.123	45.718	0.000	0.000	0.879	0.000	17.700	0.000	0.000	81.408	0.000	0.000	72.949	0.000
22	0.645	0.000	0.000	0.000	0.020	6.783	30.703	0.000	0.000	0.000	0.000	13.018	0.000	0.000	71.192	0.000	0.000	72.298	0.000
23	0.674	0.000	0.000	0.000	0.000	0.782	19.612	0.000	0.000	0.000	0.000	6.468	0.000	0.000	56.717	0.000	0.000	71.868	0.000
24	0.703	0.000	0.000	0.000	0.000	0.000	4.197	0.000	0.222	0.000	0.000	0.909	0.000	0.000	38.644	0.000	0.000	67.293	0.000
25	0.732	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.723	0.000	0.000	0.000	0.000	0.000	21.417	0.000	0.000	59.398	0.000
26	0.762	0.000	0.000	0.000	0.000	0.000	0.000	0.000	6.982	0.000	0.000	0.000	0.000	0.000	7.055	0.000	0.000	46.679	0.000
27	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	12.306	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
