 	x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18
1	0.029	0.000	0.000	0.359	0.000	0.000	0.000	0.000	0.000	2.634	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
2	0.059	0.000	0.000	3.037	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.381	0.000	0.000	0.000	0.000
3	0.088	0.000	0.000	7.237	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	5.078	0.000	0.000	0.000	0.000
4	0.117	0.000	0.000	13.284	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	16.138	0.000	0.000	0.000	0.000
5	0.146	0.000	0.000	20.867	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	31.378	0.000	0.000	0.000	0.000
6	0.176	0.000	0.000	28.178	0.000	0.814	0.068	0.000	0.000	0.000	0.000	0.490	0.000	0.000	50.899	0.000	0.000	0.089	0.000
7	0.205	0.000	0.399	33.745	0.083	3.072	0.256	0.286	0.000	0.146	0.000	3.743	0.000	0.044	71.218	0.045	0.000	7.205	0.069
8	0.234	0.852	5.255	41.428	2.936	5.398	5.639	6.187	0.462	1.956	0.006	9.570	0.000	0.918	85.751	0.702	0.000	15.275	6.520
9	0.264	5.675	10.850	67.825	9.791	7.816	10.118	12.961	4.462	4.631	1.376	19.304	4.392	1.971	92.268	1.967	9.401	25.986	19.303
10	0.293	14.524	22.044	79.473	22.871	10.140	13.891	16.262	9.685	8.625	5.935	32.895	13.830	5.437	93.654	4.765	32.242	38.532	34.654
11	0.322	26.334	34.136	87.424	41.138	11.496	17.895	19.574	16.955	13.757	13.724	43.328	26.513	10.888	88.182	9.856	55.536	47.902	46.602
12	0.352	37.242	42.228	91.127	57.502	14.500	20.330	23.436	24.880	17.905	23.861	48.940	35.966	14.431	76.139	15.523	63.191	53.455	54.331
13	0.381	42.044	46.258	89.366	63.145	16.632	19.451	28.610	32.319	21.997	35.608	52.760	38.301	15.130	59.225	17.840	62.960	55.845	52.209
14	0.410	41.770	44.236	86.115	66.394	15.579	15.707	31.452	37.599	24.739	48.694	55.716	32.937	14.060	43.272	15.101	60.951	58.158	43.430
15	0.439	31.714	37.261	77.349	65.122	14.744	11.526	28.225	41.445	24.322	56.836	54.559	26.249	10.446	23.028	8.269	55.307	60.985	30.130
16	0.469	19.499	28.391	64.788	55.803	14.138	6.075	22.036	39.556	20.822	58.658	50.079	19.190	5.081	6.930	3.508	46.522	65.672	19.373
17	0.498	10.021	20.995	51.322	40.433	13.007	2.828	16.785	36.017	15.768	58.551	47.064	12.484	2.319	4.061	1.022	30.314	64.033	9.938
18	0.527	3.155	15.228	35.844	16.545	9.265	0.093	10.906	33.848	9.765	58.310	45.998	6.502	0.802	0.000	0.169	14.275	55.524	0.377
19	0.557	0.216	7.553	19.311	4.492	4.607	0.000	5.926	34.258	5.805	53.931	43.617	1.424	0.042	0.000	0.000	0.376	46.362	0.000
20	0.586	0.000	2.810	9.637	0.400	0.814	0.000	0.053	35.048	1.208	41.210	35.955	0.000	0.000	0.000	0.000	0.000	36.752	0.000
21	0.615	0.000	0.000	0.960	0.000	0.000	0.000	0.000	34.493	0.000	27.577	24.757	0.000	0.000	0.000	0.000	0.000	24.058	0.000
22	0.645	0.000	0.000	0.000	0.000	0.000	0.000	0.000	32.387	0.000	14.981	16.186	0.000	0.000	0.000	0.000	0.000	13.425	0.000
23	0.674	0.000	0.000	0.000	0.000	0.000	0.000	0.000	31.511	0.000	5.602	9.067	0.000	0.000	0.000	0.000	0.000	4.377	0.000
24	0.703	0.000	0.000	0.000	0.000	0.000	0.000	0.000	27.289	0.000	0.403	0.738	0.000	0.000	0.000	0.000	0.000	1.367	0.000
25	0.732	0.000	0.000	0.000	0.000	0.000	0.000	0.000	19.340	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.021	0.000
26	0.762	0.000	0.000	0.000	0.000	0.000	0.000	0.000	12.687	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
27	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	4.141	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
