 	X	Y	Angle	Area	LenEll	WidEll	LenSke	MitoSkelPos
1	11.160	5.768	79.325	2.543	5.023	0.645	4.978	12
2	10.388	10.208	73.053	1.655	2.853	0.739	2.474	10
3	33.117	12.891	18.656	0.565	1.513	0.475	1.196	32
4	10.204	13.389	90.162	1.051	2.097	0.638	1.278	11
5	31.952	13.173	45.000	0.069	0.340	0.258	0.099	31
6	30.894	13.602	35.251	0.236	0.693	0.433	0.198	30
7	27.503	14.561	175.851	0.373	0.801	0.593	0.776	29
8	26.011	14.526	35.555	0.103	0.454	0.289	0.000	0
9	24.776	14.787	21.990	0.260	1.043	0.318	0.887	26
10	25.015	15.100	0.000	0.010	0.158	0.079	0.070	27
11	9.675	15.675	75.949	0.118	0.520	0.289	0.099	9
12	21.531	17.099	66.987	1.036	1.465	0.900	1.312	25
13	9.510	16.634	60.482	0.044	0.294	0.191	0.549	7
14	9.251	17.359	73.399	0.398	1.149	0.441	0.549	7
15	20.355	18.008	90.000	0.010	0.158	0.079	0.070	24
16	19.786	18.577	56.981	0.039	0.299	0.167	0.169	23
17	18.498	20.538	167.875	0.098	0.423	0.296	0.070	21
18	16.755	21.560	42.917	2.357	2.120	1.416	3.050	20
19	19.291	21.139	125.609	0.103	0.427	0.307	0.099	22
20	14.957	22.472	23.831	0.118	0.542	0.277	0.309	19
21	10.878	23.240	26.801	0.231	0.662	0.444	0.169	15
22	8.290	23.425	110.658	0.128	0.606	0.268	0.338	3
23	13.032	23.771	27.044	1.110	1.737	0.813	0.928	18
24	8.418	24.134	77.508	0.147	0.482	0.389	0.338	3
25	11.778	24.787	11.508	0.201	0.782	0.328	0.449	16
26	8.843	25.848	38.993	0.437	1.010	0.551	0.437	5
27	12.432	26.244	98.497	0.736	1.667	0.563	0.899	17
28	1.413	26.755	135.000	0.015	0.166	0.113	0.000	0
29	1.647	30.445	75.128	0.064	0.376	0.216	0.000	0
30	10.721	31.181	75.250	0.128	0.578	0.281	0.099	13
31	10.679	31.872	74.929	0.054	0.307	0.224	0.099	13
32	9.001	33.629	178.858	0.206	0.738	0.356	0.239	6
